Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Date,Well ID,Cluster Centre x float,Cluster Centre y float
6361,273,1.305915464,5,1080,Edge Appearance type 1,,71,3/16/2017,s074,4.538461538,1079.6337
6223,1282,13.2893314,42,11,Move,,71,3/16/2017,s074,41.85881435,10.73946958
5315,1614,18.77268486,31,839,Move,,71,3/16/2017,s074,31.45539033,838.9064436
3500,1439,15.80382765,59,177,Move,,71,3/16/2017,s074,59.44197359,176.885337
2082,926,8.158072753,54,275,Move,,71,3/16/2017,s074,54.27861771,274.9114471
4573,275,1.320292435,46,1179,Move large and grow,[4573.0],71,3/16/2017,s074,45.75636364,1178.821818
6212,384,2.178552,61,484,Move,,71,3/16/2017,s074,60.50260417,483.9270833
2070,892,7.712911986,75,575,Move,,71,3/16/2017,s074,75.16928251,574.5762332
4236,665,4.96482062,87,715,Move,,71,3/16/2017,s074,87.21052632,715.0300752
6363,172,0.653076061,85,1066,Splitting,[984.0],71,3/16/2017,s074,85.22093023,1066.011628
4735,1992,25.73979568,119,406,Move,,71,3/16/2017,s074,119.2153614,405.8353414
1722,1106,10.64887636,118,900,Move,,71,3/16/2017,s074,118.4068716,900.1672694
984,1937,24.68115759,126,1010,Move,,71,3/16/2017,s074,125.7176045,1010.143005
1764,2165,29.16472898,142,1170,Move,,71,3/16/2017,s074,141.9547344,1170.102079
4889,709,5.465632748,133,208,Move,,71,3/16/2017,s074,133.0169252,207.5275035
2881,1315,13.80574105,156,303,Move,,71,3/16/2017,s074,156.0692015,303.2768061
5782,785,6.367597142,151,703,Move,,71,3/16/2017,s074,151.244586,703.3401274
985,2070,27.26632533,161,81,Move,,71,3/16/2017,s074,161.394686,81.39565217
2500,2186,29.59009302,175,508,Move,,71,3/16/2017,s074,174.5562672,508.1427264
2605,3244,53.49243435,233,907,Move,,71,3/16/2017,s074,233.1643033,906.5893958
3227,884,7.609383836,228,1036,Move,,71,3/16/2017,s074,228.1063348,1036.150452
1442,2720,41.06997609,254,1109,Move,,71,3/16/2017,s074,254.4294118,1109.362132
3260,2285,31.62280577,247,26,Move,,71,3/16/2017,s074,246.8512035,25.91991247
2920,1165,11.5122439,248,549,Move,,71,3/16/2017,s074,247.872103,549.3725322
1799,4599,90.29552103,307,384,Coagulation,"[3551.0, 1799.0]",71,3/16/2017,s074,306.502718,384.3052838
3560,2410,34.25284568,287,753,Move,,71,3/16/2017,s074,286.8502075,752.5647303
