step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
1,685.58,669.0,700.0,1.1809298843242177,1.155926217765043,1.2096271609826408,1.5704604900977635,1.4953127705627707,1.6689176068368463
2,643.4,627.95,660.525,1.2733344333590582,1.2374605093488071,1.311536691490252,1.9381024736414698,1.802155760054533,2.0894625526391257
3,621.03,603.475,636.525,1.3335229937815924,1.2951951287259345,1.376901648780889,2.2024633878320317,2.0401880720592516,2.4155680616617508
4,605.27,587.0,622.0,1.3831040332025555,1.3343768093465673,1.4295172524506896,2.429676521422533,2.218247588424437,2.6509338391925215
5,591.29,574.425,607.525,1.4316596114065314,1.3831802407815532,1.4818457744617455,2.6564556331832803,2.4262664230675397,2.8901987203874464
6,578.84,561.95,597.5749999999999,1.4790295697099756,1.4219696400547597,1.5419289303059285,2.896084124365034,2.612326780557686,3.205507646552299
7,567.91,550.95,587.525,1.5245569371341232,1.4644901032702238,1.5902015694211722,3.129107182395087,2.8013706255698154,3.4563720376364824
8,558.15,542.0,576.5749999999999,1.568420078428473,1.5030104739515553,1.6370421813892855,3.3641068538255836,2.9951192627005634,3.707893978680495
9,548.49,529.475,566.0,1.6140723855666337,1.5447631344005357,1.684271294539321,3.613736534476119,3.1938485736447473,3.996459336543606
10,539.99,520.475,558.0,1.6580328601591992,1.5853122902830168,1.7389867443779656,3.86299507166439,3.459544440631434,4.337749926600117
11,532.14,511.0,551.05,1.7003612133031327,1.6215516117711937,1.7829649835404056,4.111369748983253,3.6769516201284156,4.609936111430873
12,524.11,505.0,545.525,1.7466338172835243,1.6551660130944772,1.832117711771177,4.39579296107785,3.898084368432743,4.926449312104925
13,516.9,500.0,538.0,1.790639743294675,1.6972239952304131,1.8771582514734773,4.67170479809946,4.195214461390589,5.238
14,509.9,493.475,531.0999999999999,1.8357232667956536,1.741728006189213,1.9240093009449364,4.954392549829822,4.427738231917337,5.5763268787199385
15,502.79,485.475,522.5749999999999,1.8816944469258114,1.7841964167512467,1.9949986411988505,5.25616092678678,4.697323229310737,5.985246665176242
16,496.14,475.9,515.525,1.9273927444191685,1.8229482040042244,2.0473564863339515,5.565532184223166,5.026975333371488,6.399006276150628
17,489.67,468.425,509.575,1.9748234699463905,1.8747246101855695,2.0957721176603177,5.900911664437387,5.375113190287057,6.704670124481328
18,483.66,461.475,502.0,2.021857638652097,1.9113669243904754,2.157563880437232,6.243645146543905,5.610014763779528,7.181868756086124
19,477.38,455.475,495.525,2.071427903102401,1.953254089727132,2.2086121931206204,6.606854915106195,5.8736330192060375,7.592141915297798
20,471.18,450.475,487.04999999999995,2.1217515197210597,1.9984683357879234,2.2530782997762864,6.992369338747745,6.079388981288981,7.871119884530481
21,465.95,447.0,482.0,2.16984675743843,2.0486494034730547,2.300644003378378,7.354248392556257,6.449678398682721,8.342104324522335
22,460.3,441.475,479.0,2.2214542135547792,2.0858360200135655,2.3529714373464374,7.754256506604678,6.708199085918346,8.747840982546863
23,454.94,437.9,472.0,2.27338683560777,2.141125255942313,2.400278505897772,8.17066727066831,7.152229619380303,9.138444571258436
24,449.93,432.475,468.525,2.3248073448656688,2.1885193133047207,2.4491640718062317,8.592330611311494,7.441048762670076,9.556974118942732
25,444.71,428.0,463.0,2.378928796625789,2.235867350292513,2.511605527800508,9.054017182829314,7.804864600097964,10.12727878070435
