step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
71,95.59,90.0,101.0,15.493467848807532,14.647772277227723,16.4175,477.48186792906205,412.73597277227725,576.5322533444815
72,92.37,86.0,99.0,16.218029984783023,15.146034322820038,17.43139534883721,537.6812686255706,443.4242992912371,657.535882352941
73,89.96,83.0,97.0,16.843851529757334,15.532750368188513,18.151506024096385,588.29050568628,475.66979013254786,755.1661966046003
74,88.47,81.475,96.0,17.31381531160814,15.93578125,18.689137308039744,628.852222162165,495.91228998655913,807.2846875
75,87.14,78.475,95.52499999999999,17.778650379492053,16.09875,19.560192307692304,665.6641331273597,522.3050531914894,840.4884199134199
76,85.87,77.475,95.52499999999999,18.24519402301942,16.36875,20.142457542457542,705.5192801849361,544.6552083333333,916.7631707317071
77,84.89,76.0,94.0,18.664149532672457,16.794148936170213,20.86315789473684,740.3110330671756,569.460780141844,953.6095679012344
78,83.81,75.475,92.0,19.110905547856596,17.238043478260867,21.185951754385965,776.1907009174924,614.0951828063241,1005.3131041666662
79,82.65,75.0,90.52499999999999,19.589504734796826,17.684294871794872,21.65810810810811,819.6641919076102,643.1316452991452,1110.1838694295127
80,81.75,73.475,90.0,20.02033532867156,18.15111111111111,22.247764716771563,857.1944441064395,670.8534893048129,1167.3186688311687
81,80.77,72.475,88.52499999999999,20.47816235490471,18.63160750766088,22.827934741248097,899.9296441815382,703.9695812807881,1190.1235014985016
82,79.81,72.0,88.04999999999998,20.947860897843903,18.999312282061215,23.328125,950.8696753156337,749.617833529239,1257.1390607580818
83,79.07,70.475,88.0,21.383935206787463,19.22443181818182,24.00545774647887,994.0917869195464,774.6253802710844,1337.4588235294113
84,78.37,70.0,86.52499999999999,21.816845314722705,19.730593424218124,24.411785714285713,1034.722910885831,804.1224404761905,1406.4709945820432
85,77.65,69.0,86.52499999999999,22.2667449704282,19.968293905372896,25.154171994884912,1081.4085918173896,814.5921257359125,1496.6790845070418
86,76.81,68.0,85.52499999999999,22.758587116614926,20.30547195622435,25.706985294117644,1124.7813467498945,851.6905026061057,1533.7649999999992
87,75.95,66.475,84.0,23.27108167179666,20.884821428571428,26.392706919945724,1174.505311067627,896.0659722222222,1608.1868668300644
88,75.18,66.0,83.52499999999999,23.76580344029775,21.2128765060241,26.91931818181818,1232.2722596447272,926.5798707023215,1751.5748210999789
89,74.56,65.475,83.04999999999998,24.217455494022456,21.559146341463414,27.536346153846154,1283.420466352375,957.7509146341464,1872.8474305555544
90,73.89,65.0,82.0,24.700530018967306,22.096341463414635,27.873251748251747,1332.7205441447702,1008.2677832664402,1872.424652777777
91,73.45,65.0,82.0,25.107498715441764,22.25609756097561,28.430474759615382,1378.1794723623482,1035.208418699187,1904.2465277777771
92,72.81,64.0,81.04999999999998,25.593378075874124,22.746585365853658,28.98515625,1429.3215317094755,1067.8241168831169,1943.306704812206
93,72.21,63.0,80.04999999999998,26.085473132236206,23.26221284575715,29.720610119047617,1489.17788100979,1103.0221153846153,2041.0081225198412
94,71.63,63.0,80.0,26.57941836024377,23.5475,30.151215277777776,1548.134060239167,1159.77425,2107.8472222222217
95,71.02,62.475,79.52499999999999,27.083612059731244,23.969865506329114,30.64719002016129,1611.902755820033,1208.0847532467533,2244.9466145833317
96,70.51,62.475,79.0,27.558608699903633,24.31867088607595,31.230158730158728,1666.0759390843048,1262.9861313236313,2292.540755208332
97,69.98,61.475,78.04999999999998,28.06457215687506,24.862797961532138,32.151612903225804,1727.2336469049549,1304.6239864864865,2351.245060483869
98,69.54,60.95,78.04999999999998,28.537786413329595,25.09819579155022,32.74612903225806,1782.9812610264237,1332.8684167805877,2427.3686827956976
99,68.99,60.475,77.52499999999999,29.057463040834133,25.491858141858142,33.13325819672131,1846.3667451647843,1384.9829480519481,2465.1427284946226
100,68.39,60.0,77.0,29.61178340988929,25.940584415584414,33.510416666666664,1919.7371410059627,1412.5525217932752,2557.560956618465
101,68.0,59.475,77.04999999999998,30.088061691419384,26.342958860759495,34.255508474576274,1980.675738122999,1474.5314212328767,2652.6421098772644
102,67.6,59.475,76.52499999999999,30.57148959229677,26.871634615384615,34.674562146892654,2039.6485527576667,1502.4232691595705,2708.122083333333
103,67.03,59.475,76.04999999999998,31.150587441656025,27.42923832923833,35.002759562841526,2118.8279497190806,1554.7627128841168,2833.4409533898306
104,66.57,58.475,75.52499999999999,31.680252106543325,27.97238157894737,36.035000000000004,2189.8944222913424,1613.4082191780822,3085.340285087716
105,66.14,58.475,75.0,32.215372239894506,28.397333333333332,36.41406779661017,2259.9319822326615,1647.7873192541856,3163.7222346119506
106,65.7,58.475,74.0,32.76462362616141,28.808404294705664,36.818686440677965,2335.980738731474,1709.6853521126761,3213.768911685992
107,65.18,57.475,73.0,33.361609226302186,29.37568493150685,38.00999999999999,2422.723921032048,1793.5188095238095,3267.8525646743947
108,64.62,56.95,73.0,33.99717878800492,29.963698630136985,38.59030172413793,2512.7729891156973,1831.471875,3355.51429597701
109,64.26,57.0,73.0,34.54120021711598,30.32328767123288,39.38640350877193,2600.4797702857504,1878.4881200244947,3475.4117528991956
110,64.0,56.0,72.0,35.03988167699963,30.807986111111113,40.12291666666666,2680.7348788722256,1967.7865022712524,3531.2901204281875
111,63.62,56.0,72.0,35.59640187157362,31.185069444444444,40.46778213166144,2763.5051371359227,2005.1239285714285,3792.687931295399
112,63.33,56.0,71.52499999999999,36.111692460999805,31.74965277777778,40.5107604679803,2836.1202409116813,2065.2606244671783,3843.8097533292976
