step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
1,693.14,673.95,713.5749999999999,1.168700340125155,1.1365954690458793,1.2037147102526002,1.5341477125380119,1.4167278068500577,1.6530467059980334
2,643.02,617.95,665.525,1.2740356495430851,1.227142187436305,1.3252890979206837,1.9486495941043978,1.7578995475295924,2.150262227529208
3,611.34,580.0,633.525,1.3556709645023368,1.306198070934913,1.4314728872610327,2.31050748591876,2.1007525172231056,2.659641205094317
4,586.83,559.0,609.0,1.4287925856000587,1.3757697115226473,1.4980399713267105,2.67150065683582,2.392265242659054,3.03414317178561
5,567.29,543.475,588.05,1.4946534270512981,1.437808105872622,1.5693949872968505,3.0209993383070484,2.7272364182002735,3.4590123537688995
6,550.65,527.0,570.0,1.5567041226302398,1.4916643703499586,1.6417476280834915,3.3855755789918764,3.0069346807264203,3.8396675909219713
7,535.92,514.0,559.05,1.6167941175152651,1.5426144191030153,1.698898616841658,3.7533742746436967,3.3400517086330934,4.242792143156085
8,523.58,501.425,547.525,1.672985430026131,1.5873362641008626,1.7519289645682834,4.121023788589617,3.6121228586905003,4.623408792650919
9,512.87,488.425,534.0,1.7278767109766442,1.6460326029239973,1.8140282687636775,4.523705852833386,4.001084714022726,5.190560763765119
10,503.67,481.425,524.05,1.7792879049611896,1.6907828033083523,1.863041237113402,4.906875759585051,4.364844632294567,5.596237034128464
11,494.03,472.95,516.05,1.8334807060990719,1.7357629265975136,1.931052621103287,5.315962863804043,4.620944909438329,6.230823273105212
12,486.13,462.475,508.525,1.883825398339386,1.7944269539078157,1.9996981969291445,5.732259621162217,5.033970002874118,6.776105929242593
13,478.11,454.475,500.0,1.9373390636691297,1.8363476953907816,2.054187416203792,6.1784955315586965,5.37249578313253,7.4100491520056595
14,471.37,446.9,498.04999999999995,1.9880636415134594,1.870044031069114,2.1065765473433724,6.635578776957438,5.542273077607162,8.059144331019732
15,464.98,437.85,492.525,2.0381692268071894,1.9036118379908495,2.175301913904855,7.089695654511559,5.814500328291172,8.649215782395336
16,458.95,428.95,486.525,2.0879785176488346,1.9655360961769492,2.266925668332971,7.586314444672434,6.248772141619513,9.446218831294084
17,452.83,422.325,482.525,2.1390423094926225,1.9964111710087749,2.319696374011502,8.12395800082514,6.583698730144683,10.07731792201606
18,446.63,415.95,475.525,2.1933379576041974,2.0294121682411155,2.3707980849411965,8.677925983702023,6.868607973797154,10.46480347831826
19,442.17,411.95,467.62499999999994,2.2408397397034427,2.098317091454273,2.3952998582649263,9.243601432764958,7.428907073482909,10.9216313252882
20,435.48,408.425,458.04999999999995,2.300335063076654,2.154676027900147,2.4705619844519613,9.907180786134829,8.065647127963535,11.885973985539833
21,431.12,402.95,452.575,2.3508764965829885,2.1868587860988744,2.5172661332759283,10.517267282406717,8.35219951923077,12.630233251427331
22,427.25,402.375,448.525,2.398353700288948,2.2339536516853933,2.5708742283950614,11.116016622619272,9.016096533964365,13.099419893878197
23,422.29,392.375,445.04999999999995,2.4548362106450217,2.2829858954353326,2.656361461921163,11.830086592708815,9.7865627513557,14.344779936558284
24,418.56,384.9,443.525,2.504263439676361,2.3283743842364535,2.736279272167911,12.506546218781594,10.30616574611496,15.247788939790576
25,416.01,379.9,440.575,2.549242068472674,2.3905398051551594,2.819743118878757,13.156526297665732,10.974324064249007,16.08944805194805
26,411.26,383.0,434.525,2.607246726254735,2.4313290229885056,2.8444255874673625,13.970189980924296,11.735698501047063,16.902678264213574
27,407.28,378.475,436.04999999999995,2.662430451394089,2.4404164705627776,2.891534568766491,14.74657385505071,12.009765202649508,17.951991126518667
28,405.07,376.375,433.09999999999997,2.7066596928137727,2.467596207696616,2.944467620460845,15.513719802204037,12.536301169827851,19.367850278366912
29,400.47,372.425,426.0,2.76874147496584,2.5407201341344137,3.019041450777202,16.46382090436305,13.152032085561498,20.04416443850267
30,397.74,369.0,423.525,2.8187449780612552,2.565375478534318,3.0808265582655823,17.258734872006407,13.632059391080618,20.979740259740254
31,393.77,364.425,420.09999999999997,2.878583681764957,2.6325184694730974,3.1647038567493113,18.25286553771957,14.771402859287566,22.46170802887185
32,391.48,363.0,418.525,2.927602958735654,2.6729794966370144,3.196280991735537,19.169951062315064,15.53452419882276,23.505957864787966
33,388.4,360.0,417.525,2.9830468496122426,2.7317401582896497,3.2524562324929973,20.124639526277694,16.202817745803355,24.591710875331565
34,386.03,359.475,410.525,3.0326005216047593,2.770312332279802,3.2775826350093107,21.122698017380053,17.193922918543304,25.915102017216082
35,382.87,356.475,412.575,3.092835932790272,2.8247881945472306,3.3428342432706954,22.265702692735225,18.178004247384234,27.14802835261528
36,380.18,354.475,407.525,3.1496477769729183,2.9093315843925507,3.4216717697489276,23.451042694921217,18.760425998052582,28.69894662921348
37,377.56,347.9,405.525,3.2071261069386883,2.93524465522433,3.5379490690953084,24.672090487511312,19.82199921516542,30.108197740112985
38,375.17,346.475,402.09999999999997,3.2632274457748425,3.005707592442918,3.5730591300006442,25.913454677727074,20.6218926799969,31.36625129132231
39,372.41,347.95,401.62499999999994,3.323189942270234,3.0115163182984968,3.5933732192582424,27.202062399634297,21.349895757795505,32.7666341588859
40,370.13,345.475,393.525,3.3806206638434926,3.1021603040452144,3.6452320916905445,28.594393863152973,22.47510132711621,34.515750700280094
41,367.34,337.375,392.525,3.447553917743924,3.130146829724256,3.7830607507685765,30.095697317850252,23.72357142857143,37.23450282215025
42,364.68,336.0,393.09999999999997,3.5115419495132487,3.2208955696202533,3.83916265888011,31.544280701811946,25.007333333333335,39.0889163552745
