forward_means_csv,init_singletons,mode,override.phenotypes.proliferative.fragment_rate,scenario
abm_00_data_t71_phase2__fragment_rate_0p0/forward_sims/forward_means_stats.csv,,data_t71_phase2,0.0,abm_00_data_t71_phase2__fragment_rate_0p0
abm_01_data_t71_phase2__fragment_rate_0p0008/forward_sims/forward_means_stats.csv,,data_t71_phase2,0.0008,abm_01_data_t71_phase2__fragment_rate_0p0008
abm_02_data_t71_phase2__fragment_rate_0p002/forward_sims/forward_means_stats.csv,,data_t71_phase2,0.002,abm_02_data_t71_phase2__fragment_rate_0p002
abm_03_data_t71_phase2__fragment_rate_0p005/forward_sims/forward_means_stats.csv,,data_t71_phase2,0.005,abm_03_data_t71_phase2__fragment_rate_0p005
abm_04_data_t71_phase2__fragment_rate_0p01/forward_sims/forward_means_stats.csv,,data_t71_phase2,0.01,abm_04_data_t71_phase2__fragment_rate_0p01
abm_05_data_t71_phase2__fragment_rate_0p02/forward_sims/forward_means_stats.csv,,data_t71_phase2,0.02,abm_05_data_t71_phase2__fragment_rate_0p02
abm_06_data_t71_phase2__fragment_rate_0p05/forward_sims/forward_means_stats.csv,,data_t71_phase2,0.05,abm_06_data_t71_phase2__fragment_rate_0p05
abm_07_data_t71_phase2__fragment_rate_0p1/forward_sims/forward_means_stats.csv,,data_t71_phase2,0.1,abm_07_data_t71_phase2__fragment_rate_0p1
abm_08_singletons_phase2_fit_all__fragment_rate_0p0/forward_sims/forward_means_stats.csv,800,singletons_phase2_fit_all,0.0,abm_08_singletons_phase2_fit_all__fragment_rate_0p0
abm_09_singletons_phase2_fit_all__fragment_rate_0p0008/forward_sims/forward_means_stats.csv,800,singletons_phase2_fit_all,0.0008,abm_09_singletons_phase2_fit_all__fragment_rate_0p0008
abm_10_singletons_phase2_fit_all__fragment_rate_0p002/forward_sims/forward_means_stats.csv,800,singletons_phase2_fit_all,0.002,abm_10_singletons_phase2_fit_all__fragment_rate_0p002
abm_11_singletons_phase2_fit_all__fragment_rate_0p005/forward_sims/forward_means_stats.csv,800,singletons_phase2_fit_all,0.005,abm_11_singletons_phase2_fit_all__fragment_rate_0p005
abm_12_singletons_phase2_fit_all__fragment_rate_0p01/forward_sims/forward_means_stats.csv,800,singletons_phase2_fit_all,0.01,abm_12_singletons_phase2_fit_all__fragment_rate_0p01
abm_13_singletons_phase2_fit_all__fragment_rate_0p02/forward_sims/forward_means_stats.csv,800,singletons_phase2_fit_all,0.02,abm_13_singletons_phase2_fit_all__fragment_rate_0p02
abm_14_singletons_phase2_fit_all__fragment_rate_0p05/forward_sims/forward_means_stats.csv,800,singletons_phase2_fit_all,0.05,abm_14_singletons_phase2_fit_all__fragment_rate_0p05
abm_15_singletons_phase2_fit_all__fragment_rate_0p1/forward_sims/forward_means_stats.csv,800,singletons_phase2_fit_all,0.1,abm_15_singletons_phase2_fit_all__fragment_rate_0p1
