step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
71,95.29,90.0,100.52499999999999,15.535260686059065,14.700663366336634,16.439166666666665,484.39920713567,416.1476625497601,576.5474999999999
72,91.6,86.0,97.52499999999999,16.34966275764901,15.30226435935199,17.447965116279068,549.3085950576486,451.17242268041235,662.2853685640202
73,89.54,83.475,96.0,16.915496750378903,15.720572916666667,18.14711345381526,595.5693470749901,488.7497368421052,740.2258088235291
74,87.97,81.475,94.52499999999999,17.403238458707044,16.06016517357223,18.82581300813008,632.2603365301312,507.57632978723404,778.724176829268
75,86.59,79.0,93.0,17.873693509281694,16.524193548387096,19.53544303797468,671.150100979585,538.3576437587658,865.1283166200888
76,85.37,77.475,92.52499999999999,18.32111462406449,16.775780154277697,20.17534965034965,711.2707014941848,563.914402173913,906.3678124999999
77,84.33,76.95,91.0,18.7529898438741,17.321153846153845,20.507363360323883,746.648910168246,585.7186813186813,945.4124374999997
78,83.19,75.475,90.0,19.21814445316071,17.68777777777778,21.043499999999998,785.9319974101437,618.678645443196,989.0544729729727
79,82.21,75.475,90.0,19.66372165226684,17.934166666666666,21.449342105263156,822.2633944345242,643.8945141065831,1069.5169520547943
80,81.33,73.475,89.0,20.092424888412857,18.267618601747817,22.119360730593606,862.8862352534728,679.291449478749,1136.4271259562354
81,80.35,72.475,86.0,20.557657691652775,19.096802325581397,22.646503995433786,906.1448272581081,708.8962209302325,1178.1229166666667
82,79.54,71.475,86.52499999999999,20.994397516435832,19.259232157177227,23.328980829420967,947.6165484741027,735.2200581395349,1226.5118544600937
83,78.7,72.0,86.52499999999999,21.445572646082443,19.48506081261695,23.66875,991.0348009765705,776.2041923507986,1307.2598511904757
84,77.88,69.95,85.52499999999999,21.913388120857338,19.97609781121751,24.47265768524188,1035.0619624508988,806.5178396358543,1376.464874801272
85,77.12,69.475,85.0,22.372880337211786,20.339093707250342,24.87813839559093,1079.2158393888778,848.2633928571429,1457.4376488095234
86,76.46,68.475,84.52499999999999,22.80855418678909,20.539411764705886,25.453886554621842,1124.7133281386848,875.467443379791,1513.2227807971014
87,75.73,68.0,84.0,23.2794721078142,21.011309523809526,26.075735294117646,1170.2438891612924,913.8032605421687,1604.3812099871955
88,74.82,66.0,83.52499999999999,23.817808294693386,21.344578313253013,26.90265151515151,1226.8440337211582,935.1315361445783,1691.6616961050722
89,74.18,64.425,82.0,24.272301541071833,21.955182926829266,27.775378787878772,1270.722223222264,967.9409115467737,1755.926984126984
90,73.6,63.95,82.0,24.734003741531623,22.252736280487802,28.609230769230756,1321.2029901900805,991.3993902439024,1892.5535897435896
91,72.82,63.475,80.52499999999999,25.269219271322463,22.564791666666668,28.88997395833332,1376.106035571242,1020.2739158950617,1928.8349726775955
92,72.15,63.0,80.0,25.766842669849776,23.08625,29.41468253968253,1429.6129779171401,1072.233405448718,1982.979007936508
93,71.72,62.475,79.52499999999999,26.191607731824497,23.664778481012657,29.933467741935477,1474.1779797216327,1115.114423076923,2015.9206746031743
94,71.05,61.475,79.0,26.723791565390687,24.036708860759493,30.722395557905866,1545.5152541356167,1149.0257767548908,2136.4219271412676
95,70.53,61.0,78.0,27.197591659901697,24.59461875843455,31.288114754098352,1603.2943667480577,1173.321794871795,2201.171077586207
96,69.88,61.0,78.0,27.74587332191025,24.914288124156545,31.96821126388154,1670.115943678109,1199.9544871794872,2340.632633481645
97,69.2,60.0,77.52499999999999,28.311016674572524,25.2506993006993,33.10166666666667,1743.379625279529,1237.9862307692308,2615.882400793649
98,68.62,59.475,77.0,28.84281466183456,25.655636363636365,33.469166666666666,1804.8640764022382,1329.4235844155844,2698.619915254236
99,68.08,59.0,76.0,29.38204850887873,25.957636363636365,34.028531073446324,1875.8923774917016,1374.9286711711711,2752.760222457626
100,67.56,59.0,75.0,29.90494452268359,26.757749999999998,34.430127118644066,1937.5156683076798,1423.9908450704227,2803.636085048425
101,66.85,58.475,75.0,30.527938806582807,27.21413698630137,35.110593220338984,2018.1946909051592,1489.0625,2955.3537356321826
102,66.37,57.475,74.0,31.063805910365218,27.783554054054054,35.805734950321444,2089.6479617000864,1547.1352819548872,3040.2356937799027
103,65.98,56.95,73.52499999999999,31.57217077365088,28.31637356534617,36.22008928571428,2164.767273367843,1590.2989185291997,3143.217531779659
104,65.43,56.95,73.52499999999999,32.160522722350166,28.74558933933934,36.93041536050157,2244.303747608871,1642.9037391304348,3331.366841692789
105,64.72,55.475,72.52499999999999,32.849755429520634,29.342608447488587,38.199415584415576,2339.236646432604,1689.290168429299,3428.172424242424
106,64.25,55.0,72.52499999999999,33.42721143093934,29.65111301369863,38.97409090909091,2416.6127384180763,1728.9618806306305,3518.4754545454543
107,63.82,55.0,72.0,34.004847110355016,30.38419894366197,39.34443181818182,2496.4617886430015,1763.847682057057,3576.6127272727267
108,63.32,55.0,71.0,34.62248817562068,30.854225352112678,39.73130681818182,2582.339632623855,1802.9598972211647,3661.92845959596
109,62.73,54.475,71.0,35.30778271590247,31.18943661971831,40.60710664335664,2683.7392137976303,1883.5043604090295,3779.7234511784513
110,62.36,54.0,70.04999999999998,35.875868444488034,31.820805266380894,41.337767094017096,2769.3636173076757,1926.4165339865278,3839.2035016835016
111,61.93,53.0,70.04999999999998,36.48093385661928,32.43981935088794,42.29952830188679,2852.9507817373724,1968.7250918554807,3901.7258080808083
112,61.31,52.475,70.04999999999998,37.217684820417006,32.732271892222904,43.2122641509434,2959.603349307829,2005.7869259032454,4100.692594339622
113,60.81,51.0,69.04999999999998,37.91405149801261,33.56757352941177,44.449321266968326,3063.8231778861464,2083.8699264705883,4401.911213235294
114,60.51,50.475,68.57499999999997,38.475463944666046,34.08416666666667,45.418115384615376,3145.041804598659,2186.7499067164176,4466.492830882353
115,59.98,49.95,68.57499999999997,39.18904955534918,34.558022388059705,46.8024725274725,3262.5000204932458,2285.082405036278,4669.051934523808
116,59.39,48.95,67.04999999999998,39.96770605557634,35.68998161764706,47.8025240384615,3386.5018735247386,2351.0658333333336,4964.321082427537
117,58.96,48.95,67.04999999999998,40.650866734855,36.05534759358289,48.6284926470588,3501.211817952121,2468.8343548387097,5109.5647058823515
118,58.51,48.95,66.0,41.342476489581884,36.951136363636365,49.536749999999984,3625.4658104955656,2658.5793308423913,5191.124136828644
119,58.06,48.475,66.0,42.067161094819895,37.33560606060606,50.442729591836724,3738.6724781578146,2732.117753623188,5272.495556265983
120,57.59,48.475,65.52499999999999,42.815381653034265,38.03052447552447,50.919738520408146,3855.3281588430154,2803.6933181605978,5349.992103580563
121,57.16,48.475,65.52499999999999,43.547714510469945,38.37201048951049,51.422098214285704,3991.0298018571198,2836.870238095238,5568.364482097185
122,56.71,47.95,65.0,44.30648049252808,38.975533498759305,52.501432913590946,4125.713733143134,2889.6364906832296,5666.909192876964
123,56.33,47.95,64.52499999999999,45.02073057904586,39.7575682382134,53.016293964394244,4233.334771870952,3062.619485903814,5792.638152173912
124,56.06,47.95,64.0,45.66279578960198,40.49779885912699,53.47382761615282,4351.74826318687,3139.0855964781745,5897.785526315788
125,55.72,47.95,63.52499999999999,46.365594529545305,41.023685922456416,53.949272687798505,4465.43238133479,3241.289487179487,6055.368443627449
126,55.41,48.475,63.0,47.04815540878553,41.56640625,53.852869897959174,4602.001179517175,3331.946916971917,6268.019583333333
127,54.99,47.475,63.0,47.86571276379505,42.04920634920635,54.77828443877551,4760.560105587341,3404.3893817204303,6693.514484126982
128,54.73,47.475,63.0,48.53569042120108,42.63882068452381,55.36814413265306,4891.769026951359,3537.123387096774,6804.746127946125
129,54.4,45.0,62.04999999999998,49.298216040182275,43.315234375,57.87055555555554,5019.362340369551,3696.4303278688526,6924.23073232323
130,54.15,45.0,61.52499999999999,49.97429823389385,44.44975806451613,58.34888888888888,5148.200417870324,3848.4599510368666,7101.7846590909085
