step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
1,681.42,666.0,700.0,1.1883045941669728,1.159907060518732,1.2204068214921509,1.5976905063291655,1.5013092485549133,1.706321689200784
2,621.34,603.95,640.0,1.3179689680311737,1.278195239814958,1.3595085776579263,2.107768180800166,1.936487238449009,2.295304028755429
3,579.83,562.0,601.0999999999999,1.4282574370234398,1.3726529753445826,1.4721527870287552,2.600614525385382,2.3405236626551926,2.8526111758514396
4,545.81,526.475,565.525,1.5348649407571489,1.4789151692410045,1.5898301886792452,3.119466816919802,2.8044412562075607,3.4598214285714284
5,517.61,498.0,537.525,1.637726251516772,1.5756725689688906,1.7053783241147176,3.6680142303514782,3.304819418674392,4.111053359780585
6,493.36,474.95,515.0,1.7375064660965296,1.6664697844201513,1.822248774509804,4.241608427251311,3.804427504739008,4.727114348049281
7,472.31,453.475,493.525,1.8350733148947287,1.748986823594844,1.9345665711704485,4.842080056947599,4.283218439297709,5.500783996299722
8,453.06,430.475,473.15,1.935168868554339,1.8440166451195863,2.046725983481852,5.498272519950046,4.9314154443329805,6.388224540106066
9,435.96,417.0,457.62499999999994,2.034217153365737,1.9310999737789325,2.1554016786570744,6.177117503618117,5.325812349085892,7.268948670850553
10,420.02,400.475,441.09999999999997,2.1351124900381544,2.0199195982448575,2.2550806644322856,6.925797532360102,5.973586568255588,8.137677007333496
11,404.67,385.0,425.0,2.2410913650709676,2.130021679094173,2.380273908451406,7.737276634927278,6.723396663577386,9.099168011797293
12,391.41,372.425,409.525,2.343147955331145,2.2214692998226186,2.484062320299022,8.572721042400334,7.407409316498193,10.058952254641909
13,377.86,357.475,394.0,2.454694474524578,2.333286606882709,2.6107835930608645,9.524365684715765,8.17203582457489,11.38460957722174
14,365.97,344.0,382.0,2.563771539527414,2.424182886902706,2.734560841915024,10.500916106047075,9.006177587107153,12.51154960981048
15,354.36,332.475,372.575,2.6799992212503634,2.539165081486813,2.866572700296736,11.595321334508101,9.959757719040056,13.805111815669452
16,343.65,324.9,363.525,2.79357721456579,2.610695211035811,2.973041744513538,12.731018909648196,11.044107534021782,15.041244710279004
17,333.9,315.475,351.525,2.9085536762172906,2.7257917819142308,3.1001403152615237,13.933690013486604,11.998482658959537,16.726979166666666
18,325.0,307.95,341.525,3.0209504915876026,2.839314942371957,3.2110001735526223,15.11763154875987,13.066561769465924,17.810093128932387
19,316.19,299.475,335.04999999999995,3.140122260526448,2.929509730538922,3.33424504950495,16.487563449128398,14.00788270184872,19.395319222577207
20,308.08,292.0,328.0,3.2590250886605356,3.0338357290312716,3.4692597164702135,17.830460676957653,14.922773569023569,20.91334161008074
21,300.51,284.95,319.04999999999995,3.3779919779002165,3.148917340299685,3.587429183039118,19.296978519886686,16.32175240011329,23.27278164855927
22,293.15,276.95,310.525,3.5008595275931684,3.2636384583158775,3.7143063204825593,20.856486227197596,17.823588057154158,25.064881520701327
23,286.24,270.475,304.04999999999995,3.6241554454000973,3.3648498013066614,3.8697465531224657,22.47122335481794,19.21529165078155,27.252459579310877
24,279.92,266.0,296.0,3.7471740037677246,3.499493243243243,3.994512513034411,24.22751086039061,20.535939434256957,29.160564600802562
25,273.1,257.475,288.575,3.882287459671773,3.640263157894737,4.120519462539529,26.140096576676825,21.978505747126437,31.891741543340377
26,266.99,251.475,283.525,4.014011772767701,3.7360891863036683,4.254001856118792,28.05044325459318,23.685339996971074,33.546461573135005
27,261.28,245.475,279.525,4.146167066230743,3.8462337662337664,4.421249077944431,30.070612212627733,25.441623864209994,36.247610208274956
28,255.48,242.0,272.0,4.288390447749418,3.96778654437735,4.561580608146873,32.29405888130424,27.197558403634005,38.610491967871475
29,250.14,236.0,265.525,4.42943204648865,4.108218268720128,4.708433454909533,34.495582260649655,29.164299345692474,41.051004016064255
30,244.89,229.425,260.0,4.57407960100768,4.241451149425287,4.909342382855873,36.870901419912975,31.536765894396552,43.915951865423054
31,239.41,223.475,255.0,4.73265015127511,4.393852707749767,5.081349277528649,39.67431738563517,33.98968525870902,46.76323698576719
32,234.56,217.95,250.52499999999998,4.88591890880512,4.520367634854772,5.322031472794527,42.4554299610501,36.51860637450199,49.82981513889727
33,229.89,215.475,245.04999999999998,5.039830476391129,4.693925209998988,5.447727272727272,45.34181510522032,38.79927809165097,52.434911684782605
34,225.34,212.0,242.575,5.199721292021926,4.797790948275862,5.624786975045648,48.3153120759628,40.4363428244384,55.054315817316166
35,220.95,207.0,235.575,5.36061207527967,4.965176612964224,5.788177605908584,51.56477658052658,44.0709200937012,59.72195121951219
36,216.86,202.95,231.0,5.521031174990934,5.115255522464417,6.051847983578845,54.819075099320386,46.763828062819094,63.332431557528665
37,213.06,198.0,227.04999999999998,5.682132759562891,5.27320004982561,6.231945066427825,58.21858319365879,49.68714341354555,69.20136612021857
