step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
1,640.22,624.95,655.05,1.265048390309509,1.2305394543943524,1.2977131326719353,1.863408110274407,1.740505301516453,2.0010525324263084
2,580.79,564.475,598.05,1.409971335692402,1.3627295453778963,1.4569942125257922,2.506110759018351,2.2926729607634133,2.7084065989785318
3,540.87,523.0,559.5749999999999,1.530804021035802,1.4722665988216732,1.5854201957120735,3.090038725837277,2.8051955692347152,3.420793950850661
4,509.48,489.95,527.0,1.6438487303676883,1.5843032301216293,1.7196961982348948,3.6767669192276626,3.3490063371356147,4.139892442947998
5,482.74,461.0,501.0,1.7546437703147748,1.6746506986027945,1.8446905978121428,4.318121602085732,3.828243512974052,4.999680197648533
6,458.57,436.475,480.0,1.8684660515879605,1.7626573328135828,1.9715976771888029,5.021629643311611,4.386508900727651,5.791791476407914
7,437.89,418.475,458.525,1.978572351708192,1.8682457537154988,2.069822691071678,5.746385953972771,5.050703642384105,6.550675422663126
8,419.27,401.475,441.09999999999997,2.088571789039344,1.976062365898284,2.1953703703703704,6.515336945424014,5.670264500932378,7.468052830077491
9,402.0,381.0,420.525,2.2031599836011857,2.083471614629597,2.330742918498824,7.378239952816619,6.488552168457986,8.375635387928133
10,387.08,369.0,403.525,2.3135297850279986,2.210962430089824,2.438972972972973,8.238601495612652,7.362489142708243,9.463059988190178
11,373.03,354.0,389.62499999999994,2.4268937567580955,2.3200922761449077,2.5639092404306223,9.171097516672978,8.255561497326202,10.686581875629635
12,360.4,342.0,377.62499999999994,2.5387167637991315,2.4334995630044727,2.685601935874168,10.152660060353208,9.112961507671292,11.661940644846116
13,348.62,334.0,362.0,2.652959984173854,2.536944667390586,2.8030938747180287,11.191558752903834,9.984379527673138,13.009617499694487
14,337.75,322.0,353.575,2.7703337957460956,2.629545048701299,2.92181488801054,12.338624626537749,10.842741379310345,14.517434757671348
15,327.42,309.95,342.0,2.8894075365785636,2.7545849362568355,3.0778787422141853,13.542755804786731,12.03523125226422,16.241816355234075
16,317.71,299.0,332.0,3.0096772504328912,2.8484333676168085,3.205844041541982,14.831205293041059,12.910420862236146,17.398070991543104
17,308.16,289.95,321.525,3.137963379361951,2.9716040721280153,3.3481363290438635,16.27831105966373,14.232309336745828,18.712890559732664
18,299.5,281.0,314.0,3.266343478992389,3.097226800976801,3.4788732394366195,17.78212938825021,15.580144952180724,20.467614133074306
19,291.52,274.0,304.525,3.3954440487709663,3.219622093023256,3.604663891458526,19.34161972521568,16.624636627906977,22.41621563907439
20,283.19,266.475,297.525,3.536748953653127,3.3387703332954155,3.7453642999336427,21.11374917538298,18.411948266698165,24.696607315371402
21,275.48,259.95,289.525,3.6761907175018513,3.4441620448517,3.9074794876926155,22.921838071038046,20.055125332414065,26.668800539083556
22,268.86,254.0,283.0,3.808782828231315,3.5785579116224278,4.061405788631889,24.765919603240803,21.321367154731945,28.979178918292785
23,262.24,247.0,275.525,3.9491329610922365,3.69888373827792,4.217667790376954,26.747863769577588,22.899816176470587,31.49610829959514
24,256.25,242.0,268.525,4.085794804135548,3.8331439393939393,4.338633843983068,28.72068404248559,24.548587388282026,33.530789153696496
25,250.42,237.0,264.0,4.227774214835887,3.970556471200555,4.502205882352941,30.968020309325585,26.771408121916842,36.373635833863105
26,244.65,230.475,256.525,4.37646760345141,4.10712328551407,4.670178686561665,33.28342913124408,28.624340297078625,40.12461009174312
27,239.23,225.475,253.52499999999998,4.526816120870077,4.223266005197259,4.817730030529042,35.78858493271302,30.623733758563667,43.51440649798496
28,234.19,219.425,248.0,4.675636982080803,4.350236175115207,5.0176924342781914,38.25778394440064,32.53136879856545,46.27272355095883
29,229.08,214.95,242.0,4.835711681904046,4.515909090909091,5.205130818892287,41.04746454618221,35.29037008654887,48.87044330289192
30,223.94,211.0,236.52499999999998,5.002021431722289,4.712958088774761,5.3865748327944365,44.049373704660276,37.74997936537051,51.733870447953585
31,219.34,206.475,232.575,5.165223861121557,4.850925181013677,5.542685615121242,47.21597532999398,40.590793154761904,56.55247228381373
32,214.88,201.425,227.52499999999998,5.3291107210777815,4.989797712411845,5.70513227904227,50.40614097598282,43.71868287349669,61.19231483504478
33,210.51,198.0,222.0,5.501358937421582,5.151832738702005,5.9449621212121215,53.87945859799951,45.88906163272277,65.44087534267436
34,206.39,193.475,219.52499999999998,5.674463454397097,5.332245844736667,6.159945149352366,57.61246910605275,48.998846919349255,68.90071439786463
