step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
71,92.07,86.0,97.0,15.993093977060163,15.103092783505154,17.1046511627907,520.7951801717364,440.0411458333333,624.889423076923
72,88.92,81.0,94.52499999999999,16.651890622403986,15.541769316909294,18.259876543209877,577.6770295327956,463.6122340425532,740.3196654040403
73,86.9,79.0,94.0,17.13045136804132,15.71781914893617,18.779430379746834,617.4013147045835,480.05994623655914,824.2722560975608
74,85.4,78.0,93.0,17.519235816376202,16.00510752688172,19.142307692307693,646.1368109523075,512.8483578219533,827.317087517934
75,84.08,77.475,90.52499999999999,17.88096125035044,16.555662393162393,19.432779720279722,674.5899271859046,529.1606439393939,902.8342099165889
76,82.8,77.0,89.52499999999999,18.251366829394076,16.828970037453185,19.643181818181816,704.8720612457814,545.4343545858375,918.4399038461532
77,81.84,74.475,89.52499999999999,18.5535024157507,16.92950374531835,20.483680180180176,730.1285603535438,565.9360057471264,971.9742228661745
78,80.91,74.0,88.52499999999999,18.857450007216354,17.210626276813077,20.740878378378376,758.346407232234,589.0377394024515,989.8867420814479
79,79.96,73.0,87.52499999999999,19.178687906568616,17.46440373563218,20.90627082562014,784.2027178366718,606.9628063980058,1037.6938378378375
80,78.9,72.0,86.52499999999999,19.54163338128752,17.775801924619085,21.318336187214612,812.608873152209,624.3453006728344,1088.3644946316176
81,78.08,71.475,85.52499999999999,19.846767541558073,18.04470588235294,21.764534428794992,839.9306067948107,648.2235825655564,1124.2948761261262
82,77.41,70.475,84.52499999999999,20.1149457103809,18.38859673990078,22.03239436619718,864.458006766511,673.3828598484848,1158.414692263168
83,76.67,70.0,84.04999999999998,20.40471180712557,18.612870304748405,22.322499999999998,889.895728733204,690.1625146929181,1169.6072641327416
84,75.95,69.0,83.04999999999998,20.702303291300986,18.89283536585366,22.747463768115942,917.8672439187336,706.3761158594492,1260.9225714285706
85,75.13,68.475,82.0,21.03839449797682,19.16951219512195,23.106415174765555,948.9291043239281,725.7890243902439,1386.9972537878787
86,74.42,67.0,81.52499999999999,21.346588780020756,19.38719512195122,23.657462686567165,977.0371430942811,746.7152816358025,1410.4057618437898
