step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
71,94.86,89.0,99.0,16.01347155417886,15.328030303030303,17.017696629213482,507.21011631465296,443.4936691919192,596.993158627087
72,91.05,84.475,96.0,17.286331554957687,16.3640625,18.558382352941177,594.9429044267922,515.4202127659574,749.700294117647
73,88.74,80.0,94.52499999999999,18.349656458164255,17.267648376259796,20.188125,666.3778132868772,559.3835106382979,853.404360465116
74,87.01,78.0,93.04999999999998,19.335057663615014,18.12780989824237,21.32179487179487,734.536596754901,613.6190217391304,951.3225919913418
75,85.44,76.475,92.52499999999999,20.329710211980725,18.83546633941094,22.4791481544771,803.91873939912,672.7910360251451,1055.6034665991897
76,83.75,74.0,91.0,21.395474867953354,19.835164835164836,23.853054054054052,887.1739167958885,712.6640730237505,1167.1212837837838
77,82.4,71.475,89.52499999999999,22.412810744419197,20.744597701149427,25.299403364632237,960.9406377039916,767.9430681818181,1260.9637632042252
78,81.26,71.0,88.52499999999999,23.398129119526338,21.632609805924414,26.420324726134584,1035.1122671939315,837.3721067031463,1378.9809961216572
79,80.09,70.0,87.52499999999999,24.426859682637627,22.501994787489974,27.56658450704225,1111.967802532316,904.0973890692641,1502.624852941176
80,78.78,70.0,86.52499999999999,25.52769868463966,23.43940337763012,28.502857142857142,1204.2471551723645,966.6855882352942,1594.4968603411512
81,77.52,68.475,85.52499999999999,26.650711622278127,24.373896749789857,29.904574951330304,1296.6147597544887,1060.167672476398,1672.1800292018168
82,76.36,67.0,84.04999999999998,27.7781049028819,25.33765410479126,31.05354278074866,1392.8889375787066,1147.0422839506173,1795.2423593570602
83,75.38,67.0,82.0,28.86752975992558,26.555171635049685,32.121676234213545,1487.5253881230979,1211.4678125,1899.8217537313433
84,74.54,66.0,81.0,29.934963672045946,27.57777777777778,32.97537313432836,1581.830252071433,1299.857143987342,2038.6238142292489
85,73.62,64.475,80.52499999999999,31.057757913043428,28.536875,34.23806526806527,1685.2102050776195,1374.377848101266,2130.4835606060606
86,72.72,63.475,80.0,32.201279798904736,29.425,35.746968005952375,1794.869470507611,1473.4224446202531,2266.6167049632354
87,71.98,62.475,79.0,33.310182209621296,30.359238072054527,36.88238213399503,1903.1638333630628,1566.5958333333333,2418.1222106679706
88,71.25,62.0,78.0,34.41963439438075,31.633653846153848,37.76088709677419,2012.115466237785,1692.2721153846155,2529.3352707401887
89,70.63,62.0,78.0,35.50598629984314,32.47019230769231,38.82771091811414,2128.7899111069746,1780.2684886445566,2676.1236436950144
90,69.75,60.475,77.0,36.75560063629337,33.603758741258744,40.46778225806452,2259.897223010434,1873.5729452054795,2834.3271829044115
91,68.88,60.0,76.0,38.02829199781397,34.827785372522214,42.02110308419005,2398.519216619843,1983.6450552825554,3076.748164335664
92,68.13,59.0,74.52499999999999,39.25281490306582,36.10034246575343,43.454770366320396,2541.706052445042,2128.2416666666663,3231.2344067796603
93,67.36,58.475,74.0,40.52721148235595,36.753837837837835,44.45961206896551,2688.4825539971725,2233.234603072983,3445.756640625
94,66.67,57.475,74.0,41.791279783043976,37.68177777777778,45.976639344262296,2834.018989887825,2332.1476790935676,3651.3479838709673
95,65.94,57.475,73.0,43.084287411003224,39.26849315068493,47.53041666666667,2987.37762172873,2505.233050356936,3739.3470430107523
