step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
1,680.44,665.0,695.05,1.1899731159172797,1.1622067091454273,1.2200256450722007,1.6033373468260137,1.5011920289855072,1.6929578631736764
2,620.2,602.425,639.0,1.320983868625763,1.2735637959702661,1.3654573048745156,2.118857813659044,1.922793981738198,2.292621586942425
3,578.72,562.0,600.525,1.4311428164610374,1.373553244592346,1.4782811860296665,2.617685288999019,2.370932612312812,2.873378267133155
4,546.02,525.475,568.525,1.5339211506492254,1.4709536384976525,1.5892671966816452,3.129918135177669,2.812367957746479,3.5078434105202967
5,519.4,500.475,538.0,1.6301906076713877,1.570539033457249,1.696072384289537,3.6371278907585345,3.2189591078066915,4.034003536014144
6,495.22,475.85,513.525,1.7298999950379887,1.6614936156548676,1.808988584373473,4.212077466814308,3.74493401092233,4.793657664460532
7,472.8,454.95,492.525,1.8318824503086821,1.7442071474875056,1.9351008176782627,4.84308509352039,4.287090694064602,5.59589298825257
8,453.76,436.425,477.04999999999995,1.9301002425109481,1.8252098642804402,2.0348602786642793,5.482858533902791,4.763582545808686,6.280218525766471
9,436.79,419.475,463.67499999999995,2.027585129512806,1.9018446839214227,2.1304299118950154,6.156581951977779,5.1953728598726725,7.172693982581157
10,421.15,402.0,444.62499999999994,2.1267906755204504,1.9969656708394132,2.240683118075458,6.879898247597435,5.876246239296459,7.894453339778251
11,405.91,388.95,429.15,2.232008285155562,2.0817446278825997,2.3517263427109976,7.686915034066646,6.442349100279525,8.702678208407107
12,392.21,374.475,412.525,2.336237938944087,2.1904946006609993,2.45845,8.535704720240378,7.2741257371438,9.594515777683098
13,379.21,358.9,401.0,2.4442684326955595,2.283485831234257,2.603556959974072,9.477668276124785,7.9772299314265736,11.004272764500037
14,367.33,347.95,392.575,2.550156607018029,2.356831966679682,2.711010436509875,10.410851920684829,8.626771389495278,12.1930372036918
15,355.86,333.85,380.575,2.6626886063876363,2.452809301136913,2.831190215783481,11.480675362711052,9.383641160949868,13.607304977616158
16,345.24,323.425,372.525,2.7762120193301065,2.538039091370191,2.9703747634782114,12.57751147634098,10.065905258150998,15.0879172223583
17,335.65,315.475,365.575,2.888281303373635,2.617983651226158,3.104315569487983,13.740393040411385,10.839440468148734,16.51703567697129
18,326.33,307.425,354.04999999999995,3.004354068113254,2.7140409588449916,3.2139946958652565,14.976797104879658,12.135223681409553,17.59823675496688
19,317.33,300.475,342.04999999999995,3.124816492453691,2.844775270812137,3.3206362346263005,16.30083024995362,13.157477345415778,19.181156445613713
20,308.91,291.0,334.0,3.2479736077529524,2.9547314944578926,3.476116631294617,17.744628081637046,14.296919422025514,21.323979349067375
21,301.02,280.9,327.575,3.371242536186849,3.052857348062202,3.6015734265734265,19.23788814056871,15.594861871365035,22.972709453405013
22,293.4,274.95,319.0,3.4967006132793728,3.157758620689655,3.7312330780536858,20.866985618278765,17.179534732929657,24.862731361356165
23,286.14,267.425,313.04999999999995,3.626102160926786,3.271738310708899,3.8551271951088126,22.536917251540682,18.254427976482116,26.19645487246566
24,279.41,260.95,306.0,3.756099788192303,3.363444371358767,4.054915966386554,24.3738459746817,19.807924836601305,28.476207792207788
25,272.97,253.9,299.525,3.8885803494804883,3.4693456302151953,4.168118131868131,26.261340818967607,21.027937943262412,31.02348396946564
26,266.88,248.475,291.575,4.022480020538646,3.609364111498258,4.336858974358974,28.245874560859637,22.791238021206564,33.3880186066848
27,261.29,243.475,284.62499999999994,4.154519891636957,3.7375,4.491978021978022,30.346476533193325,24.43039050337312,35.97970085470085
28,255.65,239.0,279.575,4.294669296232378,3.8687223175196497,4.646250402317348,32.561425936323744,26.772161315065595,38.70398197800706
