step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
1,680.8,667.0,694.525,1.1894704649271532,1.1671469740634006,1.2194282249979678,1.601884675697016,1.5184326455621728,1.7078006882163275
2,623.42,605.95,641.0,1.3137807227713105,1.2759287628558433,1.348338267385514,2.0977634729219825,1.909047444969899,2.2635820680376706
3,583.7,567.475,602.525,1.4192239205926944,1.3659483589802923,1.4735545815394568,2.572430353298897,2.311708897373597,2.8416700603979748
4,552.11,534.95,570.0,1.5177860837985924,1.4649635618589587,1.569855427914205,3.052285232237555,2.772897138931148,3.3859592897877024
5,524.92,507.475,545.5749999999999,1.614075103832091,1.5463754646840149,1.677866561058566,3.56115892653712,3.1839307576500606,3.9552584237578525
6,501.39,483.0,521.05,1.7094015456367773,1.6310706477432744,1.781290284776749,4.106261806959991,3.636952090462729,4.542885148171968
7,480.88,460.475,502.04999999999995,1.8023561873489067,1.710075,1.8916478308858815,4.670419619768596,4.121232661290322,5.298854065606502
8,462.22,440.475,484.575,1.8953540193300724,1.7946146831116156,1.9924902333438919,5.2762700201038095,4.600367552891758,6.052089475839475
9,444.09,422.475,466.0,1.9948015665365306,1.886995284617122,2.096998658618377,5.95996035884391,5.1660784649252625,6.77555882352941
10,428.17,405.95,447.525,2.09304112889732,1.9773011363636364,2.199771634615385,6.683323838500926,5.739954117542244,7.606479643415127
11,413.89,394.425,432.0,2.1897099261070925,2.0721583886286754,2.2979687138561187,7.4229918525130465,6.446264705882353,8.495243947104633
12,400.66,381.425,422.525,2.286515571350988,2.14227056002257,2.4095955252541996,8.225239806822708,7.138695054945055,9.358615720183844
13,387.33,370.475,407.525,2.391704758482961,2.248979115876412,2.5082740893066977,9.11910626501532,7.921199386729718,10.34246216216216
14,375.01,356.95,397.0,2.4976578298689325,2.347772538222717,2.613924040865459,10.09062988459698,8.612430062684558,11.443140608770264
15,363.51,345.475,387.0,2.6047950629783254,2.432223076923077,2.745601851851852,11.09360161200957,9.448280423280423,12.728699373812816
16,352.97,337.0,376.67499999999995,2.7125789379333525,2.520879120879121,2.8655848914947626,12.119480877313956,10.441012191138038,13.916387397095711
17,342.69,325.0,366.575,2.8244314178027814,2.63008797742013,2.972359218077475,13.27800888796931,11.347508257089707,15.526864141964332
18,333.03,314.95,355.525,2.9386100491820075,2.763507568398899,3.106412420862225,14.55033904139419,12.400768156424581,16.77088920318871
19,324.34,305.0,348.04999999999995,3.0510650687054004,2.8650049878075814,3.2427958353451194,15.821156505860998,13.641310574152072,18.31965715636822
20,315.2,296.95,338.0,3.175594042931524,2.9791595585883357,3.4102577748981857,17.317559682084795,14.833707182937383,20.10155737704918
21,306.58,288.475,327.04999999999995,3.3013966812066142,3.0631887985546524,3.561107519157088,18.86978868883683,15.83504577919611,21.84126181463505
22,298.68,279.95,318.575,3.427252778674993,3.1860693200325736,3.706509761305574,20.50518945843579,17.398706659328564,23.75156940579473
23,290.98,271.95,310.525,3.5568835673033425,3.307154859454413,3.8261389958790097,22.25749918997514,18.47721551381954,26.67687497689776
24,283.7,265.0,305.0,3.6891781235074217,3.40327868852459,3.9793477331965987,24.11349180438152,20.268356053555564,28.654177718832887
25,276.93,257.9,299.04999999999995,3.819984609226899,3.5111577181208053,4.091152240363826,26.028192659167722,21.644583333333333,31.526908396946553
26,270.22,249.425,292.0,3.957713619766468,3.6436643835616436,4.237259116285508,28.065616241884427,23.38421412145789,33.69722012888143
27,263.8,244.475,284.04999999999995,4.099964274234784,3.76859375,4.3748829039812644,30.277556270429496,25.304701817052337,35.948701923076925
28,258.27,242.0,277.525,4.233861562533508,3.9204929604703334,4.488508064516129,32.59307602400782,27.860884497964722,38.42738829333079
29,252.87,236.475,271.525,4.3730435847846785,4.0343541897891235,4.682836134453781,35.03449435590907,29.768398027249503,41.523898734177216
30,247.22,230.0,263.525,4.520992186221286,4.175088896952104,4.85529703898051,37.63875164053579,31.51982421875,45.02153520742358
31,242.6,225.0,259.04999999999995,4.6579215958719615,4.2993341824918945,5.002302631578948,39.99011841147396,33.57359162895928,48.17324042145593
32,237.2,219.475,252.0,4.816581056563072,4.43337942348254,5.194864864864865,42.965176369817854,36.69649646312708,51.11830227743271
33,232.52,215.0,247.0,4.9670056342221685,4.631058850787767,5.376851658777655,45.92798752482552,38.64474609375,55.926162790697674
34,227.97,211.95,243.04999999999998,5.121880203311987,4.777566641410663,5.526056338028169,48.83937970096911,41.12751564455569,59.38123061180525
35,223.11,207.475,240.52499999999998,5.289955040964608,4.888232697740113,5.696235117391788,52.242274393160116,44.0452380952381,62.54579689984101
36,218.78,201.475,234.52499999999998,5.455766014049226,4.984829988851728,5.905429864253394,55.87541815430417,46.91740026595745,67.28911788044437
37,214.4,196.475,229.52499999999998,5.630856945727625,5.129019452163557,6.103508604934511,59.856441147552516,49.858333333333334,71.09909717186368
38,210.43,192.425,224.0,5.800017867426623,5.336578615470852,6.3359915897992405,63.75717867670862,53.4683504398827,75.79971204188482
39,206.23,189.0,220.04999999999998,5.984396572463442,5.478094759331406,6.51279035762032,67.85007010999426,56.23273846927234,78.96145001478853
40,202.41,186.0,217.0,6.167158672042239,5.642724483204135,6.7058782165534145,72.14471502314227,60.69879596558618,85.5210984297761
41,198.45,182.475,212.0,6.359655598269665,5.837672169811321,6.935968099246788,76.88679856325217,64.97094660194175,91.73513681592038
42,194.71,176.95,208.09999999999997,6.555616642594665,5.998337438423645,7.199099616858237,81.89826920436929,68.85378464818764,98.38581460674158
43,191.24,173.95,205.09999999999997,6.75015134073147,6.150269927536232,7.389231213872832,86.8987529794651,70.75175,102.88711111111111
44,187.85,170.475,200.52499999999998,6.947647993880538,6.370413316582915,7.649459586466166,92.53771050909906,76.85272215670189,108.82436797752808
45,184.48,167.0,197.04999999999998,7.152208089837233,6.54570772491757,7.925965128566396,98.039066408323,81.91368598048403,118.36581304935766
46,181.3,165.0,196.04999999999998,7.359855674517221,6.6761315013155444,8.187595503967087,104.3080948347792,85.92850403225806,127.37770275242855
47,178.39,160.95,194.0,7.5677692633270315,6.908118556701031,8.463520897239263,110.67071501616648,89.22015693112468,138.37654179216864
48,175.08,157.0,190.575,7.799049460189797,7.093727598566309,8.736381659425485,117.84247431118655,96.82902029721984,143.1024974120083
49,172.06,154.0,188.575,8.027881849091939,7.2626470588235295,9.048892155142154,125.18772100963687,101.56418539325843,149.7425782182947
50,169.15,151.0,185.04999999999998,8.257473989226469,7.448869812252965,9.26911069063387,132.6110016993193,106.34949791587722,165.48398555087292
51,166.23,148.0,180.0,8.500428860880138,7.588370786516854,9.55152027027027,140.42858085433508,111.50644970414201,180.93117956185893
52,163.65,145.475,178.52499999999998,8.729276143704606,7.855672413793104,9.776117835122173,148.84381151810595,119.4916678007621,186.6048753805175
53,160.96,143.95,174.575,8.971451352803685,8.133205919827502,10.101232394366196,157.3147418948053,128.09766166870665,198.61220637583887
54,158.56,142.475,172.52499999999998,9.206399920230973,8.300702614379086,10.307867132867132,165.6889858457236,134.58408088235294,209.02321428571423
55,156.0,139.0,169.52499999999998,9.459601832127456,8.506809810671257,10.567124259775852,175.33021386038308,143.56516096083402,219.3794827586207
56,153.63,138.475,167.0,9.711728764247034,8.79286304691231,10.990691446842526,184.99963685418777,150.36654586593036,236.97782041033838
57,151.19,137.0,163.52499999999998,9.980566547509087,9.05075654923216,11.280639743996614,195.5869809208448,159.35343618513323,248.57841501564127
58,148.9,135.475,163.0,10.250872372642267,9.261283550613497,11.41196445572834,206.83921322615245,167.89178993462954,262.5955288461538
59,146.71,132.475,160.0,10.516290908318318,9.41732964787886,11.629819177173191,218.28387932379957,174.49316244620988,276.9384328358209
60,144.4,130.0,157.0,10.806123370198625,9.744223921240051,12.092215401785714,231.5311260957877,183.94992373398415,299.95565789473676
61,142.21,127.475,155.0,11.09532059952174,9.959803921568628,12.356951373444732,244.48131197264811,195.60501867413632,315.16555118110233
62,140.19,125.475,153.0,11.383194675719682,10.2398207353277,12.688143910977743,257.6528045504072,205.75775342465755,334.3714285714285
63,138.1,124.0,151.0,11.685591326415787,10.493166666666665,13.085819892473118,271.9350408122788,218.33578873239435,347.81995967741926
64,136.34,122.475,149.0,11.963106776914342,10.73611020427199,13.434151903754625,284.96700174012136,233.16171372367506,359.64833211143696
65,134.44,120.0,147.0,12.264690325069564,11.02955486542443,13.740797764227644,299.0115925117692,244.0504786036036,384.080625
66,132.55,117.475,146.0,12.574360348033153,11.354694784382284,14.100497268525004,314.2588687420437,254.8748263888889,406.5497695410025
67,130.83,117.0,144.04999999999998,12.886875210453502,11.569330985915492,14.511547733847637,330.0421548290056,267.3406491478776,419.49170519826254
68,128.95,115.475,141.0,13.22183161265351,11.743470149253731,14.750155279503105,347.4765588161468,282.3743006993007,452.6692836812144
69,127.05,114.0,138.52499999999998,13.568792763110821,12.010453597497392,15.337213225371118,366.0689825207158,298.0211929880648,480.2489809481612
70,125.28,113.0,136.52499999999998,13.90980478735527,12.403580562659847,15.751954277286135,384.01002085170546,306.62859151121927,502.5314959696537
71,123.71,112.0,136.0,14.240527295793525,12.68024878809829,16.18069099378882,402.98193437661115,319.9014660947232,525.9893857758619
72,122.1,109.475,133.52499999999998,14.58488326532278,13.039348710990502,16.52617138116308,422.987588089528,340.2525160845588,551.9719498725573
73,120.81,107.95,133.0,14.912755839370986,13.34878465247087,17.17605296080066,443.3219239494194,357.5315789473684,581.1841037402963
74,119.17,105.95,130.52499999999998,15.282150920802104,13.626708323073135,17.572436337134526,466.2430109472028,376.7235656242305,616.0429773462782
75,117.6,105.475,129.0,15.655053598129346,13.878036175710594,17.969012054507335,489.31111393569336,388.5901078799249,634.5663985148512
76,116.2,103.475,128.0,16.013109160012235,14.216916582661291,18.291835826210825,511.66138476266696,405.5235546875,656.5031392802741
77,114.81,102.0,125.52499999999999,16.389627608726215,14.587833333333334,18.827934173669465,537.979710974867,426.0520696175935,705.2054999999999
78,113.25,100.475,124.52499999999999,16.795975930583463,15.103539238275955,19.442607901566856,565.446838377611,451.06113247863243,739.35986562942
79,111.57,100.0,122.0,17.238839183781575,15.475819672131147,19.792156565656565,596.1882974592093,482.40550847457627,774.6509411764704
80,110.3,98.0,120.52499999999999,17.63061363223742,15.764371584699454,20.176104565537553,623.3080974339846,497.44309364548496,822.1200870087008
81,109.17,96.0,119.52499999999999,18.00835273915817,16.255521694214877,20.73828125,649.2692562188795,515.2744656597321,861.6117187499998
82,107.78,96.0,117.52499999999999,18.43678819429262,16.60261752136752,21.310937499999994,681.5692290093475,543.0484195402299,898.2135416666665
83,106.68,95.475,117.0,18.832461888565643,16.809294871794872,21.69354838709677,712.3226005430317,563.148675889328,918.0187499999998
84,105.47,92.475,115.52499999999999,19.25967019815197,17.30545979222778,22.531613475177302,746.3570450517259,587.7911645213194,988.0148758865242
85,104.27,91.475,114.0,19.69388028736347,17.578846153846154,23.07461942732874,781.063065858146,614.3509090909091,1041.103571428571
86,102.99,91.0,113.04999999999998,20.155284801334993,18.1013589985424,23.53701828063241,821.214211929413,642.0146788990826,1106.2248507724717
87,101.77,89.95,111.52499999999999,20.619014142636697,18.48449074074074,23.886981790003876,857.6500736176515,663.6264670244071,1126.8724631320222
88,100.63,88.475,110.0,21.090865939384468,18.899149291075897,24.528125,895.9534144418466,695.7857142857142,1162.6390808823528
89,99.53,86.425,109.0,21.561446054140884,19.18698394495413,25.42735548937322,939.0817359236008,719.0918527172032,1246.748744733146
90,98.39,85.9,108.0,22.051463987975456,19.750694444444445,25.959090909090907,984.0772940509195,765.5222357065804,1323.4792390194075
91,97.48,85.425,107.52499999999999,22.49946446025626,20.06450263336731,26.136176108374382,1022.0578862676397,794.079854368932,1355.7162972085384
92,96.47,84.0,105.52499999999999,22.98403373516182,20.41659699748292,26.603496127366604,1063.658297830762,816.1570669934641,1431.2661897590356
93,95.22,83.0,105.0,23.54296289054283,21.103851956624233,27.236317220099902,1115.0131511783297,864.7021634615385,1492.7110307081978
94,94.17,80.95,104.0,24.068210481734553,21.403950689186566,28.03423780487804,1166.8923612213737,917.6555555555556,1686.887187499998
95,93.05,79.9,102.0,24.623689644586875,21.881721649484536,28.707012195121933,1220.490718012171,946.9972211214583,1757.743513828038
96,91.91,79.425,100.52499999999999,25.201200879238026,22.37621173469388,29.15490950226243,1274.5660493576238,979.9969387755102,1847.1960595322462
97,90.88,77.95,100.0,25.76918563391478,22.81704400510204,29.881306818181805,1329.156603317284,1039.0576572164948,1896.7887051649923
98,89.78,76.95,99.0,26.37548768060271,23.450959477391038,30.589723517654882,1391.7308079684108,1073.6638962765958,1929.2594512195117
99,88.76,76.425,97.0,26.965754927298303,23.990520833333335,31.552953915453898,1455.8884866968729,1116.7679687500001,2003.294767633487
100,88.0,75.9,97.0,27.49473551948778,24.350885416666667,32.30548378706431,1509.2717594036058,1168.4282258064518,2102.8319349315066
101,87.17,75.425,96.52499999999999,28.0553903103115,24.96959918478261,32.688178260096045,1569.6713652438934,1208.9744680851063,2190.4708904109584
102,86.31,74.95,95.0,28.62790440992585,25.42609332609875,33.280993150684914,1631.5572006255181,1253.6225105189342,2274.1579668348945
103,85.39,73.95,95.0,29.248261327132127,25.82810581140351,33.94828767123287,1699.9603678502526,1311.7355969872824,2356.4799102564093
104,84.46,73.95,94.0,29.89188503227438,26.21,34.567708333333314,1771.5202995936652,1363.4634615384616,2465.6716986301367
105,83.68,72.0,93.52499999999999,30.502491337068417,26.670384615384616,35.46041666666666,1840.3826435938151,1408.2474866942637,2531.3974573257465
106,83.02,72.0,93.52499999999999,31.070162733028432,27.15862922705314,35.99451291079812,1910.4703957174997,1456.9305880946688,2610.783821917808
107,82.11,71.475,92.0,31.74895328444831,27.61832793709528,36.63291666666666,1991.01431464235,1507.6259682046377,2663.897
108,81.23,71.475,90.0,32.4181260940075,28.683256704980842,37.603615196078415,2074.7716972447315,1579.2218876262627,2759.917079812206
109,80.55,70.475,89.0,33.03151655654099,29.366208010335917,38.556895101955,2155.5532674003534,1690.8255108556832,2880.1621153846145
110,79.56,70.475,89.0,33.7924634196997,29.819444444444443,38.93896888795458,2251.7398069898686,1758.1856249999998,2957.3613028169007
111,78.62,70.0,89.0,34.551666976340606,30.426404494382023,40.3,2352.291079918742,1829.9598837209303,3037.0992253521126
112,77.85,67.425,86.52499999999999,35.252505796816905,31.058391037366082,41.66066889632107,2443.6853477218765,1903.0454388150608,3175.2932486221675
113,77.06,66.425,86.0,35.99422690093652,31.381310192616372,42.71750919117647,2537.7409546542676,1982.5473214285714,3315.664140271493
114,76.32,65.95,85.0,36.71856016162923,32.084879679144386,43.29644230769231,2638.557075258278,2029.7493827160495,3396.59703125
115,75.57,65.475,84.52499999999999,37.46630057965981,32.87634713556438,44.088333333333324,2742.846280545274,2100.468867329784,3555.7771566597653
116,74.92,65.475,84.52499999999999,38.17263065144975,33.561119081779054,44.547179487179484,2840.9295454430367,2185.616666666667,3669.164417249417
117,74.12,65.0,84.0,38.98483477092683,34.12469135802469,45.81814685314686,2957.1799422259046,2276.4173713235296,3770.201640271493
118,73.58,63.95,83.52499999999999,39.66712503574267,34.68691860465116,46.48137829912024,3054.4303463383944,2328.930144230769,3973.236551071879
119,72.87,63.475,82.04999999999998,40.45759389916236,35.4309375,47.398836594394496,3179.9154084619745,2431.0321467688937,4122.77462121212
120,72.11,62.475,82.04999999999998,41.30071033773981,35.600625,48.58712797619047,3299.3465572434147,2477.7136069277108,4233.613333333333
121,71.43,62.0,81.0,42.12498324048261,36.15551819620253,49.51583461341526,3412.4783319312114,2549.539774859287,4494.39133890086
122,70.63,61.475,79.52499999999999,43.01861126535138,37.117333860759494,50.291935483870965,3554.760607867266,2661.921347840756,4794.815163934425
123,69.99,61.0,78.52499999999999,43.84258537937063,37.79837662337662,50.99617255504352,3686.123272049445,2767.636696969697,4889.630090595339
124,69.47,60.475,78.0,44.60028991711217,38.43301282051282,52.56217213114754,3827.573255365332,2827.0080606060606,5296.457636210219
125,68.8,59.475,78.0,45.464006326112234,38.99903846153846,52.976441492368565,3969.169478770073,3015.315390865549,5412.077954489843
126,68.19,59.0,77.0,46.308650335925456,39.61511876281613,54.1107738260628,4117.173604380788,3147.116861179361,5592.277083333331
127,67.53,58.475,77.0,47.22576522646325,39.98200615174299,55.154591553209215,4268.476242543815,3204.388237100737,5792.944915254236
128,66.78,57.475,76.52499999999999,48.214912562962915,40.90417690417691,56.37715517241378,4427.390530750431,3349.239181818182,5931.695930742256
129,66.23,57.475,75.52499999999999,49.07642920372321,41.61608219178082,57.78879310344827,4567.147787241225,3457.900164383562,6018.540341905318
130,65.7,57.0,74.52499999999999,49.94768897747109,42.44560810810811,58.90897475369458,4720.84878596643,3649.215198074787,6328.620213248634
131,65.19,56.0,74.0,50.80786511457846,43.65320945945946,59.55704022988506,4864.298851082262,3782.842796361502,6482.482456140348
132,64.75,56.0,74.0,51.62815218413844,44.373544520547945,60.04525862068965,5021.209700723854,3856.7923855633803,6791.789035087719
