step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
71,95.08,90.0,100.0,15.585695322752583,14.799,16.50638888888889,487.60297741493537,415.73013636363635,577.5246007259528
72,91.61,86.0,98.52499999999999,16.360723506619916,15.22101886209029,17.465697674418607,545.1633063277088,443.77281733247423,674.3280682800346
73,89.46,83.475,95.52499999999999,16.94528210077175,15.781875000000001,18.240651893287435,594.2271892446417,467.045,738.9492477076069
74,87.67,81.0,95.0,17.48439890377278,15.982894736842105,19.012345679012345,637.9629244088454,480.87757949561404,809.8661564864107
75,86.13,78.475,93.52499999999999,18.0004244575014,16.558258979638527,19.80929892891918,687.3954836043096,520.7994416873449,957.1053696303694
76,84.92,77.0,93.0,18.450020157017846,16.776612903225807,20.30681818181818,724.0300400688875,550.0270505617978,1002.0213970588231
77,83.98,76.0,93.0,18.860694951700626,17.0747311827957,20.82678998632946,759.7220672456667,580.3049636108274,1074.1720307017545
78,82.74,75.0,90.52499999999999,19.350958416807863,17.593186813186815,21.32766666666667,803.3708725441974,616.9418972332016,1125.140584415584
79,81.84,74.0,90.0,19.780966474441165,17.87527777777778,21.777815315315316,837.7298502245982,649.1052996422183,1160.473187960688
80,80.81,73.475,88.52499999999999,20.250749527940215,18.314185393258427,22.157876712328765,879.6502534532583,684.8165697674418,1231.086574975657
81,79.9,73.0,87.52499999999999,20.706488871294695,18.690386624869383,22.575513698630136,920.6291765285695,709.6591176470588,1293.3084415584412
82,79.03,71.475,86.52499999999999,21.161115909198458,19.097784683239777,23.316094483568076,970.6274466296682,736.4128191336775,1356.9589285714283
83,78.33,71.0,85.52499999999999,21.5805219851538,19.595882352941178,23.628604264475744,1007.3790044996479,763.8232383020454,1383.138134057971
84,77.5,70.475,84.52499999999999,22.046066574380983,20.05360028348689,24.19049295774648,1050.0283015436303,793.2922645125958,1412.3221594202898
85,76.59,68.475,84.0,22.55938119984506,20.42172619047619,25.132592710997443,1100.7711884403582,814.9835365853659,1473.6043918918917
86,75.9,68.0,83.52499999999999,23.01223001286952,20.66388769363167,25.680882352941175,1146.103272861778,840.5579719963866,1507.5247335890876
87,75.2,67.0,83.0,23.475775650714954,21.08992065824273,26.29365671641791,1191.7758902188846,886.0209876543211,1564.7354845490854
88,74.5,66.475,82.0,23.94964279296754,21.5140243902439,26.736821573948436,1237.8805421068555,944.3192181682799,1650.0057142857138
89,73.88,66.0,82.0,24.407752155174258,21.868021680216803,27.199242424242424,1293.0211036472608,972.8796874999999,1745.6537121212116
90,73.31,66.0,82.0,24.86093196519333,22.120675248419154,27.486363636363635,1342.9613736856022,1011.5526533592989,1806.5270421607368
91,72.63,65.475,80.0,25.36406954760066,22.561875,27.962977855477853,1404.5320218115112,1058.6721538461538,1870.1647058823519
92,71.97,65.475,80.0,25.866607142542204,23.00823688271605,28.43998834498834,1460.5644742609861,1095.4835227272727,2028.0968108675372
93,71.26,64.475,79.0,26.39968899943611,23.547990506329114,29.133792067307688,1517.247350892211,1133.8664912280701,2106.3983333333335
94,70.49,63.475,78.52499999999999,26.97526721255122,23.898093151574166,29.84973958333333,1585.1369704498827,1202.8759054054053,2157.0450024801585
95,69.82,63.0,77.52499999999999,27.522246557131737,24.30395854145854,30.46944444444444,1644.7699647138068,1243.807911392405,2203.0445312499996
96,69.25,62.475,77.52499999999999,28.038172389377678,24.74704045954046,30.91045186891961,1709.6083589604445,1276.6894794520547,2278.6167968749996
97,68.79,62.0,76.52499999999999,28.509920882615965,25.334659090909092,31.48266129032258,1776.177686509157,1313.8056712328766,2573.680816157308
98,68.16,61.0,75.0,29.084978577202815,26.123,32.484836065573774,1846.6893444067214,1373.8737894144144,2665.0724340175952
99,67.6,60.475,75.0,29.631108132656585,26.455662162162163,32.847233606557374,1911.877020842425,1428.6510273972603,2741.501185604236
100,67.08,59.95,74.0,30.17696606820696,26.885135135135137,33.689649902750766,1975.2846794618113,1488.5146392050935,2800.073898947883
101,66.51,58.475,73.52499999999999,30.755255106417813,27.473741206960387,34.549196376388075,2045.7585978592576,1532.7663461538461,2915.987954545454
102,66.03,58.475,74.0,31.299077000489774,27.758783783783784,34.956655464640555,2114.0325945080444,1583.9359722222223,2964.563106060606
103,65.49,56.475,73.0,31.886840916962342,28.42513793759513,36.13541666666666,2195.0286873002888,1616.0180555555555,3129.2741071428563
104,64.9,56.0,72.0,32.50832136565491,28.915972222222223,36.73839285714285,2286.937032114496,1739.1729464285715,3248.4273437499996
105,64.38,56.0,71.0,33.09232371153138,29.40494424882629,37.070089285714275,2357.740881560659,1806.7963229376257,3339.0746705600473
106,63.85,56.0,70.0,33.706018898513456,30.188152173913043,37.699245689655164,2447.7590365414117,1896.1415307971015,3451.2865079365065
107,63.35,55.475,69.52499999999999,34.321808487378505,30.42689440993789,38.71173197492161,2531.562358693436,1932.6060869565217,3514.475182592818
108,62.93,54.95,69.0,34.90185848733926,31.01014492753623,39.4986111111111,2629.632866008028,1986.7535976729946,3606.9178194789074
109,62.35,54.95,69.0,35.58694359420064,31.85906878650227,40.162996031746026,2718.766273397588,2026.3969501625136,3881.2337499999994
110,61.94,54.0,69.0,36.18383358733314,32.02391304347826,41.20525252525252,2807.9064363057796,2065.6058504875405,4002.191640890813
111,61.47,53.475,68.52499999999999,36.82239226732129,32.56528769197491,41.56270202020202,2897.9803975885293,2181.6928545673077,4131.738948787061
112,61.05,53.475,68.0,37.44976775586742,32.93276854219949,42.07685185185185,2987.121204234339,2231.9689050099205,4368.412264150943
113,60.61,53.475,67.52499999999999,38.08369490017087,33.65882352941176,42.483333333333334,3080.5789593037894,2283.264453125,4439.863806996856
114,60.2,53.0,67.0,38.72147421071598,34.25700474898236,43.66320754716981,3185.4277763928885,2362.713765158582,4579.905802387268
115,59.8,52.475,66.52499999999999,39.368337791099655,34.75325644504749,44.32852866473149,3282.1269369025536,2453.192769607843,4658.70892094017
116,59.38,52.0,66.0,40.05453032274937,35.50791903409091,45.28825290275762,3407.112668410121,2504.361029411765,4777.11870464441
117,59.05,51.475,66.52499999999999,40.666774402067205,35.552530317164184,46.25710321864594,3503.258904397137,2576.1760436432637,4843.0984941944835
118,58.64,51.475,65.52499999999999,41.361117227304504,36.10759943181818,46.80729638009049,3630.2009972854967,2622.148244781784,5013.026217838765
119,58.18,51.0,65.0,42.08443301463117,37.0125,47.54486681465038,3758.307145693014,2687.1062169919633,5196.557670454544
120,57.68,51.0,64.52499999999999,42.84750692899992,37.44382867132867,48.526489441930615,3879.1233463358258,2812.3723011363636,5320.434606481481
121,57.35,51.0,64.52499999999999,43.5086791230479,37.8290625,49.262019230769226,3987.9900789959356,2859.762180397727,5384.673958333333
122,56.96,49.95,64.0,44.22199119322423,38.87948028673835,50.00666208791209,4118.619139110078,2945.984375,5545.436160714285
123,56.62,48.475,64.0,44.90574361512946,39.505531754032255,51.488082107843134,4242.866856727441,3014.5273016826923,5956.022353316323
124,56.23,48.475,62.52499999999999,45.6558045368307,39.75981182795699,52.43023897058822,4364.819638964881,3215.952231182796,6054.466694352155
125,55.89,48.475,62.0,46.37154401514692,40.86324034902168,53.418416666666666,4476.112620455299,3278.250819892473,6144.6456929283295
126,55.56,48.475,61.52499999999999,47.08001374386153,41.5672131147541,54.060948581560275,4599.722545027381,3339.854516129032,6389.2630813953465
127,55.18,48.0,61.52499999999999,47.84212359379297,41.942622950819676,54.589849290780144,4755.566552455582,3456.194853745216,6477.759581842574
128,54.94,48.0,61.52499999999999,48.491569903741045,42.29631147540983,55.05330230496454,4860.48152926101,3518.893561607615,6570.284894901608
129,54.5,47.475,61.52499999999999,49.311623621106456,42.71120218579235,56.178720238095224,5014.779880829098,3703.717131147541,6667.026095706617
130,54.13,47.0,61.52499999999999,50.11901614122642,43.4588313061872,57.54627659574467,5164.529533272191,3818.6625,6769.409482405889
131,53.66,47.0,60.52499999999999,51.02654970549178,43.9290368852459,58.1707331174838,5376.283355490654,3983.920646551724,7286.455434782607
132,53.33,47.0,59.52499999999999,51.79961640443646,45.84207334891876,58.67547409805734,5535.695415788202,4142.424310344827,7633.9733217592575
133,53.0,47.0,59.52499999999999,52.58985281773841,46.27568673290473,59.535106382978725,5703.56267298295,4215.681422413793,7858.093784683683
134,52.74,46.475,59.52499999999999,53.336412128966366,46.75255698421976,60.04468085106383,5857.300156358136,4342.131600877193,8217.941333679293
135,52.45,46.0,59.0,54.11906018955081,47.91574371712449,61.420070921985804,6003.7825952769235,4547.3523416592325,8456.905049019604
136,52.01,45.475,58.52499999999999,55.0488904390511,48.7301724137931,62.44789855072463,6231.196976522051,4618.756199821588,8649.844103260868
137,51.75,45.0,58.0,55.820670916731025,49.10862068965517,63.69555555555554,6399.824498232338,4760.171610169491,8767.395570652172
138,51.35,45.0,58.0,56.73557351291209,49.557758620689654,64.64055555555555,6617.140733704091,4907.9668103448275,8898.931749999998
139,51.04,44.475,58.0,57.592679573776934,50.09614991233197,66.12430830039526,6791.787998920385,5016.9179341133,9115.52094476744
