step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
1,681.03,662.475,697.05,1.1891752091142047,1.160308674133889,1.2241978350717466,1.599588922015827,1.504987282375126,1.724375891420942
2,624.79,605.95,643.525,1.3108342613264847,1.2713453494094489,1.353079692071239,2.0800509995186265,1.9094755826859044,2.2517128874388255
3,585.12,566.475,605.525,1.4150011622450205,1.351288166227459,1.4668645048312956,2.545219310411794,2.2583767868199316,2.8486772486772485
4,553.92,535.0,575.625,1.5110624691844186,1.4370065035227415,1.5653504793320276,3.016471155678987,2.632197601175082,3.34331380913298
5,526.98,508.0,548.0999999999999,1.6055582828024544,1.5160793001962067,1.6657514450867053,3.516621241488191,2.983472040549379,3.954135675299657
6,502.91,481.475,526.525,1.7019175034142986,1.5905819221401591,1.7851085006167995,4.065291022267616,3.409157679847335,4.719991198081437
7,481.23,459.425,504.0,1.798996520242112,1.6840458152958153,1.8969041471067083,4.66150215371435,3.9278554175293308,5.26668600630867
8,461.25,437.9,485.525,1.8988312246209875,1.7830048334896613,2.005965909090909,5.310587113782569,4.517579542327314,6.2425317701807765
9,444.57,422.475,466.525,1.9940522784455588,1.8803285499696378,2.11323676657099,5.948677562637344,5.111386955745896,7.050042699272698
10,428.11,406.0,450.0,2.0955255073483325,1.9654627998042093,2.2355576841209026,6.677366945843645,5.601433186490455,7.9066517977831845
11,413.52,391.475,434.04999999999995,2.1933281525689723,2.052600747774733,2.3368622448979592,7.411252881447434,6.25085025657823,8.673344117010853
12,399.3,379.425,419.525,2.2954641499171258,2.1495527847790687,2.4334864391951005,8.235692109473307,6.994744903970779,9.621230340393495
13,386.06,367.475,405.525,2.400481869367282,2.254723830530282,2.549888194526715,9.14742694150841,7.767411816439991,10.670040760869563
