step,num_clusters,mean_cluster_size,mean_squared_cluster_size
1,682.46,1.1866774959858442,1.5919976283475388
2,622.09,1.3169498816510252,2.1066655184652627
3,579.87,1.428795997760542,2.59928636687994
4,547.68,1.5304077768991573,3.097352229503692
5,519.73,1.6308450127732674,3.6240559843678426
6,495.47,1.7303510346391817,4.1843222104042255
7,474.19,1.827699985282983,4.782107215800345
8,454.52,1.9283373075262833,5.437043263939205
9,436.6,2.0303614822151217,6.125602462988062
10,420.83,2.1304097393534915,6.861211535713566
11,405.88,2.2312085046488135,7.651797113467285
12,392.4,2.333764671634276,8.482290891698794
13,379.22,2.441398996777438,9.404902055623875
14,367.25,2.5486469624384704,10.328767197581605
15,356.17,2.6569951897421036,11.333977492616272
16,345.95,2.766217121420908,12.408932107231346
17,335.47,2.886484319445161,13.66247252673032
18,325.7,3.005142882045969,14.917481428867793
19,317.09,3.1196730173542835,16.202256268362518
20,308.28,3.2440390766624523,17.66060458366072
21,300.85,3.3584333328415754,19.082686892042137
22,293.51,3.4796644117003903,20.613456267155254
23,286.66,3.5995222847730997,22.152906103129943
24,280.05,3.726066054796637,23.959953277317688
25,273.51,3.855782850658008,25.75116039933883
26,267.57,3.984839567103007,27.60721722876382
27,261.81,4.120594300612247,29.621156773913018
28,256.06,4.258964684048484,31.757767696866733
29,250.27,4.406175208951216,34.159556690863084
30,244.97,4.550291494135975,36.53191013976694
31,239.89,4.698588742217727,39.03557445275506
32,235.29,4.8425299393973225,41.56505447601326
33,231.0,4.988568926445738,44.422481335839194
34,226.39,5.149140916859595,47.41323472985048
35,221.97,5.308164777297507,50.58214879021897
36,217.92,5.470216693205211,53.778961376193074
37,213.74,5.637261411405767,57.1226656673044
38,210.02,5.80236721460058,60.87189256666218
39,206.22,5.976859455138328,64.70950189545107
40,202.53,6.152788873072659,68.79365886295307
41,198.81,6.338874725215452,73.15238973530172
42,195.23,6.527743916625889,77.65366956955309
43,191.94,6.713057441174488,82.37667964095549
44,188.81,6.898936087709416,87.12970390539162
45,185.86,7.087375795525345,91.96694389740713
46,182.65,7.2910747191122915,97.27054071759818
47,179.77,7.494494171909289,102.89575582967555
48,176.84,7.701023517220396,108.87730124868935
49,174.4,7.893843193320877,114.96692761049181
50,171.68,8.107574162518608,121.27502874013143
51,169.03,8.326082987097044,127.86281141948919
52,166.61,8.542849809056788,135.08912794615213
53,164.28,8.763398881449989,142.61998728536372
54,161.86,8.995109972107404,150.64545987208888
55,159.53,9.227187543400508,158.6325674710628
56,157.26,9.465943091650011,167.19906105766725
57,154.97,9.71495239618644,176.0600844348862
