step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
1,680.56,665.475,696.525,1.1903851173206865,1.159157060518732,1.2192541122574128,1.6048972622928823,1.501192469267054,1.70054932735426
2,620.19,600.475,638.0,1.3207697346413994,1.2733214647150297,1.3675208891209902,2.1163070218924025,1.939895138343799,2.324327334855752
3,579.02,554.475,597.525,1.4302400757399483,1.3693009259259261,1.4889144972649715,2.6050502216253024,2.3402230695874198,2.895758122743682
4,546.01,526.475,566.625,1.5337442969951323,1.4617886874479697,1.597652091254753,3.1166947593518852,2.7621840294656543,3.449009487666034
5,518.62,498.0,543.5749999999999,1.6328727509974255,1.5484061315225313,1.7056717550813865,3.64779858509521,3.201548633625864,4.058064748762328
6,494.7,474.425,518.525,1.7309086262875142,1.6421875,1.8181101000949742,4.210413029354846,3.7388786407766994,4.77143605870021
7,473.43,454.0,498.62499999999994,1.829099696417762,1.7297928000857132,1.9220564457568863,4.8087574383076,4.176301878442172,5.5151483600449005
8,453.73,434.475,472.525,1.930038731065568,1.839011871168629,2.0310269865067467,5.463003590090022,4.782673079941284,6.265844140982605
9,436.73,419.475,454.04999999999995,2.02847594766416,1.9357539142273656,2.1214285714285714,6.143928029720806,5.368821774252238,6.976565420560747
10,420.45,403.475,438.525,2.1303831176123484,2.032854919053549,2.2320105397636536,6.881256721961186,5.956824921533019,7.852003631742513
11,406.24,386.375,423.04999999999995,2.229639907330303,2.1142019027484142,2.359546083860759,7.634451600977315,6.633632643782678,8.615256555153707
12,392.76,376.475,412.04999999999995,2.332395859077476,2.2157344831073646,2.427470882545932,8.455569791513478,7.284792585097926,9.531259445164073
13,380.08,362.95,397.575,2.437693757279797,2.316053907676806,2.544607270658342,9.351141049225818,8.039747013662652,10.63447191052171
14,368.6,351.0,388.04999999999995,2.540261962561085,2.4088152472072406,2.666149347728295,10.254412461813414,8.844255932909057,11.816243328026966
15,357.52,340.475,376.0,2.6488472016018676,2.5089760638297873,2.7947497420020637,11.252126620651723,9.720257969050845,12.802324298361762
16,347.1,331.475,363.0,2.7579040784767237,2.6248176956733107,2.890903260694685,12.2929903186575,10.75458908839779,13.888161510368198
17,337.33,323.0,353.09999999999997,2.8708537313668554,2.7135623249583958,3.0154612483818313,13.406336150050421,11.609035816618912,15.316972477064219
18,327.52,312.475,345.04999999999995,2.9918109467389447,2.8200879878236482,3.152436265231279,14.6979813868736,12.776044432297361,16.70601265822785
19,318.71,303.425,336.04999999999995,3.1084096068347127,2.928263100378485,3.2735259763761393,16.01624027448832,13.850142678997287,18.196321241104588
20,310.48,294.0,328.525,3.2273685688700846,3.0349064171122997,3.4120331125827814,17.43509435102864,14.925766871165644,20.043641713233228
21,302.01,287.0,321.0,3.354546785967089,3.1252483531533617,3.5527714146460334,18.964447612845145,16.428268128818434,21.950615347490345
22,294.67,281.0,314.0,3.4768557917897844,3.2148389321648816,3.678202846975089,20.446803983509632,17.564849120262345,23.6488605255954
23,287.65,274.475,305.0,3.6017774240876084,3.342016129032258,3.7969581902103906,22.06443216530277,18.922909809084924,24.97514161053276
24,281.13,267.475,297.0,3.727100531098947,3.476958664821861,3.9496034775233246,23.75679230709974,20.42154280904281,27.285006083136196
25,274.87,261.475,290.525,3.8530106189159166,3.5642022909777986,4.084851752021563,25.542632525853737,21.443846294937636,29.33410196209961
26,268.52,252.9,284.04999999999995,3.9908378106465032,3.6609024514241075,4.291319338032485,27.55482868607774,22.83728566114934,31.45935044359949
27,262.74,246.475,276.04999999999995,4.121114697326481,3.832544606650446,4.447286945419726,29.49639761661138,25.085675182481754,34.51186561773758
28,257.22,242.0,273.575,4.256158576419816,3.955383895131086,4.573686783661532,31.61845954154268,26.94581137214845,37.34488182509768
29,251.85,234.0,268.525,4.394571373682318,4.077608626244449,4.739982745055967,33.940907312180414,28.438675089381988,39.63682126696832
30,246.89,230.0,264.525,4.533988214723799,4.1916229603729604,4.8844793678037615,36.29755798314066,30.160407647907647,42.17306505223171
31,241.87,224.95,261.0,4.681758141364209,4.295707089608096,5.0545403587443944,38.85354044649351,32.61153089036948,45.73265725737838
32,236.62,221.0,255.04999999999998,4.837401488280864,4.436340914084817,5.1719881244881245,41.643356488544086,34.93365718719428,49.222988939165404
33,231.93,214.475,251.0,4.992230537575652,4.545375629275848,5.440187920202799,44.55795833020532,36.85774816057829,53.06455479452054
34,227.15,211.0,244.04999999999998,5.151808798513733,4.698514660493827,5.593956243800286,47.54258637906856,39.62234931009441,57.203398008939445
35,222.58,208.0,238.04999999999998,5.318120407132697,4.8847923681257015,5.7782595693779895,50.872444358192006,43.097345132743364,60.651026272577994
36,218.11,202.475,233.04999999999998,5.486916881211839,5.056974627534446,5.9441381638163815,54.44478807842651,46.47080930930931,63.868810967112594
37,214.26,199.475,229.0,5.647733013682986,5.22914847161572,6.103960396039604,57.96022952332855,49.328242326036445,69.24863486348634
38,210.18,196.475,223.52499999999998,5.816671048605827,5.3842875278989295,6.248905172413793,61.76043440370746,51.98683449074074,73.668427271136
39,206.62,193.475,219.52499999999998,5.982796116165104,5.532409044041833,6.402624352331606,65.52620211071175,54.43101182093629,76.68280927835052
40,202.81,190.475,216.0,6.169541460123045,5.67285516753489,6.622770296643248,69.78508103094275,56.70379476040021,81.16480769230769
41,199.25,186.9,214.52499999999998,6.351665481754497,5.8041641543563465,6.781799738219895,74.23020040724904,60.70385400598857,85.18055354090038
42,195.56,181.475,210.52499999999998,6.541529954199052,5.945919158361019,7.018772401433692,78.880038994331,64.57692118226602,92.72601289134438
43,192.37,177.95,209.0,6.723715450654387,6.092727272727273,7.314631147540983,83.29882746166587,66.63110166869004,97.59731615545819
44,189.21,175.475,204.52499999999998,6.910860132673628,6.256094527363184,7.529707119537921,88.29954078738439,71.33483324648253,103.50892997898056
45,186.35,172.475,201.04999999999998,7.095845343830011,6.462062814070352,7.6994277108433735,93.30867057103818,76.40357652989778,108.10857076320184
46,183.28,169.0,198.0,7.293013411167159,6.6237916666666665,7.90618717473444,98.88972370343527,81.64651893939394,114.03908875739644
47,180.49,166.425,193.575,7.49058360777779,6.838527644230769,8.140368625277162,104.55824154600793,84.24138084602909,120.86660738714089
