forward_means_csv,initial_singleton_count,mode,movement_phase,n_runs,n_workers,override.merge.p_merge,override.phenotypes.proliferative.fragment_rate,override.phenotypes.proliferative.prolif_rate,scenario,seed,start_step
abm_00_data_t71_phase2__p_merge_0p56__fragment_rate_0p0008__prolif_rate_0p005/forward_sims/forward_means_stats.csv,,data_t71_phase2,2,100,8,0.56,0.0008,0.005,abm_00_data_t71_phase2__p_merge_0p56__fragment_rate_0p0008__prolif_rate_0p005,42,71
abm_01_data_t71_phase2__p_merge_0p9__fragment_rate_0p0008__prolif_rate_0p005/forward_sims/forward_means_stats.csv,,data_t71_phase2,2,100,8,0.9,0.0008,0.005,abm_01_data_t71_phase2__p_merge_0p9__fragment_rate_0p0008__prolif_rate_0p005,42,71
abm_02_data_t71_phase2__p_merge_0p56__fragment_rate_0p0008__prolif_rate_0p011/forward_sims/forward_means_stats.csv,,data_t71_phase2,2,100,8,0.56,0.0008,0.011,abm_02_data_t71_phase2__p_merge_0p56__fragment_rate_0p0008__prolif_rate_0p011,42,71
abm_03_data_t71_phase2__p_merge_0p9__fragment_rate_0p0008__prolif_rate_0p011/forward_sims/forward_means_stats.csv,,data_t71_phase2,2,100,8,0.9,0.0008,0.011,abm_03_data_t71_phase2__p_merge_0p9__fragment_rate_0p0008__prolif_rate_0p011,42,71
abm_04_data_t71_phase2__p_merge_0p56__fragment_rate_0p0008__prolif_rate_0p055/forward_sims/forward_means_stats.csv,,data_t71_phase2,2,100,8,0.56,0.0008,0.055,abm_04_data_t71_phase2__p_merge_0p56__fragment_rate_0p0008__prolif_rate_0p055,42,71
abm_05_data_t71_phase2__p_merge_0p9__fragment_rate_0p0008__prolif_rate_0p055/forward_sims/forward_means_stats.csv,,data_t71_phase2,2,100,8,0.9,0.0008,0.055,abm_05_data_t71_phase2__p_merge_0p9__fragment_rate_0p0008__prolif_rate_0p055,42,71
abm_06_data_t71_phase2__p_merge_0p56__fragment_rate_0p08__prolif_rate_0p005/forward_sims/forward_means_stats.csv,,data_t71_phase2,2,100,8,0.56,0.08,0.005,abm_06_data_t71_phase2__p_merge_0p56__fragment_rate_0p08__prolif_rate_0p005,42,71
abm_07_data_t71_phase2__p_merge_0p9__fragment_rate_0p08__prolif_rate_0p005/forward_sims/forward_means_stats.csv,,data_t71_phase2,2,100,8,0.9,0.08,0.005,abm_07_data_t71_phase2__p_merge_0p9__fragment_rate_0p08__prolif_rate_0p005,42,71
abm_08_data_t71_phase2__p_merge_0p56__fragment_rate_0p08__prolif_rate_0p011/forward_sims/forward_means_stats.csv,,data_t71_phase2,2,100,8,0.56,0.08,0.011,abm_08_data_t71_phase2__p_merge_0p56__fragment_rate_0p08__prolif_rate_0p011,42,71
abm_09_data_t71_phase2__p_merge_0p9__fragment_rate_0p08__prolif_rate_0p011/forward_sims/forward_means_stats.csv,,data_t71_phase2,2,100,8,0.9,0.08,0.011,abm_09_data_t71_phase2__p_merge_0p9__fragment_rate_0p08__prolif_rate_0p011,42,71
abm_10_data_t71_phase2__p_merge_0p56__fragment_rate_0p08__prolif_rate_0p055/forward_sims/forward_means_stats.csv,,data_t71_phase2,2,100,8,0.56,0.08,0.055,abm_10_data_t71_phase2__p_merge_0p56__fragment_rate_0p08__prolif_rate_0p055,42,71
abm_11_data_t71_phase2__p_merge_0p9__fragment_rate_0p08__prolif_rate_0p055/forward_sims/forward_means_stats.csv,,data_t71_phase2,2,100,8,0.9,0.08,0.055,abm_11_data_t71_phase2__p_merge_0p9__fragment_rate_0p08__prolif_rate_0p055,42,71
