step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
1,681.23,665.475,697.5749999999999,1.1891899430233892,1.157621263134527,1.2201020594234153,1.5995995209566698,1.4946440183564647,1.699805783170501
2,622.52,603.375,639.525,1.3167520206745735,1.2749436177504587,1.363223439395148,2.105385720425055,1.9292840166731668,2.2885086712503293
3,580.88,559.375,599.5749999999999,1.4264716823319015,1.38311782149795,1.4835724713609384,2.591965411501227,2.3823821595822587,2.911841352566006
4,547.85,525.325,568.525,1.5303883643320995,1.4711995876339878,1.5975360146013948,3.0999204479995486,2.7658350651269688,3.4583863527353778
5,520.29,502.95,537.0,1.629330667960535,1.571000342672011,1.684794478815148,3.6185979354671733,3.316614787651373,3.997527213978731
6,496.13,478.95,512.525,1.7277097636493952,1.6717976083868578,1.7977628591560322,4.1661167603003655,3.8071783439989964,4.624417790456431
7,474.9,454.475,494.0,1.8255712656926073,1.7521386946386945,1.915457472043375,4.758040048622276,4.302083282214861,5.355951199338295
8,455.01,433.0,474.575,1.9274391269328166,1.842024862758828,2.046600349627919,5.4136080497140275,4.822376819595751,6.223195059233598
9,437.16,417.0,454.525,2.0287080194808245,1.932098662207358,2.1465368131027094,6.097292389318231,5.385649784997611,7.072590645521866
10,421.3,402.425,438.575,2.12905495994284,2.017067869057548,2.24005198019802,6.818806060998399,5.997163931920098,7.756971014492754
11,406.99,388.0,426.62499999999994,2.229254155367929,2.1151190634010537,2.349238009861049,7.579245356863602,6.5892578745350106,8.714864935403888
12,393.33,376.475,410.09999999999997,2.332579724713246,2.214421769518857,2.46377024291498,8.404372753280844,7.480105138976106,9.75167853639039
13,380.67,362.9,398.09999999999997,2.437198476565577,2.3060625000000003,2.5679661651321206,9.305055076802986,8.187960443037975,10.923852223816352
14,368.47,350.0,384.04999999999995,2.5458927521713277,2.419965582720152,2.6874230114269344,10.268994659140612,9.02997607191584,11.992031855722228
15,357.12,335.95,373.525,2.6565629071209202,2.529717132754741,2.8302894211576843,11.329342522050197,9.958540854306984,13.390013937641957
16,346.43,323.95,362.0,2.769626489544866,2.6388825757575756,2.961671349608475,12.450361528453046,10.987895636295534,14.69301111399492
17,336.0,317.0,352.525,2.8880543347056356,2.7175688879400948,3.064645375703026,13.688255365372251,11.766778055047686,16.0894244825729
18,326.37,306.85,342.04999999999995,3.0069305426541204,2.824919993444207,3.2073746956637867,14.984497189604815,12.859698327005221,17.87048109527823
19,316.92,298.475,333.0,3.1324338647295384,2.9547121768547497,3.340442479346165,16.379875799708664,14.127447732285507,19.8003022090175
20,308.51,291.95,322.04999999999995,3.254613859796304,3.085765471044125,3.4927737165936437,17.801998224158766,15.33864846214511,21.218771626297578
21,300.52,283.475,315.575,3.378117265095192,3.174281384836655,3.655160142348754,19.302003017248715,16.426843024450378,23.129256365595705
22,292.86,274.0,308.0,3.5055102719438422,3.2850185465397304,3.8294075066663074,20.947592303232355,17.653405290361814,25.565892684628594
23,285.38,263.95,300.04999999999995,3.639856449030473,3.429388579228757,3.9886828726449353,22.703685428525834,19.45358185001459,27.31027000650618
24,278.98,258.95,292.525,3.7642521449477853,3.5315897136177674,4.092312164579606,24.421738702943745,21.062920020120725,29.29424501424501
25,272.32,254.475,286.525,3.8999753607600876,3.662463321596244,4.227590581938976,26.36765654752576,22.88756460930374,31.579556818181814
26,266.09,248.0,280.525,4.0360376916968645,3.81097049689441,4.403383994884658,28.38866227702848,24.501704545454544,34.137126642771804
27,259.52,240.95,273.525,4.1842726085472615,3.9516666666666667,4.579515931372549,30.742881174065364,26.551471769854366,36.86458478542267
28,253.58,233.95,266.04999999999995,4.332581673959919,4.077653692093348,4.7456044689753405,33.14160932049612,28.193194200102152,40.328376044022576
29,247.98,228.95,260.525,4.478169002287626,4.2096547719594595,4.889701964701964,35.46547049842222,30.43232421875,43.946921454681785
30,242.89,225.475,255.0,4.624872405127359,4.325910143584993,5.080954430785247,37.969524160087765,32.05697914225451,46.73005867709814
31,237.95,220.475,251.0,4.774546998926888,4.442231075697211,5.282670454545454,40.6505786111722,34.850126323972404,50.8215909090909
32,233.37,217.0,247.0,4.924667025247458,4.557550441361917,5.452548691418138,43.39748218387127,36.57059426229508,53.73609902475618
33,228.82,210.475,242.0,5.0826445649321155,4.680469279230457,5.614876152073732,46.33838124975025,38.236157024793386,57.708067695041926
34,224.19,206.0,238.0,5.2497858817015155,4.797780837879349,5.778140236956026,49.63518575285139,40.279430379746834,60.901804489911896
35,219.9,203.0,235.04999999999998,5.411149044207904,4.91038678835289,5.9120254998551145,52.97486756427459,42.49887249642346,63.518416895604396
36,215.75,197.0,229.52499999999998,5.576742793773183,5.115553097345132,6.162246192893401,56.390984187446456,45.933961138899576,67.8748093258169
37,211.65,193.0,224.0,5.745222556696782,5.2828690610859725,6.342109374999999,60.16978507718399,49.28567341549296,72.564896373057
38,207.74,189.95,221.04999999999998,5.919060357218241,5.420391148028763,6.570091623036649,63.93456315621702,53.40421375921376,78.00750436300173
39,203.94,185.475,218.0,6.09548831670687,5.575047345495865,6.777954511888938,67.89426050457921,56.051036866359446,83.69556015693111
40,200.36,183.0,214.0,6.271503306891417,5.728271028037383,6.988923506660937,71.96601427799865,59.29107281931464,87.69570864775783
41,196.7,180.0,210.04999999999998,6.462643286130002,5.882967612437913,7.219861111111111,76.61697748279123,62.736363636363635,95.42588276836157
42,193.13,177.0,206.52499999999998,6.6532518605854225,6.1060341673983025,7.415116874650772,81.3494352578702,67.74609932838459,102.27692382622247
43,189.99,173.0,203.52499999999998,6.840111243275074,6.233106435643564,7.606736074619022,86.20605667642057,71.39105392156863,106.78430796731358
44,187.04,171.425,200.52499999999998,7.025098342650893,6.3555055970149255,7.827397806580258,91.12534078347751,75.35968404522613,113.92733265720081
45,183.81,167.95,197.52499999999998,7.223578410258393,6.530456852791878,8.018862275449102,96.5501057227386,78.73097600369174,118.76634159426808
46,180.66,165.425,194.04999999999998,7.432115848615073,6.6998624950179355,8.282009456696363,102.09046711665947,83.05272834549548,125.93985290064764
47,177.76,163.475,193.0,7.633736560610829,6.860971502590673,8.46734905730959,108.1713646313015,89.14722222222223,135.5141902242027
48,175.12,162.0,189.52499999999998,7.837615073052743,7.067198581560284,8.656289766702015,114.04171849221463,95.16843971631205,142.09657343584303
49,172.45,159.475,188.0,8.044701273152047,7.24599040240518,8.88559573724668,120.56580105500909,101.51907640232109,150.98752507716048
50,169.56,156.475,185.0,8.274958153936518,7.441641779901449,9.116790865384615,127.93812734944157,106.23103140942898,158.06470847717682
51,167.18,153.475,182.52499999999998,8.484675646598426,7.594546475623823,9.344904458598725,134.73517007894534,110.31499823332905,168.65012907608693
52,164.56,151.475,178.52499999999998,8.711762940026524,7.895944134078213,9.755133539560822,141.95095509925227,117.24691176470589,178.08586506622515
53,162.26,148.475,177.575,8.932174080748126,8.128171716165038,9.997651006711408,149.21722035888493,122.58182471264368,186.1691275167785
