step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
1,679.37,659.95,696.05,1.1921251728338154,1.1596227700244917,1.2260459089226212,1.6114387119148663,1.5061360075308574,1.7205752272696295
2,619.63,602.0,638.525,1.3224158311393932,1.2783721462883177,1.3681432417668176,2.1261974780689217,1.9628936083693764,2.3337624584717607
3,577.9,552.8,598.0,1.433974537527728,1.3827979154799301,1.4982974910394264,2.630724321124256,2.379141338244599,2.9408653563664138
4,544.79,515.475,565.05,1.538357813311148,1.4769789230080128,1.614656843090083,3.1430499309435294,2.8372455102209715,3.5877772446752463
5,517.28,491.475,538.0999999999999,1.6390039774697833,1.5647864842454395,1.7239838408572952,3.675826539429566,3.302825924741499,4.147209887690481
6,494.41,468.475,515.0999999999999,1.7344706482364445,1.6549662075374758,1.8318488862677493,4.226714279565626,3.770169896592769,4.844444444444444
7,472.49,451.0,496.575,1.8357985318987378,1.7452560240963857,1.9276407500241008,4.84059569976678,4.278605358296731,5.469636947634806
8,452.78,433.0,476.525,1.9362215887815915,1.8310956593825936,2.0407027952536434,5.499048022984242,4.7299623280192185,6.246255591983075
9,435.12,416.0,461.09999999999997,2.0385396286691098,1.9147190595442019,2.160197215978868,6.204058505695906,5.305398520704551,7.102055481283422
10,419.12,399.95,441.525,2.140678293707626,2.016885658372938,2.264015556347227,6.958212312014975,6.0077717879604675,7.95746363949213
11,404.44,385.475,427.525,2.243315872887405,2.1068534444665383,2.3737038352272726,7.763486750486412,6.631415868673051,8.734934123804178
12,390.62,371.475,415.09999999999997,2.3478625767700536,2.206731745564441,2.5013442763923317,8.62448807261278,7.316194371511485,10.03386647803446
13,377.8,355.0,396.04999999999995,2.455068965524347,2.3052886079805055,2.6099292666896186,9.542564040258158,8.086690208207123,11.307357550126495
14,366.15,346.95,387.525,2.5597198883934,2.3962628865979383,2.724824370746638,10.475834431042975,8.686984536082475,12.033483193277311
