step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
1,680.85,665.0,696.525,1.1893087025082303,1.159779144441653,1.216715836676894,1.6014471403647281,1.4971150392316046,1.6940556815515757
2,623.45,607.475,641.0,1.313742378131249,1.2774718919791275,1.35178267597874,2.097562422658339,1.9459828393135725,2.2473815870495204
3,584.39,565.475,599.05,1.4183541230223713,1.3797030379041249,1.4625784108321085,2.5681985778643015,2.3749816867536486,2.7687485329962986
4,552.11,532.95,572.525,1.5188612155143242,1.4681021857723429,1.577619395711501,3.0656933749281965,2.7949163238593866,3.316700105525645
5,525.12,507.0,543.0,1.6150534851776228,1.559513536422218,1.6722617151625767,3.5697285413152695,3.237821894899782,3.930333717494547
6,502.01,481.475,519.525,1.7078034872584433,1.6392417709538332,1.7825724015373103,4.096109372119853,3.741710052290761,4.540466490632466
7,480.72,459.475,498.525,1.8037218272953732,1.7217153462334185,1.8846478071008164,4.688036326173793,4.24700298100533,5.221082594396569
8,461.49,439.0,480.525,1.9002323889488322,1.821668644514768,1.9977220956719817,5.301586570277074,4.6819467905405405,5.962278932548722
9,443.88,423.95,463.525,1.9981579942104915,1.8949549373040753,2.089976958525346,5.984105310806218,5.243572984749456,6.6955134286965405
10,428.15,405.425,449.525,2.0937524643861867,1.9753661410276806,2.2076468746272218,6.693451706570893,5.722007518572219,7.664283386105419
11,413.18,391.475,434.525,2.1939411479180495,2.0665496977127638,2.3231048338730957,7.460440195595011,6.452078521939954,8.475045438022537
12,398.67,379.0,421.0,2.2987291008783353,2.175503768629018,2.4492801047120416,8.305543519636977,7.221756059258593,9.47003153103372
13,385.69,367.425,404.0,2.4029989160199943,2.275921410891089,2.550773822603091,9.210410174468322,8.047971159056205,10.477218647218647
14,373.56,354.425,392.575,2.5085923152354788,2.3647828182227077,2.655420227920228,10.132028503135302,8.775650544246167,11.504878780058295
15,361.64,344.425,377.0,2.619517383006104,2.472148911022385,2.775198531129162,11.183242617643549,9.81476368459127,12.632602761721257
16,350.91,331.425,367.525,2.730336193005918,2.5732139807699443,2.894411764705882,12.267467973724836,10.734465703115745,14.047082126769626
17,341.06,320.475,358.04999999999995,2.840653311490994,2.66446983354014,3.069969763606377,13.450704040986233,11.637911463112957,15.847966723014677
18,331.53,311.475,349.0,2.9556267644554475,2.771995464852608,3.1728454543592686,14.676380111600508,12.616602830243844,16.836738114587565
19,322.15,302.475,342.0,3.075398877219767,2.875425170068027,3.27683648840255,16.049393933880356,13.623881964809385,18.265922556424282
20,313.57,295.0,332.575,3.1942626603261344,2.97255304206402,3.4124716578995105,17.477871585361246,14.844222166441051,19.854984141758884
21,305.68,286.0,324.575,3.314982025322783,3.0662606419696274,3.5682692307692307,18.99745997435251,15.908532271053843,21.78123543123543
22,298.22,280.475,317.04999999999995,3.434099748514927,3.17549078525641,3.6993797661413317,20.54489632766529,17.384662518853695,23.85884947376391
23,290.57,272.475,309.0,3.564452141625296,3.3099403811348878,3.831979733619426,22.340648387115028,19.000963566134253,26.04772322872856
24,283.59,265.95,301.0,3.690766081553288,3.412299667796458,3.985342868170512,24.11360247276587,20.084777491408936,28.10775451337043
25,276.98,259.475,294.525,3.8191633118497235,3.537256853600273,4.135219575200919,25.9086335350548,21.810384707574304,30.95535372310465
26,270.31,251.0,288.04999999999995,3.956910489205273,3.6882463373334318,4.311644736842105,27.98687781966922,23.490561124389114,32.7600782647585
27,264.11,248.0,281.525,4.094849090530115,3.7981701263537904,4.44758064516129,30.1751234210911,25.604203983295854,35.78738319252431
28,258.09,240.0,274.525,4.238307234794542,3.9221685467816854,4.613992679579076,32.43690317917335,27.37414565950648,38.77076388888889
29,252.13,234.0,269.525,4.3882682086917795,4.039752525252525,4.783095981271947,34.986847033329994,29.07295422781272,41.72943308449638
30,247.04,228.95,263.525,4.527893975594785,4.155604325699746,4.948331474163846,37.43870787046305,31.423852836352836,44.816758312020454
31,241.72,225.0,258.525,4.679909207128922,4.328548177083333,5.092336678453606,40.152175405915294,33.75225194491499,47.96892792455802
32,236.8,220.95,252.52499999999998,4.828208287821995,4.479725379249793,5.270470183486238,42.95624210163945,35.86973821210769,51.75400146842877
33,232.27,215.475,247.52499999999998,4.975131918068135,4.635888749338974,5.444838896392051,45.77347489321733,38.35207219251337,55.43586377473364
34,227.33,209.95,241.52499999999998,5.138581011706599,4.759402652897712,5.656331385450696,49.03260722930254,41.70415459714623,60.97191980286736
35,222.81,205.0,236.52499999999998,5.302617693585287,4.919063479623824,5.868474347434742,52.33743586340219,44.03628691983123,66.08756212069163
36,218.65,199.325,234.0,5.466045197696443,5.0598513425624825,6.1010775862068956,55.70575953472969,46.09857746863066,70.01994057582858
37,214.47,194.9,230.0,5.634066905319913,5.202533967391304,6.315734068015044,59.491004974963765,50.15418928754082,74.96502090060322
38,210.16,192.0,226.0,5.813850283619056,5.377730276331598,6.476562499999999,63.55591175659552,53.39548126614987,79.19202244116036
39,206.04,187.475,220.52499999999998,5.9956552878913065,5.503345565749235,6.7232865935167645,67.98571849416007,55.98526323987539,85.4449783837712
40,202.09,185.475,218.0,6.178889889184339,5.6954096136451735,6.849435483870968,72.46839874475843,59.381720779220785,89.53104712041885
41,198.27,183.0,213.52499999999998,6.368471683853186,5.862018779342723,7.049682999728285,77.08930101758708,63.25924512252897,95.13970365699873
42,194.98,180.0,210.52499999999998,6.550428448095395,6.004246997653338,7.244121970776906,81.72822673254291,66.88254791866085,100.36883729050278
43,191.51,177.0,206.0,6.744448943674859,6.128615104555639,7.445805084745762,86.91413478161229,70.80157766990291,106.69247687965408
44,188.38,174.475,204.0,6.932162973651301,6.316036330800262,7.669414511494253,91.88016699931069,75.34012324739936,113.33572955716963
45,185.22,171.475,201.04999999999998,7.12897575491681,6.531375,7.838746867167919,97.41873797795039,79.87228992129982,118.77344444444442
46,182.1,166.9,197.52499999999998,7.33267672519763,6.702737170701995,8.093580591187951,103.38781323256296,83.84420995670996,128.8358662929513
47,179.1,163.0,194.575,7.543283832897401,6.855615482233502,8.384815950920245,109.43281224538505,87.94356825631807,137.74106891701825
48,176.36,158.425,192.52499999999998,7.746867340061199,7.013887965425532,8.773207314567495,115.59465638812155,92.82780677551484,145.22629331993966
49,173.69,155.475,191.52499999999998,7.949298275453591,7.137183277027027,8.988461538461538,122.08162764510956,96.04411317567568,154.70892045454545
50,170.96,152.95,187.0,8.164395185492811,7.368498960190137,9.176854838709676,128.51094990955934,101.87169459962756,165.1171156004489
51,168.57,151.0,184.0,8.370484476019623,7.619906004989309,9.372019867549668,135.45509562594444,110.48181818181818,171.1352922436496
52,165.97,150.0,180.52499999999998,8.5932639876522,7.818505586592178,9.625817953020132,143.2712119681184,115.14209454338766,181.890086996337
53,163.43,146.475,178.52499999999998,8.822282860645712,7.985522491684697,9.887775647171619,151.29384094670698,120.31601123595506,193.05044185946497
54,160.92,144.0,175.0,9.063451524742982,8.237134478068684,10.322569444444444,160.00450567949557,127.52477473648419,208.349
55,158.6,142.0,172.52499999999998,9.300551749543759,8.42874462293319,10.638565078413745,169.0055347381792,135.91653082919916,224.14936314951512
56,156.33,138.95,170.0,9.541069380276916,8.6025,10.971548436308161,177.76531422120985,141.27616441375258,237.05002998500746
57,153.82,137.425,167.52499999999998,9.80398651324267,8.891347672752653,11.230013368983958,188.1261715777917,150.1641331179439,249.69448272315913
58,151.74,134.95,166.04999999999998,10.049492765475797,9.079666105499438,11.471929474763586,198.05699947765734,160.859405879951,266.4977798507462
59,149.33,133.425,164.04999999999998,10.327197866942958,9.305084945729117,11.73848814229249,209.32361392557814,170.9575,276.86648550724635
60,147.35,132.0,161.52499999999998,10.580101848817142,9.563717915138817,11.925456911673173,220.21159598437086,180.64049278846156,290.0267523615285
61,145.52,132.0,160.0,10.831666721254763,9.778193597560975,12.400010442773599,230.99210307235649,190.97533774834437,303.87078811369497
62,143.61,131.475,157.52499999999998,11.097561849122553,10.031528662420383,12.582231578947367,243.04683019127265,198.78837353123066,322.59691558441557
63,141.76,128.475,155.52499999999998,11.370848147604162,10.246615761689291,12.986142901813633,256.08787367396775,210.07271469968387,340.68525434243173
64,139.97,127.0,154.0,11.640145891342423,10.48125,13.233069740853654,268.5721980316417,217.2433712121212,354.29804687499995
65,138.21,124.95,152.0,11.918623482894866,10.749163355408388,13.59301181102362,281.5485824515735,228.08633291276135,366.4405511811023
66,136.47,123.475,150.0,12.204515094522952,10.993286036036038,14.00529661016949,295.5992471248476,243.27693037350943,384.2116020601789
67,134.32,121.425,148.04999999999998,12.54114540732156,11.319178082191781,14.290635897435896,312.3367407327129,252.26337756849315,408.13368205128205
68,132.69,119.0,146.52499999999998,12.840394218207562,11.46631908360888,14.489815517241379,327.3634085276155,263.4012538032454,426.6253676470588
69,130.7,118.0,144.52499999999998,13.178384502535499,11.817482517482517,14.881982173174872,344.69919569117707,276.1223960250276,444.7315088430361
70,128.8,116.475,141.0,13.520490733938013,12.225017605633802,15.173352399453197,363.1926445258895,292.2174976195514,460.491875
71,127.13,115.475,140.0,13.850615912559087,12.471316138578498,15.505010330578513,381.9032270033661,306.2264141414141,479.92904312188165
72,125.65,115.0,138.52499999999998,14.170280342562846,12.791139705882353,15.84245611380145,399.98131239958064,314.79491124751166,511.7934945164506
