scenario,mode,model,AIC,BIC,max_loglik,abm::merge.p_merge,abm::phenotypes.proliferative.prolif_rate,ode::b,ode::N_0,noise::sigma0,noise::sigma1,noise::sigma2,ode::p,ode::s
abm_00_data_t71_phase2__p_merge_0p5__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1760.0113986851143,1771.5317241511352,-875.0056993425571,0.5,0.005,0.000281337148603367,1829.117784391202,0.02710544692216696,0.08805559062534966,0.29621414716071587,,
abm_00_data_t71_phase2__p_merge_0p5__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1320.1737441456721,1333.9981347048972,-654.0868720728361,0.5,0.005,0.0002712417841628292,861.7704915912644,0.010721246419359053,0.1343757624002844,0.024790496421472335,0.008039739397633212,
abm_00_data_t71_phase2__p_merge_0p5__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1283.3059062716916,1299.4343619241208,-634.6529531358458,0.5,0.005,0.0002793523699684883,832.8021015737529,0.008621708084520667,0.12193263743052278,0.026129097593397113,0.008266190316199535,0.0005720460858276602
abm_01_data_t71_phase2__p_merge_0p9__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1731.363552915218,1742.883878381239,-860.681776457609,0.9,0.005,0.00029615033499080085,1874.4108649231334,0.017471704252288466,0.10759759456358065,0.286539320074721,,
abm_01_data_t71_phase2__p_merge_0p9__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1276.7475043759555,1290.5718949351806,-632.3737521879777,0.9,0.005,0.00028539881130966536,1053.8226632166532,0.012655727132612005,0.008315235297355205,0.23402908434356703,0.00491715501835853,
abm_01_data_t71_phase2__p_merge_0p9__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1189.2509432965269,1205.3793989489561,-587.6254716482634,0.9,0.005,0.0002977678524691368,994.2155409873502,0.007290716825719193,0.008859770695538857,0.20827256192694013,0.005487855028421702,0.0008171776535964441
abm_02_data_t71_phase2__p_merge_0p5__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,1867.2065743441344,1878.7268998101554,-928.6032871720672,0.5,0.01,0.000297687518274705,2108.800417992677,0.00836640455065848,0.20007560614676467,0.5152997129772409,,
abm_02_data_t71_phase2__p_merge_0p5__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1594.2802043180222,1608.1045948772473,-791.1401021590111,0.5,0.01,0.0002709200515976575,592.173822996958,0.027017964809697204,0.019450709186294657,0.2560941196992411,0.012175015802734071,
abm_02_data_t71_phase2__p_merge_0p5__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1747.9100079075338,1764.038463559963,-866.9550039537669,0.5,0.01,0.0002825921487056689,900.2033034252446,0.018753210184912137,0.06493985713067768,0.30789434833594215,0.008137509602104456,0.0
abm_03_data_t71_phase2__p_merge_0p9__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,1870.882188284723,1882.402513750744,-930.4410941423615,0.9,0.01,0.00030634937011231556,2024.2197422607292,0.0073385617952708565,0.20386176792487723,0.5516417544893887,,
abm_03_data_t71_phase2__p_merge_0p9__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1643.180856510218,1657.0052470694432,-815.590428255109,0.9,0.01,0.00028049007375940494,572.3513163436912,0.031052002176044997,0.021069374507828365,0.2671676126243952,0.012548836715817828,
abm_03_data_t71_phase2__p_merge_0p9__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1645.1808549289553,1661.3093105813846,-815.5904274644777,0.9,0.01,0.0002804902227144204,572.3563967948124,0.031052289927723097,0.021069491670539724,0.26715578391163103,0.01254872966738878,0.0
