step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
1,681.62,664.0,702.0,1.1837654218074167,1.147300184800185,1.2189727138508648,1.5804063586338593,1.467283528467739,1.6934644022383025
2,624.62,608.0,644.05,1.3031655880144462,1.2604587869362363,1.3404605263157894,2.0478058891585214,1.8694790046656298,2.190536750719407
3,584.46,567.0,610.525,1.40442146751272,1.3390927719821162,1.4468989726449766,2.495870985141285,2.2286629593810443,2.721847093284565
4,552.87,534.0,575.525,1.4966657486306922,1.4337468700204872,1.5544007490636702,2.9372147964479267,2.624940779610195,3.221718371817748
5,525.2,506.0,548.05,1.5882011097590505,1.5204137931034483,1.658454365079365,3.414571290328128,3.062958903457792,3.781045454545454
6,501.17,480.9,524.0,1.677608472172068,1.5911852092821515,1.7554551104458536,3.908058384655005,3.460743894079873,4.3302028699393
7,480.45,463.425,504.525,1.7643145728368756,1.6716267090733377,1.8351492391728443,4.423874288657576,3.8700274549098195,4.945051282051282
8,462.01,445.475,484.04999999999995,1.8501731682514457,1.751968826907301,1.9295911575112108,4.968831927170806,4.27004482294935,5.615827363446698
9,444.89,428.0,465.525,1.9372240740385718,1.8351125448228454,2.024596851236195,5.552532728254621,4.795666886761308,6.234889563987924
10,428.76,411.475,450.0,2.0272724683862817,1.9222699115044248,2.1318236714975844,6.1808197644241725,5.41185208596713,7.005
11,414.28,395.0,437.525,2.11560327564329,1.9828512587930396,2.228101265822785,6.845783977097725,5.811067861339601,7.894133458352866
12,400.7,381.0,422.575,2.2042217253177503,2.0831445252087843,2.321988188976378,7.528681987527483,6.535176437899416,8.665778363432686
13,387.71,369.9,406.575,2.29717450798177,2.1785723961700687,2.4224873236974007,8.283109408366723,7.128304913824715,9.320815310522097
14,375.3,355.475,395.09999999999997,2.3932896927555984,2.2675920400293794,2.5306559679498988,9.13003254498492,7.877128322259136,10.658495100543346
15,364.31,346.475,386.04999999999995,2.485062929722031,2.332463962738832,2.629744145496815,9.926812604490017,8.366347402597402,11.635352071863228
16,353.23,334.475,374.525,2.5837059030887106,2.4253408970976253,2.740654213960139,10.843484192148946,9.336614712403808,12.683607784431132
17,343.28,325.0,364.525,2.6817307458072492,2.5212324897453757,2.8385725849973014,11.824303484753173,10.215595175372574,14.052851155036906
18,334.91,317.0,355.525,2.7697189191374507,2.6028996535310687,2.926307228203005,12.74479645069428,11.023739900584511,14.833602623427277
19,325.89,308.375,344.0,2.869137870356992,2.69543546345039,3.034246382258974,13.762558186414928,11.871511627906976,16.06825136612021
20,317.06,301.475,336.525,2.974104059536716,2.7839997076722742,3.140027196560951,14.889160702489757,12.83132190053555,17.2745
21,308.84,294.0,327.525,3.0770870632391567,2.886220032507111,3.274096399481673,16.03859345233057,13.669448562318193,18.649829174093874
22,301.57,286.475,318.0,3.1761773219964313,2.967981072555205,3.384461805555555,17.223470003391604,14.848594691274311,19.99753780913855
23,294.44,278.95,312.525,3.279368798460278,3.0480087472139283,3.498199675324675,18.47490099128882,15.860419125727542,21.532392248580017
24,287.51,273.0,305.525,3.3853833913315357,3.1339369100844507,3.6344111375379313,19.860595180221825,16.729117929686208,23.03588676803623
25,280.38,265.475,299.525,3.5001512920470326,3.2244048821548823,3.748908568487863,21.35607307465093,17.541666666666668,24.869364594439432
