step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
1,683.36,671.0,699.525,1.1760876124776691,1.1457428469241775,1.1997019374068554,1.5530972505492682,1.455742131616595,1.6325655527333844
2,637.56,622.475,657.0,1.2662694084668666,1.2303113419661074,1.2986098658174623,1.9032855799783308,1.7693368458025993,2.0328439880806095
3,609.62,591.475,627.525,1.3296012170487785,1.2944423850069553,1.3706175709572448,2.170814015612274,2.0229052396166134,2.3491926343236496
4,588.12,569.425,607.05,1.3835370454270333,1.3442633228840124,1.4318386883802816,2.4129083317026865,2.2421084710743804,2.6611175753546097
5,570.17,550.0,588.0,1.4328935012996653,1.3902636054421769,1.4923225860063154,2.644513916785592,2.4388553663317816,2.95260412165531
6,554.38,533.475,573.525,1.4791833428093628,1.4218573079145003,1.5395619943302916,2.8725954973006522,2.5888751680418345,3.235997474747475
7,539.55,518.0,560.0,1.5266248177838522,1.4633987823879047,1.5902197850599014,3.1136826417577743,2.8184815005138746,3.4855850496660867
8,526.65,503.9,547.0,1.5706130254499686,1.5091268799175817,1.641160209461555,3.341667292748945,3.0017367458866544,3.772295275590551
9,514.69,489.9,534.0,1.6137191279625132,1.5486807036247334,1.6860166074132594,3.572904299817913,3.1639377587226494,4.066741249584303
10,503.73,478.425,523.525,1.6560470843830561,1.5856870229007634,1.7316853380503143,3.8051123091994175,3.361051717164289,4.304979059278351
11,493.09,469.425,512.525,1.6987982292727495,1.6246044507332134,1.7795769230769232,4.048110953661407,3.5685516406670255,4.562820743571283
12,483.46,458.325,504.0,1.7397214701616677,1.6596224182444062,1.838357924403183,4.282454145938471,3.774404177345565,4.959650647859603
13,473.94,449.9,496.0,1.781674714369235,1.6932765807441124,1.8811858012010114,4.539319725973628,3.983234920792942,5.268262676393206
14,464.54,438.95,485.575,1.8246298592586987,1.725486733580996,1.9340579710144927,4.805610677040667,4.214710553840988,5.509316770186335
15,455.5,430.475,474.525,1.8681666345901726,1.7794132026109246,1.9686986726379971,5.081592996083362,4.494442205544251,5.769639028800206
16,447.35,424.475,468.525,1.9104498505272431,1.8162896333057623,2.007181742508324,5.345745873842572,4.63659188034188,6.107311056436774
17,439.81,420.0,460.525,1.9513813677904768,1.8593971715181539,2.0399923034634413,5.622744000967362,4.873794890335021,6.47625899585851
18,432.29,411.475,450.09999999999997,1.9941689106354794,1.8997342163093187,2.09641100678779,5.9220580491322234,5.206578579418345,6.873239419530188
19,425.48,404.475,445.04999999999995,2.0341563799883344,1.9324673516906257,2.1536552577671557,6.205005976348246,5.454741451209341,7.194230993130747
20,419.12,397.475,436.0,2.0730750258497572,1.965559291656216,2.186479661820086,6.481098571603,5.632793386850153,7.507837965158358
21,413.27,392.425,430.525,2.110277411866836,2.000704514363885,2.224143771474334,6.751240889057036,5.947927496580028,7.86912221807783
22,407.05,387.0,422.525,2.151403951275839,2.0531970914142943,2.2616270766491966,7.0553705891837115,6.295833333333333,8.213172675882692
23,400.92,379.9,418.525,2.193059389676134,2.0850530491716124,2.3149287376381613,7.363269608568265,6.513961960441674,8.606329128986197
24,394.8,373.425,412.04999999999995,2.236541842369863,2.1277315375302663,2.358399824591426,7.701014058510371,6.778666083071721,8.977149479166666
25,389.16,369.95,406.0,2.278260066464478,2.172715708595904,2.3954888675552928,8.026385671297604,7.013930960958753,9.389683360479697
26,383.81,363.475,400.525,2.3192609142701635,2.199741379310345,2.4376080274411973,8.361821089765067,7.332109725685786,9.720683318277187
27,378.28,359.0,393.0,2.3622895820467,2.252520450596435,2.485502553389044,8.707583461883837,7.640686655096821,10.024963813068648
28,373.35,354.0,389.0,2.403418471344679,2.2882702144011873,2.534180790960452,9.065335173539005,7.9610103626943,10.314191785216831
29,368.54,348.0,384.525,2.444190130744893,2.3243324261973504,2.5795976080727545,9.415635229492379,8.231459965187119,10.699827256689208
30,363.77,344.0,381.04999999999995,2.487404198176778,2.362272417959365,2.6372775530839228,9.79893422811688,8.604430429763198,11.376585034123098
31,358.88,340.475,377.04999999999995,2.5311744034187527,2.3950568678915136,2.6770669696450007,10.2080193965241,8.892549335410614,11.723383843203942
32,354.63,334.0,373.525,2.5729660230112654,2.4299378522907933,2.7303519061583574,10.609014527028455,9.160144094370613,12.27651718883062
33,350.36,329.475,369.525,2.615000269122641,2.464024641715641,2.7664725050346832,11.001790595807408,9.479473495806667,12.601204819277108
34,346.06,324.95,363.525,2.658206068220609,2.5193213296398893,2.8173104597439975,11.42409060379767,9.9266334209269,13.173499217540769
35,341.91,321.95,360.525,2.701146240521263,2.559062243682003,2.8615740740740736,11.830919302052424,10.291918890711198,13.705196863530198
36,337.84,319.0,355.0,2.745862261825589,2.5993439061654517,2.910366344605475,12.28113714538973,10.667771441328084,14.317265130984643
37,333.87,317.0,351.525,2.7893062688963126,2.6386718330677192,2.9593388340135247,12.712121512835914,11.057510562867272,14.880498254600832
38,330.02,313.475,348.0,2.8336298348597517,2.6872438360550754,2.9891038535873466,13.166485423758152,11.28843022399057,15.34488732564702
39,326.43,310.475,346.0,2.8765555256398057,2.7409389070020183,3.033369455645161,13.613943974777277,11.65164778286393,15.842359095307208
40,322.77,307.475,342.525,2.921101283552353,2.78018115942029,3.0725206933034603,14.05569271786047,12.010843252519352,16.239444819958212
41,319.44,304.475,340.525,2.962221485774734,2.799444482443166,3.1263389017887855,14.516084032204017,12.372423076923077,16.930570686664407
42,315.52,301.0,336.04999999999995,3.010608837175135,2.8544994216854507,3.190215946843854,15.047263434408874,12.785843610905046,17.61761263335636
43,311.83,297.475,334.575,3.059417936812715,2.8833179900611348,3.238851351351351,15.586049071882094,13.06593253968254,18.114601269970397
44,308.26,292.475,330.04999999999995,3.1073067878421092,2.931540185130767,3.311454276813121,16.12551888412889,13.471243722132096,18.907398662864082
45,305.05,289.475,325.04999999999995,3.1535702569538007,2.9646492841192695,3.3508591065292097,16.66396876496303,14.153508110715794,19.771693149717514
46,301.96,286.475,320.04999999999995,3.197867468529699,3.0138667705268016,3.4028368794326243,17.196189634825124,14.763580266006805,20.70203149324174
47,299.06,284.95,318.04999999999995,3.242048129293697,3.045304942166141,3.4446594501389023,17.725672147122257,15.207897454794578,21.116777667786074
48,296.01,281.0,315.09999999999997,3.2872622860304945,3.092222587195413,3.501205736410796,18.269497510286534,15.511438679245282,21.89960713527288
49,292.95,277.0,310.525,3.3345113545697496,3.1428285653590144,3.5387613636363637,18.855849315497316,16.139065978233987,22.468881118881118
50,289.71,273.375,305.525,3.3855140366866356,3.2008499646767925,3.595690658519488,19.488603335170016,16.70680201342282,23.337454208781217
51,287.08,269.425,303.525,3.4317420102845717,3.2334057451385667,3.6598275746393827,20.047158193567224,17.17103599874709,24.13161654135338
52,284.1,268.0,299.525,3.4821126073127164,3.2799564439604882,3.702344457510509,20.696626361414495,17.6506343798214,24.709677530017153
53,281.2,265.475,298.0,3.531851563636474,3.3289611924806826,3.7610012719445374,21.34193998128108,18.1033139035322,25.612072195149434
54,278.42,262.475,295.525,3.5819224985102847,3.379657647514162,3.8131306425916094,22.00055569436829,18.93909002253289,26.187977099236637
