step,mean,lower_95,upper_95
71,1479.2,1472.0,1487.0
72,1495.41,1486.475,1504.0
73,1511.96,1501.0,1522.575
74,1528.22,1516.0,1538.525
75,1544.49,1531.425,1556.0
76,1560.65,1544.475,1574.525
77,1577.42,1562.475,1592.0
78,1594.45,1578.95,1611.525
79,1611.88,1594.475,1629.525
80,1629.26,1611.475,1649.05
81,1646.21,1628.475,1666.525
82,1663.76,1644.425,1684.575
83,1681.87,1662.475,1705.05
84,1700.13,1677.9,1724.0
85,1718.19,1695.95,1740.0
86,1737.27,1713.475,1762.0
87,1756.04,1729.9,1782.05
88,1774.76,1746.95,1799.0
89,1793.57,1764.0,1819.525
90,1812.96,1783.95,1838.525
91,1832.27,1800.325,1860.0
92,1851.54,1817.425,1879.05
93,1871.24,1832.425,1898.525
94,1890.49,1850.475,1919.0
95,1910.18,1869.425,1939.525
96,1930.01,1892.0,1959.05
97,1949.94,1911.85,1980.575
98,1970.34,1929.85,2001.525
99,1990.76,1949.0,2025.575
100,2011.86,1968.95,2050.05
101,2032.68,1989.0,2071.1
102,2053.77,2009.375,2093.775
103,2074.78,2030.0,2115.25
104,2095.85,2046.95,2138.6749999999997
105,2117.76,2064.9,2163.1
106,2138.89,2081.475,2183.525
107,2160.1,2105.475,2205.05
108,2181.93,2127.85,2228.0
109,2204.14,2149.425,2251.0
110,2226.77,2169.425,2277.0
111,2249.15,2191.0,2298.525
112,2272.07,2212.95,2322.0
113,2294.61,2234.425,2345.575
114,2317.35,2256.475,2371.625
115,2340.02,2277.0,2397.1
116,2363.15,2298.95,2422.6749999999997
117,2386.29,2317.8,2449.2
118,2409.58,2340.275,2474.1
119,2433.09,2359.85,2496.625
120,2456.79,2380.325,2521.1
121,2480.19,2402.425,2544.2
122,2503.91,2426.375,2567.25
123,2527.83,2448.9,2591.625
124,2552.15,2471.95,2614.05
125,2575.76,2495.425,2641.1
126,2600.24,2517.425,2669.575
127,2624.18,2539.425,2693.0
128,2648.45,2563.9,2717.1
129,2673.1,2586.95,2743.15
130,2697.64,2607.475,2768.05
131,2722.39,2632.275,2792.1
132,2746.92,2654.75,2821.525
133,2771.32,2677.275,2847.525
134,2795.73,2699.275,2874.525
135,2820.62,2721.7,2900.1
136,2846.06,2743.8,2928.15
137,2871.35,2765.175,2957.1
138,2896.72,2788.75,2984.525
139,2921.99,2813.025,3011.525
140,2947.39,2833.925,3040.0
141,2972.89,2857.5,3066.525
142,2998.44,2882.65,3097.625
143,3023.77,2906.175,3125.05
144,3049.8,2930.8,3153.575
145,3075.26,2952.7,3182.575
146,3101.22,2976.8,3211.6749999999997
147,3126.93,3002.175,3242.575
148,3152.82,3025.6,3270.625
149,3178.58,3051.6,3299.2999999999997
150,3204.63,3073.125,3327.6749999999997
151,3230.51,3095.025,3355.575
152,3256.66,3117.5,3384.1
153,3282.96,3141.925,3413.725
154,3309.11,3165.35,3440.2999999999997
155,3335.38,3188.875,3468.9249999999997
156,3361.78,3211.45,3498.825
157,3388.11,3231.975,3528.3999999999996
158,3414.76,3253.975,3557.725
159,3440.99,3276.6,3589.2
160,3467.42,3299.7,3619.725
161,3493.73,3321.7,3651.2
162,3520.04,3345.225,3681.25
163,3546.22,3367.75,3707.2
164,3572.39,3389.9,3736.15
165,3599.18,3413.475,3766.625
166,3625.69,3437.0,3798.625
167,3651.95,3459.475,3827.15
168,3678.23,3483.425,3856.1
169,3704.8,3505.375,3887.625
170,3731.13,3527.85,3918.625
171,3757.34,3551.375,3948.625
172,3784.06,3574.85,3979.0
173,3810.6,3596.275,4008.1
174,3837.07,3621.75,4038.775
175,3863.74,3644.65,4069.35
176,3890.08,3667.7,4098.925
177,3916.13,3689.125,4128.875
178,3942.51,3712.075,4158.3
179,3969.25,3734.075,4189.349999999999
180,3995.77,3756.5,4219.974999999999
181,4022.17,3781.925,4249.974999999999
182,4048.52,3805.45,4279.075
183,4074.8,3827.075,4305.65
184,4101.14,3851.45,4335.125
185,4127.32,3873.5,4363.799999999999
186,4153.23,3895.35,4391.849999999999
187,4179.75,3917.875,4420.799999999999
188,4206.36,3941.925,4450.275
189,4232.57,3966.025,4481.275
190,4258.95,3991.5,4511.224999999999
191,4285.2,4013.45,4542.65
192,4311.65,4037.5,4571.65
193,4337.85,4061.975,4602.075
194,4364.03,4085.025,4631.125
195,4390.14,4110.5,4661.125
196,4416.0,4132.875,4689.025
197,4442.02,4157.4,4717.55
198,4468.07,4181.4,4745.55
199,4494.03,4204.875,4775.025
200,4520.02,4229.975,4802.55
201,4546.2,4253.55,4830.025
202,4572.13,4277.55,4859.974999999999
203,4598.25,4301.075,4888.5
204,4623.91,4325.075,4914.5
205,4649.67,4349.6,4940.974999999999
206,4675.32,4372.225,4969.4
207,4700.78,4396.75,4995.925
208,4726.2,4419.75,5022.925
209,4751.88,4443.75,5051.45
210,4777.62,4466.275,5080.55
211,4802.83,4490.85,5105.974999999999
212,4827.94,4515.275,5134.4
213,4853.52,4539.8,5162.3
214,4878.49,4562.7,5189.725
215,4903.91,4586.225,5221.575
216,4929.09,4611.125,5251.525
217,4954.39,4633.65,5283.1
218,4979.22,4655.225,5309.675
219,5004.16,4677.85,5336.25
220,5029.09,4698.9,5363.625
221,5054.15,4719.475,5391.525
222,5078.89,4738.95,5419.625
223,5103.65,4761.325,5448.675
224,5128.4,4783.225,5475.825
225,5153.21,4802.6,5504.5
226,5178.11,4823.55,5531.7
227,5202.99,4846.025,5559.275
228,5227.77,4867.875,5587.275
229,5252.56,4887.725,5615.799999999999
230,5277.04,4909.675,5642.849999999999
231,5301.5,4928.625,5670.0
232,5326.3,4951.05,5698.0
233,5350.71,4971.85,5727.0
234,5375.05,4992.225,5754.474999999999
235,5399.26,5013.6,5782.424999999999
236,5423.47,5035.075,5810.95
237,5447.66,5057.3,5838.9
238,5471.55,5078.1,5864.9
239,5495.54,5098.95,5891.95
240,5519.64,5119.8,5919.95
241,5543.8,5140.7,5947.424999999999
242,5567.7,5161.125,5976.849999999999
243,5591.73,5180.025,6004.799999999999
244,5615.46,5199.875,6033.275
245,5639.1,5219.775,6059.75
246,5662.54,5240.1,6087.175
247,5686.07,5258.9,6113.599999999999
248,5709.68,5278.8,6140.025
249,5733.22,5300.225,6168.025
250,5756.86,5322.75,6195.5
251,5780.36,5345.275,6222.875
252,5803.77,5367.85,6250.3
253,5827.17,5388.8,6277.725
254,5850.48,5410.375,6305.625
255,5873.77,5432.425,6333.05
256,5896.93,5453.9,6360.0
257,5920.04,5477.0,6386.575
258,5943.14,5499.525,6414.2
259,5965.99,5520.0,6439.725
260,5988.92,5542.575,6466.725
261,6011.75,5562.575,6494.349999999999
262,6034.37,5583.575,6521.45
263,6057.09,5604.675,6548.5
264,6079.67,5625.3,6574.075
265,6102.11,5645.875,6601.65
266,6124.7,5666.4,6628.175
267,6147.13,5687.45,6653.275
268,6169.52,5708.5,6677.849999999999
269,6191.86,5729.075,6701.849999999999
270,6214.31,5749.125,6726.849999999999
271,6236.57,5770.175,6751.424999999999
272,6258.9,5790.275,6775.95
273,6280.96,5810.85,6799.575
274,6303.23,5828.375,6823.15
275,6325.29,5847.475,6846.724999999999
276,6347.5,5867.05,6870.874999999999
277,6369.38,5887.15,6895.499999999999
278,6391.27,5906.775,6920.075
279,6412.83,5925.3,6943.65
280,6434.57,5943.875,6966.749999999999
281,6456.18,5963.975,6989.799999999999
282,6477.78,5982.6,7013.949999999999
283,6499.22,6002.225,7037.049999999999
284,6520.62,6021.8,7061.674999999999
285,6541.95,6039.85,7085.775
286,6563.33,6057.9,7109.824999999999
287,6584.55,6076.95,7133.449999999999
288,6605.86,6095.525,7157.499999999999
289,6627.1,6114.675,7181.549999999999
290,6648.37,6132.25,7206.074999999999
291,6669.37,6149.775,7230.124999999999
292,6690.11,6166.825,7253.649999999999
293,6710.97,6185.4,7277.174999999999
294,6731.84,6203.45,7299.224999999999
295,6752.46,6221.975,7321.749999999999
296,6773.14,6240.025,7345.749999999999
297,6793.66,6256.6,7368.649999999999
298,6814.22,6273.65,7392.024999999999
299,6834.65,6291.275,7414.4
300,6855.11,6308.85,7437.249999999999
