step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
71,95.2,89.475,100.0,15.553073671082748,14.734250000000001,16.585533707865167,480.9693688870986,414.16684848484846,576.9459677419354
72,91.3,84.475,97.0,16.404146620894306,15.375,17.749117647058824,554.2888729169962,459.59259672619044,691.1182150101416
73,89.26,82.0,95.0,16.96663393253,15.868157894736841,18.470426829268295,603.2835314006749,485.19489361702125,795.8118749999998
74,87.85,81.0,94.52499999999999,17.427814978766513,16.152220044792834,18.99537037037037,644.3247396590826,504.71317204301073,878.1741071428562
75,86.55,79.0,93.52499999999999,17.88876018091646,16.446962937542896,19.622005842259007,680.72783837569,528.6870508274231,932.4516797961069
76,85.4,78.475,93.0,18.32868632759491,16.791751402524543,20.024500973709834,715.3360055401658,559.005390070922,994.0714939024385
77,84.06,76.0,92.0,18.82921230383334,17.08695652173913,20.768314251537934,758.9043427740451,591.1916218637992,1043.0783536585366
78,83.11,75.0,91.0,19.25272984315955,17.446153846153845,21.28033333333333,794.0407342061243,615.3034929164631,1092.9252465753423
79,82.19,73.95,91.0,19.682743517682706,17.752472527472527,21.908968036529675,829.4288698497248,639.9507648601399,1126.2866631294617
80,81.22,73.475,91.0,20.128497997099945,17.955494505494507,22.150703196347028,869.5180511415139,655.4444243256743,1167.0575883575884
81,80.4,73.475,89.0,20.550767009352835,18.333707865168538,22.494622362088116,910.4159210885377,712.5206851971558,1188.3893797643798
82,79.75,72.475,88.0,20.939269599519076,18.85113955566905,23.01850742009132,948.403054048253,733.1353715584069,1241.4128268991283
83,78.98,71.475,87.0,21.378954683688548,19.248328108672936,23.714148082942096,988.3250011869693,763.4889096126255,1322.9060416666662
84,78.06,70.0,86.0,21.874958275729192,19.85436046511628,24.404285714285713,1033.7943904038898,782.1432076006806,1384.1154037267077
85,77.28,69.0,85.0,22.342466695528124,20.263823529411763,25.125,1079.4730381543895,806.575799856528,1468.6736301369851
86,76.6,68.0,84.52499999999999,22.78848911988156,20.538926293408927,25.652941176470588,1125.2806836950385,838.3511295180723,1515.1465441176463
87,76.0,66.95,84.0,23.216866833219175,20.890388655462186,26.231900527009216,1174.7978486231204,869.274971980947,1563.6231937340142
88,75.27,66.475,83.52499999999999,23.697049032204408,21.34924698795181,26.637398236092256,1222.4144529976622,902.7888039964737,1667.9505105401843
