scenario,csv_path,p,a,y0,y_win,window_steps
scenario_00__mode_singletons_phase2_fit_all__p_merge_0p1,./Parameter_sweeps_results/2026-03-24_161646/coagulation_analysis_tagged/scenario_00__mode_singletons_phase2_fit_all__p_merge_0p1/coag_prob.csv,0.1,,5.0649944212432554e-05,5.5228454390178343e-05,25
scenario_01__mode_singletons_phase2_fit_all__p_merge_0p2,./Parameter_sweeps_results/2026-03-24_161646/coagulation_analysis_tagged/scenario_01__mode_singletons_phase2_fit_all__p_merge_0p2/coag_prob.csv,0.2,,9.52606586175435e-05,0.00010001209125854891,25
scenario_02__mode_singletons_phase2_fit_all__p_merge_0p3,./Parameter_sweeps_results/2026-03-24_161646/coagulation_analysis_tagged/scenario_02__mode_singletons_phase2_fit_all__p_merge_0p3/coag_prob.csv,0.3,,0.0001300880381825,0.000133152572566916,25
scenario_03__mode_singletons_phase2_fit_all__p_merge_0p4,./Parameter_sweeps_results/2026-03-24_161646/coagulation_analysis_tagged/scenario_03__mode_singletons_phase2_fit_all__p_merge_0p4/coag_prob.csv,0.4,,0.0001575977169927,0.000158696794833392,25
scenario_04__mode_singletons_phase2_fit_all__p_merge_0p5,./Parameter_sweeps_results/2026-03-24_161646/coagulation_analysis_tagged/scenario_04__mode_singletons_phase2_fit_all__p_merge_0p5/coag_prob.csv,0.5,,0.0001771767271331,0.00017591540075887602,25
scenario_05__mode_singletons_phase2_fit_all__p_merge_0p6,./Parameter_sweeps_results/2026-03-24_161646/coagulation_analysis_tagged/scenario_05__mode_singletons_phase2_fit_all__p_merge_0p6/coag_prob.csv,0.6,,0.0001948548509127,0.000190043059036944,25
scenario_06__mode_singletons_phase2_fit_all__p_merge_0p7,./Parameter_sweeps_results/2026-03-24_161646/coagulation_analysis_tagged/scenario_06__mode_singletons_phase2_fit_all__p_merge_0p7/coag_prob.csv,0.7,,0.0002089752452164,0.000202373857172076,25
scenario_07__mode_singletons_phase2_fit_all__p_merge_0p8,./Parameter_sweeps_results/2026-03-24_161646/coagulation_analysis_tagged/scenario_07__mode_singletons_phase2_fit_all__p_merge_0p8/coag_prob.csv,0.8,,0.0002159044240892,0.000212178215458468,25
scenario_08__mode_singletons_phase2_fit_all__p_merge_0p9,./Parameter_sweeps_results/2026-03-24_161646/coagulation_analysis_tagged/scenario_08__mode_singletons_phase2_fit_all__p_merge_0p9/coag_prob.csv,0.9,,0.0002289176354069,0.00022043795311068402,25
scenario_09__mode_singletons_phase2_fit_all__p_merge_1,./Parameter_sweeps_results/2026-03-24_161646/coagulation_analysis_tagged/scenario_09__mode_singletons_phase2_fit_all__p_merge_1/coag_prob.csv,1.0,,0.0002354203748439,0.00022477998080651598,25
