a,p,y_emp,y_pred,type
0.5,0.1,2.3336281860922905e-05,2.5351075810596744e-05,observed
0.5,0.2,3.534088428059787e-05,3.55309551235882e-05,observed
0.5,0.3,4.209345781992477e-05,4.1021807575495414e-05,observed
0.5,0.4,4.591067992661623e-05,4.4456931245619066e-05,observed
0.5,0.5,4.833230726754925e-05,4.680876156707395e-05,observed
0.5,0.6,4.879760102743265e-05,4.851994082654833e-05,observed
0.5,0.7,5.061622445841346e-05,4.982086377226088e-05,observed
0.5,0.8,5.0663802282179865e-05,5.084327615769426e-05,observed
0.5,0.9,5.057976323978158e-05,5.1667968121313244e-05,observed
0.5,1.0,5.025601400779561e-05,5.234723742549522e-05,observed
0.5,0.1,,2.5351075810596744e-05,pred_curve
0.5,0.1090909090909091,,2.662232435043116e-05,pred_curve
0.5,0.1181818181818182,,2.7801991007788063e-05,pred_curve
0.5,0.1272727272727273,,2.889962816281851e-05,pred_curve
0.5,0.13636363636363635,,2.9923504360293853e-05,pred_curve
0.5,0.14545454545454545,,3.088081298182929e-05,pred_curve
0.5,0.15454545454545454,,3.1777841498896786e-05,pred_curve
0.5,0.16363636363636364,,3.262010972901879e-05,pred_curve
0.5,0.17272727272727273,,3.341248352182603e-05,pred_curve
0.5,0.18181818181818182,,3.415926882264927e-05,pred_curve
0.5,0.19090909090909092,,3.4864289954515995e-05,pred_curve
0.5,0.2,,3.55309551235882e-05,pred_curve
0.5,0.2090909090909091,,3.6162311516450944e-05,pred_curve
0.5,0.2181818181818182,,3.6761091868850996e-05,pred_curve
0.5,0.22727272727272727,,3.732975400731501e-05,pred_curve
0.5,0.23636363636363636,,3.7870514570404226e-05,pred_curve
0.5,0.24545454545454545,,3.8385377885194435e-05,pred_curve
0.5,0.2545454545454545,,3.887616079205486e-05,pred_curve
0.5,0.26363636363636367,,3.934451406582026e-05,pred_curve
0.5,0.2727272727272727,,3.9791940965621053e-05,pred_curve
0.5,0.28181818181818186,,4.021981335258736e-05,pred_curve
0.5,0.2909090909090909,,4.06293857395019e-05,pred_curve
0.5,0.3,,4.1021807575495414e-05,pred_curve
0.5,0.3090909090909091,,4.139813401915192e-05,pred_curve
0.5,0.3181818181818182,,4.1759335412658576e-05,pred_curve
0.5,0.32727272727272727,,4.2106305636123946e-05,pred_curve
0.5,0.33636363636363636,,4.243986949350449e-05,pred_curve
0.5,0.34545454545454546,,4.276078925861678e-05,pred_curve
0.5,0.3545454545454545,,4.306977049059538e-05,pred_curve
