a,p,y_emp,y_pred
0.5,0.1,2.3336281860922905e-05,2.5351075810596744e-05
0.5,0.2,3.534088428059787e-05,3.55309551235882e-05
0.5,0.3,4.209345781992477e-05,4.1021807575495414e-05
0.5,0.4,4.591067992661623e-05,4.4456931245619066e-05
0.5,0.5,4.833230726754925e-05,4.680876156707395e-05
0.5,0.6,4.879760102743265e-05,4.851994082654833e-05
0.5,0.7,5.061622445841346e-05,4.982086377226088e-05
0.5,0.8,5.0663802282179865e-05,5.084327615769426e-05
0.5,0.9,5.057976323978158e-05,5.1667968121313244e-05
0.5,1.0,5.025601400779561e-05,5.234723742549522e-05
0.7,0.1,2.77373599354139e-05,2.995151933270123e-05
0.7,0.2,4.3504924278371466e-05,4.380300535279197e-05
0.7,0.3,5.2521593022664145e-05,5.178606051742639e-05
0.7,0.4,5.839957954228234e-05,5.697816843481082e-05
0.7,0.5,6.1687657061471e-05,6.062516201426309e-05
0.7,0.6,6.443378957540591e-05,6.332742156617486e-05
0.7,0.7,6.654350306785097e-05,6.540994499832626e-05
0.7,0.8,6.709339444868157e-05,6.706399555100904e-05
0.7,0.9,6.699736862920131e-05,6.840947409676588e-05
0.7,1.0,6.728270541809291e-05,6.952536207558487e-05
0.9,0.1,3.199232451025359e-05,3.423251743464848e-05
0.9,0.2,5.06635174719451e-05,5.187866345820406e-05
0.9,0.3,6.392585427242329e-05,6.264225351422693e-05
0.9,0.4,7.148945962372418e-05,6.989280134439836e-05
0.9,0.5,7.664638525921014e-05,7.510890392530391e-05
0.9,0.6,8.020117321650188e-05,7.904148331535453e-05
0.9,0.7,8.254476917216529e-05,8.21123908238e-05
0.9,0.8,8.457164189641052e-05,8.457686634023979e-05
0.9,0.9,8.480249006132127e-05,8.659840110637404e-05
0.9,1.0,8.671267622123178e-05,8.828656351050985e-05
1.1,0.1,3.615470379985245e-05,3.883504152647087e-05
1.1,0.2,5.927896061220765e-05,6.025782215608636e-05
1.1,0.3,7.420102570619462e-05,7.383437119393723e-05
1.1,0.4,8.454038653276584e-05,8.320808020673517e-05
1.1,0.5,9.08243511056709e-05,9.006895102629545e-05
1.1,0.6,9.74067881129772e-05,9.530799207515067e-05
1.1,0.7,0.0001008773458118,9.943949009950011e-05
1.1,0.8,0.0001019575974054,0.00010278107618222229
1.1,0.9,0.0001042426082533,0.00010553952174180248
1.1,1.0,0.000105881349534,0.00010785522241670436
1.3,0.1,4.0062885332514e-05,4.2968422915517276e-05
1.3,0.2,6.707344837488122e-05,6.835540983960188e-05
1.3,0.3,8.558100594701405e-05,8.51189985046891e-05
1.3,0.4,9.929534591504746e-05,9.701506201905945e-05
1.3,0.5,0.0001078000397662,0.00010589485586031322
1.3,0.6,0.0001135422231729,0.00011277648075735366
1.3,0.7,0.0001196764273026,0.00011826618151899964
1.3,0.8,0.0001214906253071,0.00012274748118649956
1.3,0.9,0.0001267523212373,0.00012647485661415088
1.3,1.0,0.0001266686021096,0.00012962380321089885
1.5,0.1,4.421817162394395e-05,4.7418992602374005e-05
1.5,0.2,7.609458477019672e-05,7.674142846587932e-05
1.5,0.3,9.609190003534709e-05,9.666664864685792e-05
1.5,0.4,0.0001132572667721,0.00011108816961192316
1.5,0.5,0.0001237186241784,0.00012200960373303311
1.5,0.6,0.0001323202725759,0.00013056726110567658
1.5,0.7,0.0001376332171496,0.000137453609502906
1.5,0.8,0.0001449218632043,0.00014311470145648444
1.5,0.9,0.000146344440956,0.00014785082861198666
1.5,1.0,0.0001486979795153,0.00015187156461751763
1.7,0.1,4.8024236570906995e-05,5.190446368585848e-05
1.7,0.2,8.406109833530509e-05,8.532547803707511e-05
1.7,0.3,0.000109500182909,0.00010864389004936884
1.7,0.4,0.0001268105016102,0.00012583902508841286
1.7,0.5,0.0001416124790081,0.00013904286471879893
1.7,0.6,0.0001518231530984,0.00014950057225034637
1.7,0.7,0.0001568950205851,0.00015798816026795366
1.7,0.8,0.0001667097528389,0.00016501442670502407
1.7,0.9,0.0001709701487878,0.0001709268552549764
1.7,1.0,0.0001718511296956,0.00017597085100350495
1.9,0.1,5.147992932734884e-05,5.52615890864373e-05
1.9,0.2,9.172099777329454e-05,9.288083953934582e-05
1.9,0.3,0.0001197038415393,0.00012014330179887057
1.9,0.4,0.0001427944289594,0.00014080840221235297
1.9,0.5,0.0001595505314547,0.0001570124409372004
1.9,0.6,0.0001725402224739,0.0001700592303360679
1.9,0.7,0.0001805108272705,0.00018078960817512652
1.9,0.8,0.0001891849514093,0.00018977018103680243
1.9,0.9,0.000196967364283,0.00019739669344932804
1.9,1.0,0.0002015885776575,0.0002039539178894108
2.1,0.1,5.524932623355839e-05,6.0183730634890706e-05
2.1,0.2,9.898186395836156e-05,0.0001020826437305358
2.1,0.3,0.000134426601507,0.00013293068932328486
2.1,0.4,0.000158186521869,0.00015659049327998358
2.1,0.5,0.0001762808372902,0.000175312385205425
2.1,0.6,0.0001939266934044,0.00019049614307917596
2.1,0.7,0.0002064237974559,0.0002030581509951307
2.1,0.8,0.0002160018654935,0.00021362348253655178
2.1,0.9,0.0002172593776766,0.00022263313491482388
2.1,1.0,0.0002275701219476,0.00023040714266426028
2.3,0.1,5.921437409160471e-05,6.709173581471242e-05
2.3,0.2,0.0001082674579062,0.00011410407752529023
2.3,0.3,0.0001481516557275,0.00014887783761123567
2.3,0.4,0.0001750556154654,0.00017564165181374066
2.3,0.5,0.0001952531466086,0.0001968772631416551
2.3,0.6,0.0002144666606128,0.00021413715301944354
2.3,0.7,0.0002297496884889,0.00022844225154400978
2.3,0.8,0.0002395620829208,0.0002404914960226598
2.3,0.9,0.0002488178060288,0.00025077949564211515
2.3,1.0,0.0002554318656136,0.0002596661129759103
2.5,0.1,6.277194105091615e-05,7.087644792905651e-05
2.5,0.2,0.0001164557141869,0.00012244418188333433
2.5,0.3,0.0001582262796009,0.00016164762087888523
2.5,0.4,0.0001896336231887,0.0001924575728039141
2.5,0.5,0.000216102223467,0.00021730895686018943
2.5,0.6,0.0002403493322286,0.00023777791986533706
2.5,0.7,0.0002555594112161,0.00025492975980017274
2.5,0.8,0.000265898083918,0.00026951037836578064
2.5,0.9,0.0002740498854368,0.00028205763566001497
2.5,1.0,0.000288823035981,0.00029296915418212027
