motion,speed,label,parameter,median,q05,q95
isotropic,constant,isotropic/constant,adhesion,0.6997699432279997,0.4029724658555679,0.9550387018059904
isotropic,lognorm,isotropic/lognorm,adhesion,0.8213278453246526,0.5231789983782608,0.9692220728165709
isotropic,gamma,isotropic/gamma,adhesion,0.7434814063577155,0.5290210490556214,0.947006699832918
isotropic,weibull,isotropic/weibull,adhesion,0.7328937259208976,0.3734626067313938,0.960256205686073
isotropic,constant,isotropic/constant,fragment_rate,0.004369302706149331,0.0009071453502094754,0.008816467415867973
isotropic,lognorm,isotropic/lognorm,fragment_rate,0.003454999396491465,0.0005973254895706179,0.008679787669017927
isotropic,gamma,isotropic/gamma,fragment_rate,0.0031443199116784684,0.0011682009046438961,0.005508031323730865
isotropic,weibull,isotropic/weibull,fragment_rate,0.004281578683324521,0.0006576336143616277,0.009008215156995363
isotropic,constant,isotropic/constant,heading_sigma,0.38814271699871333,0.056275836772753704,0.7270980259739015
isotropic,lognorm,isotropic/lognorm,heading_sigma,0.3858240648893434,0.0647322236507728,0.724918398721274
isotropic,gamma,isotropic/gamma,heading_sigma,0.3982532377484674,0.10721756804374138,0.7087382570316568
isotropic,weibull,isotropic/weibull,heading_sigma,0.4621897938179481,0.10766352920982679,0.7518198551611939
isotropic,constant,isotropic/constant,init_n_clusters,165.83155981459177,142.48050288774797,218.62067704379797
isotropic,lognorm,isotropic/lognorm,init_n_clusters,867.9019564609406,621.1781551072451,1142.9026673179458
isotropic,gamma,isotropic/gamma,init_n_clusters,264.2083475097017,207.92915603460847,308.7846735340378
isotropic,weibull,isotropic/weibull,init_n_clusters,210.74946831640153,163.0764309166953,271.4970929079162
isotropic,constant,isotropic/constant,merge_prob,0.7245258516736776,0.3877025896286727,0.9558234252974736
isotropic,lognorm,isotropic/lognorm,merge_prob,0.8321761793567846,0.5263556569205134,0.9818877143883172
isotropic,gamma,isotropic/gamma,merge_prob,0.6433317573359427,0.478401566054133,0.8431263759673397
isotropic,weibull,isotropic/weibull,merge_prob,0.7892557006227123,0.4504798209664011,0.9676490378201745
isotropic,constant,isotropic/constant,prolif_rate,0.01960957702664949,0.01859506465068711,0.01996779159212719
isotropic,lognorm,isotropic/lognorm,prolif_rate,0.00964037873891917,0.004589201938539248,0.016026655280575394
isotropic,gamma,isotropic/gamma,prolif_rate,0.01966620309272602,0.018842393494194035,0.0199657615315016
isotropic,weibull,isotropic/weibull,prolif_rate,0.019598890994372953,0.018536953363719702,0.019926410812740943
isotropic,constant,isotropic/constant,speed_meanlog,0.35819264729833156,-0.7665414284339344,1.780000967890762
isotropic,lognorm,isotropic/lognorm,speed_meanlog,1.525229362765301,0.9302106537322496,1.9540646482114141
isotropic,gamma,isotropic/gamma,speed_meanlog,0.17680706985369848,-0.7317056944213419,1.332470350652979
