label,t,epsilon
isotropic/lognorm,-1,inf
isotropic/lognorm,0,29.825997238995484
isotropic/lognorm,1,22.29746703638334
isotropic/lognorm,2,21.85214553377025
isotropic/lognorm,3,17.985193899250497
isotropic/lognorm,4,13.629016090710723
isotropic/lognorm,5,11.037771650298557
isotropic/lognorm,6,9.358744078179607
isotropic/lognorm,7,7.9260108033333845
isotropic/lognorm,8,7.44755397906265
isotropic/lognorm,9,7.040470363474768
isotropic/lognorm,10,6.692502457124403
isotropic/lognorm,11,6.413853685773762
isotropic/lognorm,12,6.134834489536854
isotropic/lognorm,13,5.957372674529574
isotropic/lognorm,14,5.791442148433424
persistent/lognorm,-1,inf
persistent/lognorm,0,26.713208050885996
persistent/lognorm,1,20.388881701589888
persistent/lognorm,2,16.82370386435008
persistent/lognorm,3,12.987182675665888
persistent/lognorm,4,10.558596846396348
persistent/lognorm,5,9.356640917812133
persistent/lognorm,6,8.415376326758523
persistent/lognorm,7,7.866176684190283
persistent/lognorm,8,7.523802196448486
persistent/lognorm,9,7.263445853253331
persistent/lognorm,10,6.99356507027321
persistent/lognorm,11,6.789109295744553
persistent/lognorm,12,6.507060485253897
persistent/lognorm,13,6.338727597017719
persistent/lognorm,14,6.182613745990959
