motion,speed,label,parameter,median,q05,q95
isotropic,constant,isotropic/constant,adhesion,0.6710944998006085,0.2562887662172311,0.9661443971228548
isotropic,lognorm,isotropic/lognorm,adhesion,0.6800462345525655,0.303209950630115,0.9441173398728966
isotropic,gamma,isotropic/gamma,adhesion,0.6779377642180209,0.3015278670940848,0.9582460347052013
isotropic,weibull,isotropic/weibull,adhesion,0.582823331555749,0.23659043968574653,0.9151968011888149
isotropic,constant,isotropic/constant,fragment_rate,0.004101761707119879,0.0003939735753646834,0.008836591500781204
isotropic,lognorm,isotropic/lognorm,fragment_rate,0.0029625494390327807,0.00045855962328754623,0.008310454715523382
isotropic,gamma,isotropic/gamma,fragment_rate,0.004853854639702313,0.0007234311582224812,0.00898140568785565
isotropic,weibull,isotropic/weibull,fragment_rate,0.004635092604482555,0.0011091951591488047,0.008923466111225046
isotropic,constant,isotropic/constant,heading_sigma,0.4456932899430301,0.048678937633810836,0.7423731568259165
isotropic,lognorm,isotropic/lognorm,heading_sigma,0.4383200220643084,0.0502542189714509,0.7721965270458312
isotropic,gamma,isotropic/gamma,heading_sigma,0.44506144802266906,0.07434058317641613,0.7293856848202164
isotropic,weibull,isotropic/weibull,heading_sigma,0.32662483302053713,0.07004743715306026,0.6545602488275051
isotropic,constant,isotropic/constant,init_n_clusters,219.14669227820485,181.48966025174278,291.0604035824932
isotropic,lognorm,isotropic/lognorm,init_n_clusters,818.03314010449,349.67973378690857,1359.5345064115038
isotropic,gamma,isotropic/gamma,init_n_clusters,303.46758205725223,247.96443904454415,369.0463254741481
isotropic,weibull,isotropic/weibull,init_n_clusters,249.7995793025977,193.78975671212896,329.3395940685603
isotropic,constant,isotropic/constant,merge_prob,0.6798039992406,0.23151629279392935,0.96433282173358
isotropic,lognorm,isotropic/lognorm,merge_prob,0.6817555134165121,0.3593307165726469,0.9408390257486322
isotropic,gamma,isotropic/gamma,merge_prob,0.7194753838708141,0.3142452662744859,0.9714792051749117
isotropic,weibull,isotropic/weibull,merge_prob,0.583400674326781,0.3112569567741177,0.8760884686392443
isotropic,constant,isotropic/constant,prolif_rate,0.016464764379614718,0.015412158085930305,0.017458429747925285
isotropic,lognorm,isotropic/lognorm,prolif_rate,0.007138910612594875,0.002474032312062363,0.013423367118027914
isotropic,gamma,isotropic/gamma,prolif_rate,0.014595034777674015,0.013623885347681395,0.01573984819629303
isotropic,weibull,isotropic/weibull,prolif_rate,0.015365555193588305,0.01390644142237643,0.016889328057119478
isotropic,constant,isotropic/constant,speed_meanlog,0.3897950073239697,-0.7013050180496285,1.7699282910002927
isotropic,lognorm,isotropic/lognorm,speed_meanlog,0.9165180966151176,-0.027111050173229456,1.531526622976213
isotropic,gamma,isotropic/gamma,speed_meanlog,0.6972800596965631,-0.588051932752183,1.794284282542278
isotropic,weibull,isotropic/weibull,speed_meanlog,0.652839082260309,-0.8079221928665392,1.797429470010529
isotropic,constant,isotropic/constant,speed_sdlog,0.7084951960632463,0.16157162252878166,1.4131322083437285
isotropic,lognorm,isotropic/lognorm,speed_sdlog,0.8181498720579461,0.29212792751697414,1.3527135924507938
isotropic,gamma,isotropic/gamma,speed_sdlog,0.6371877731987093,0.19460810202386297,1.263963363551976
isotropic,weibull,isotropic/weibull,speed_sdlog,0.6060283980723367,0.20510897972326173,1.2808300686667582
persistent,constant,persistent/constant,adhesion,0.6805170604177828,0.3217395437271761,0.9574787622815213
persistent,lognorm,persistent/lognorm,adhesion,0.7176997327647419,0.37035838168831503,0.9654891618353969
persistent,gamma,persistent/gamma,adhesion,0.7157190446959261,0.4068505489665522,0.9575015737666316
persistent,weibull,persistent/weibull,adhesion,0.7669856703245677,0.3960737769848898,0.9677878734516101
persistent,constant,persistent/constant,fragment_rate,0.003939030139439675,0.0005423444649322563,0.008817405481795302
persistent,lognorm,persistent/lognorm,fragment_rate,0.005041089513722669,0.0010643712202630007,0.008741549523188478
persistent,gamma,persistent/gamma,fragment_rate,0.004753586759602286,0.0006276616555168625,0.00846381241958585
persistent,weibull,persistent/weibull,fragment_rate,0.0043512302233053015,0.000659696046120322,0.008542354526303168
persistent,constant,persistent/constant,heading_sigma,0.46982889953290713,0.19336745669005173,0.7690029369099809
persistent,lognorm,persistent/lognorm,heading_sigma,0.5366105091361404,0.20878835547825772,0.7435194931564142
persistent,gamma,persistent/gamma,heading_sigma,0.70457930644348,0.5730846537842692,0.7780720308155312
persistent,weibull,persistent/weibull,heading_sigma,0.5810006059475412,0.424459713908782,0.740767518592138
persistent,constant,persistent/constant,init_n_clusters,334.3569530964996,247.85695818665764,500.15343703153246
persistent,lognorm,persistent/lognorm,init_n_clusters,998.4463579879266,469.03755017725433,1423.1520690078412
persistent,gamma,persistent/gamma,init_n_clusters,1018.5677108692284,622.7357315028569,1404.52989175975
persistent,weibull,persistent/weibull,init_n_clusters,1000.7932750646439,525.0721550012306,1408.8152077652637
persistent,constant,persistent/constant,merge_prob,0.6450189481470547,0.2770432840679018,0.9493855740295114
persistent,lognorm,persistent/lognorm,merge_prob,0.6884992560330039,0.3476761659498166,0.9521402641300986
persistent,gamma,persistent/gamma,merge_prob,0.7060733726905968,0.3692414803517621,0.9483849409372397
persistent,weibull,persistent/weibull,merge_prob,0.7341102397941683,0.41983284119464936,0.9555084904526369
persistent,constant,persistent/constant,prolif_rate,0.01373366358799305,0.011301704500256804,0.015366250606427623
persistent,lognorm,persistent/lognorm,prolif_rate,0.005194089941145298,0.0018946257684099533,0.010891560003243204
persistent,gamma,persistent/gamma,prolif_rate,0.005245768200487635,0.00282224467336049,0.008601940512544218
persistent,weibull,persistent/weibull,prolif_rate,0.005457617212626135,0.0022715203176610966,0.010236116251035567
persistent,constant,persistent/constant,speed_meanlog,0.5236566038667593,-0.8049709429178313,1.6842964087942582
persistent,lognorm,persistent/lognorm,speed_meanlog,0.1765078002378193,-0.5465679871055497,0.6804274616726427
persistent,gamma,persistent/gamma,speed_meanlog,0.2113945012766395,-0.7827637811009309,1.745582796477812
persistent,weibull,persistent/weibull,speed_meanlog,0.4791761043141719,-0.7577863948952043,1.8172163799563754
persistent,constant,persistent/constant,speed_sdlog,0.8062386547152389,0.21107871275928852,1.3846910113220559
persistent,lognorm,persistent/lognorm,speed_sdlog,0.8253601949775446,0.23957820907014363,1.3703390847236558
persistent,gamma,persistent/gamma,speed_sdlog,0.7846844567651265,0.24059649036383496,1.402308717497243
persistent,weibull,persistent/weibull,speed_sdlog,0.8436198834079702,0.2347187312544358,1.4088481701062425
