label,t,epsilon
isotropic/constant,-1,inf
isotropic/constant,0,89.44830630441845
isotropic/constant,1,60.298370513261816
isotropic/constant,2,47.813900832130074
isotropic/constant,3,29.94670582614765
isotropic/constant,4,24.49338021217984
isotropic/constant,5,21.843079464614128
isotropic/constant,6,19.50509786915489
isotropic/constant,7,18.528768177000913
isotropic/lognorm,-1,inf
isotropic/lognorm,0,73.40517723231052
isotropic/lognorm,1,44.16660332329221
isotropic/lognorm,2,33.11338724202845
isotropic/lognorm,3,24.10668009576189
isotropic/lognorm,4,19.467970353093396
isotropic/lognorm,5,15.840310080141217
isotropic/lognorm,6,13.743921352382715
isotropic/lognorm,7,12.676095391217897
isotropic/gamma,-1,inf
isotropic/gamma,0,61.084378530481594
isotropic/gamma,1,47.37486541946067
isotropic/gamma,2,38.27354202220391
isotropic/gamma,3,32.89879724036308
isotropic/gamma,4,28.089164990563454
isotropic/gamma,5,21.88650889191825
isotropic/gamma,6,17.909621409340197
isotropic/gamma,7,15.451269462638553
isotropic/weibull,-1,inf
isotropic/weibull,0,66.42817575746756
isotropic/weibull,1,48.33939721103818
isotropic/weibull,2,40.24656063495261
isotropic/weibull,3,32.14030054522306
isotropic/weibull,4,26.76701996231751
isotropic/weibull,5,22.047053086618305
isotropic/weibull,6,19.480563857301043
isotropic/weibull,7,18.670987279996012
persistent/constant,-1,inf
persistent/constant,0,58.72488965254006
persistent/constant,1,42.479765794899265
persistent/constant,2,33.74823980320845
persistent/constant,3,26.360879447919686
persistent/constant,4,21.52716363954277
persistent/constant,5,19.11744978172534
persistent/constant,6,16.96866864832251
persistent/constant,7,15.690193783025553
persistent/lognorm,-1,inf
persistent/lognorm,0,105.78237301261662
persistent/lognorm,1,49.94324025411553
persistent/lognorm,2,34.36164318460804
persistent/lognorm,3,26.010579970528116
persistent/lognorm,4,20.203781877523724
persistent/lognorm,5,17.237821001312227
persistent/lognorm,6,15.178882040451072
persistent/lognorm,7,13.763010792517987
persistent/gamma,-1,inf
persistent/gamma,0,78.87618593099677
persistent/gamma,1,40.88325248894319
persistent/gamma,2,29.640572723531083
persistent/gamma,3,20.591091546601636
persistent/gamma,4,16.868384768598364
persistent/gamma,5,15.134416570201234
persistent/gamma,6,12.807281284584166
persistent/gamma,7,11.601415056660427
persistent/weibull,-1,inf
persistent/weibull,0,76.38910833375962
persistent/weibull,1,41.19736661888181
persistent/weibull,2,27.95557652022282
persistent/weibull,3,21.02165205331459
persistent/weibull,4,16.840326013417766
persistent/weibull,5,14.547406475367815
persistent/weibull,6,12.69505542562748
persistent/weibull,7,11.74357914650614
