label,t,epsilon
isotropic/constant,-1,inf
isotropic/constant,0,9.160228895186709
isotropic/constant,1,6.416336957945951
isotropic/constant,2,5.2501150075783825
isotropic/constant,3,5.014993234302206
isotropic/constant,4,4.820254710630396
isotropic/constant,5,4.704997714594047
isotropic/constant,6,4.59584956516651
isotropic/constant,7,4.502199780657151
isotropic/constant,8,4.4391060735004695
isotropic/constant,9,4.389915831824033
isotropic/constant,10,4.337990503008119
isotropic/constant,11,4.300494321335705
isotropic/lognorm,-1,inf
isotropic/lognorm,0,6.2007568321235
isotropic/lognorm,1,4.798224692279444
isotropic/lognorm,2,3.742394718706883
isotropic/lognorm,3,2.834464212938514
isotropic/lognorm,4,2.1815121763463945
isotropic/lognorm,5,1.811701729226456
isotropic/lognorm,6,1.5731800030288448
isotropic/lognorm,7,1.4323785215412257
isotropic/lognorm,8,1.3430600186837867
isotropic/lognorm,9,1.2692011130174068
isotropic/lognorm,10,1.218240420323199
isotropic/lognorm,11,1.1813095825777276
isotropic/gamma,-1,inf
isotropic/gamma,0,7.052599659487837
isotropic/gamma,1,5.425784920792178
isotropic/gamma,2,5.003506872815526
isotropic/gamma,3,4.681089616884787
isotropic/gamma,4,4.476941502042694
isotropic/gamma,5,4.3486233915930335
isotropic/gamma,6,4.204860706583652
isotropic/gamma,7,4.121644337163163
isotropic/gamma,8,4.053171671439576
isotropic/gamma,9,3.968408999460393
isotropic/gamma,10,3.9443700421824124
isotropic/gamma,11,3.86501987487186
isotropic/weibull,-1,inf
isotropic/weibull,0,7.438808315291314
isotropic/weibull,1,5.788499850177357
isotropic/weibull,2,5.15950316126908
isotropic/weibull,3,4.890303712715546
isotropic/weibull,4,4.685514741199289
isotropic/weibull,5,4.553803269317556
isotropic/weibull,6,4.424515802468129
isotropic/weibull,7,4.3343532437472625
isotropic/weibull,8,4.243969632923703
isotropic/weibull,9,4.184875345359934
isotropic/weibull,10,4.1265597132374685
isotropic/weibull,11,4.120388014272871
persistent/constant,-1,inf
persistent/constant,0,6.432381940320898
persistent/constant,1,5.255577746791479
persistent/constant,2,4.908086261315825
persistent/constant,3,4.650276931140432
persistent/constant,4,4.414409731299634
persistent/constant,5,4.26493887089731
persistent/constant,6,4.145862134224793
persistent/constant,7,4.043196890368174
persistent/constant,8,3.9728917606071015
persistent/constant,9,3.889840899800322
persistent/constant,10,3.8278778390049633
persistent/constant,11,3.7548325956512607
persistent/lognorm,-1,inf
persistent/lognorm,0,5.454465112738133
persistent/lognorm,1,4.3218126306117055
persistent/lognorm,2,3.3582072440269024
persistent/lognorm,3,2.4750567220782766
persistent/lognorm,4,2.0447961937954653
persistent/lognorm,5,1.7300477740275948
persistent/lognorm,6,1.5540701313884038
persistent/lognorm,7,1.4627117713766367
persistent/lognorm,8,1.3856341464332214
persistent/lognorm,9,1.3206764883258635
persistent/lognorm,10,1.2743897120599514
persistent/lognorm,11,1.2297780999661818
persistent/gamma,-1,inf
persistent/gamma,0,5.038215748458859
persistent/gamma,1,4.2514247983842175
persistent/gamma,2,3.763997837440139
persistent/gamma,3,3.3021287654264073
persistent/gamma,4,2.973166187237866
persistent/gamma,5,2.7157504112885977
persistent/gamma,6,2.4872120248492577
persistent/gamma,7,2.331163052322663
persistent/gamma,8,2.1666596225180608
persistent/gamma,9,2.027484691231666
persistent/gamma,10,1.9248006978713437
persistent/gamma,11,1.880887943205034
persistent/weibull,-1,inf
persistent/weibull,0,5.389165097484507
persistent/weibull,1,4.725369665562046
persistent/weibull,2,4.213641318868914
persistent/weibull,3,3.7031370053696273
persistent/weibull,4,3.377063176748862
persistent/weibull,5,3.12486342042901
persistent/weibull,6,2.9299754175597696
persistent/weibull,7,2.7448783865989634
persistent/weibull,8,2.5787469039677076
persistent/weibull,9,2.430954313913846
persistent/weibull,10,2.3179015535257594
persistent/weibull,11,2.2472679812899696
