motion,speed,label,parameter,median,q05,q95
isotropic,constant,isotropic/constant,adhesion,0.7029975551213501,0.3223695631020472,0.9557198157582556
isotropic,lognorm,isotropic/lognorm,adhesion,0.7708470637182299,0.4402663573261316,0.9642682402644615
isotropic,gamma,isotropic/gamma,adhesion,0.8244504905898886,0.5996807569115469,0.9671368788075959
isotropic,weibull,isotropic/weibull,adhesion,0.7772503668027493,0.5610568381806847,0.9678716152669696
isotropic,constant,isotropic/constant,fragment_rate,0.004128158337977647,0.0003973949788842292,0.008673632578539472
isotropic,lognorm,isotropic/lognorm,fragment_rate,0.003858740314874573,0.0004022223677753542,0.008508327719364397
isotropic,gamma,isotropic/gamma,fragment_rate,0.0034891544728101595,0.0004397421289610139,0.008045221118749996
isotropic,weibull,isotropic/weibull,fragment_rate,0.003894381606475659,0.0009398562690741694,0.007769485634420824
isotropic,constant,isotropic/constant,heading_sigma,0.38426119323106867,0.05581697896723375,0.7199757729729551
isotropic,lognorm,isotropic/lognorm,heading_sigma,0.3996864809693234,0.04853776072181364,0.7449404099800246
isotropic,gamma,isotropic/gamma,heading_sigma,0.30732108824075594,0.0461438228610291,0.6981792526059465
isotropic,weibull,isotropic/weibull,heading_sigma,0.32247645401686575,0.06701743733173601,0.5698479860154222
isotropic,constant,isotropic/constant,init_n_clusters,239.29076289804436,194.5713128693031,279.84153209467587
isotropic,lognorm,isotropic/lognorm,init_n_clusters,791.4491158785552,624.4919494740071,1012.6935938798317
isotropic,gamma,isotropic/gamma,init_n_clusters,346.9389639730239,271.37320428915615,414.8574070196424
isotropic,weibull,isotropic/weibull,init_n_clusters,260.8758066264832,233.29273155937653,297.2598737250346
isotropic,constant,isotropic/constant,merge_prob,0.7433093326659049,0.3413446083204326,0.9733655341975493
isotropic,lognorm,isotropic/lognorm,merge_prob,0.762494507148925,0.45708548735326004,0.9566938306371301
isotropic,gamma,isotropic/gamma,merge_prob,0.649431325069657,0.3845882115909536,0.9416817447655742
isotropic,weibull,isotropic/weibull,merge_prob,0.7600217841673367,0.5528566681513571,0.9581907534019922
isotropic,constant,isotropic/constant,prolif_rate,0.019683605254666715,0.018866174379927648,0.01996366732035506
isotropic,lognorm,isotropic/lognorm,prolif_rate,0.011660912288744982,0.007088130438842846,0.01601388956097854
isotropic,gamma,isotropic/gamma,prolif_rate,0.019668176966438973,0.01906170262879607,0.019972357869233542
isotropic,weibull,isotropic/weibull,prolif_rate,0.019217607805861327,0.018215114126727345,0.01988813221752646
isotropic,constant,isotropic/constant,speed_meanlog,0.46653333631528415,-0.8169045190174145,1.745792308193899
isotropic,lognorm,isotropic/lognorm,speed_meanlog,1.3932874222104878,0.8451817668396794,1.9169696662150064
isotropic,gamma,isotropic/gamma,speed_meanlog,0.07644292536184455,-0.8408371809574031,1.6009070777228913
isotropic,weibull,isotropic/weibull,speed_meanlog,0.33127887634241115,-0.5240720683549462,1.2383706803919858
isotropic,constant,isotropic/constant,speed_sdlog,0.7831090337387652,0.2144133537934531,1.388716921510023
isotropic,lognorm,isotropic/lognorm,speed_sdlog,0.9824151934669788,0.5360538903646059,1.4135085628813147
isotropic,gamma,isotropic/gamma,speed_sdlog,0.9369922986792867,0.2976634262463698,1.3944387703980918
isotropic,weibull,isotropic/weibull,speed_sdlog,0.9281460544593887,0.426475074641181,1.377209428878161
persistent,constant,persistent/constant,adhesion,0.7891419363783133,0.4517440401029915,0.9695607076076727
persistent,lognorm,persistent/lognorm,adhesion,0.760337485579284,0.4951201745911622,0.960158699616856
persistent,gamma,persistent/gamma,adhesion,0.7584265164593531,0.4854693722188599,0.9734767551845409
persistent,weibull,persistent/weibull,adhesion,0.8438110576819418,0.6133071920149198,0.9850649934329605
persistent,constant,persistent/constant,fragment_rate,0.0037980633413821057,0.0004165622187588169,0.008645648874951511
persistent,lognorm,persistent/lognorm,fragment_rate,0.004246357446891667,0.0007882560295739246,0.008870815815176292
persistent,gamma,persistent/gamma,fragment_rate,0.0043169298716830866,0.0008067133421012417,0.008518079235257528
persistent,weibull,persistent/weibull,fragment_rate,0.003721896608416635,0.0004510158363930816,0.008521577879159803
persistent,constant,persistent/constant,heading_sigma,0.1296133491080178,0.0161672241912437,0.31547123738043087
persistent,lognorm,persistent/lognorm,heading_sigma,0.5306637379330943,0.108484088294698,0.7686475186656223
persistent,gamma,persistent/gamma,heading_sigma,0.13121046878463272,0.013080209136988137,0.30099695848231
persistent,weibull,persistent/weibull,heading_sigma,0.13160704845808313,0.015138921278290708,0.330091126834954
persistent,constant,persistent/constant,init_n_clusters,381.8895196175847,258.1149407192995,602.5302112817008
persistent,lognorm,persistent/lognorm,init_n_clusters,845.613992742089,624.7307724734237,1107.261088038298
persistent,gamma,persistent/gamma,init_n_clusters,623.8286682317629,537.7855186680697,699.1211637865122
persistent,weibull,persistent/weibull,init_n_clusters,647.4100019049615,560.2009019514011,738.0881608932275
persistent,constant,persistent/constant,merge_prob,0.7848316843755383,0.4545321645192383,0.9753704802360985
persistent,lognorm,persistent/lognorm,merge_prob,0.7813742010915207,0.49910037306576993,0.9718118777550765
persistent,gamma,persistent/gamma,merge_prob,0.8567178416762851,0.603899500764999,0.983612617460329
persistent,weibull,persistent/weibull,merge_prob,0.8630485561747272,0.6008996246846617,0.9827320659206328
persistent,constant,persistent/constant,prolif_rate,0.019745168031142134,0.01929814261779335,0.019972516756114795
persistent,lognorm,persistent/lognorm,prolif_rate,0.009493801181875082,0.004668690399349372,0.014755587558511179
persistent,gamma,persistent/gamma,prolif_rate,0.019092012349304237,0.01773048410174675,0.019914333765964513
persistent,weibull,persistent/weibull,prolif_rate,0.019412713041830197,0.01816169958499199,0.019923909618360307
persistent,constant,persistent/constant,speed_meanlog,0.4063476490642707,-0.7523488088878254,1.7370272683111738
persistent,lognorm,persistent/lognorm,speed_meanlog,1.021425811678882,0.44628923854271757,1.4807959412113254
persistent,gamma,persistent/gamma,speed_meanlog,0.30977855198394977,-0.7267007869862919,1.7000840175746772
persistent,weibull,persistent/weibull,speed_meanlog,0.5242411274547971,-0.7338335371983343,1.7318717029708877
persistent,constant,persistent/constant,speed_sdlog,0.8100646266998421,0.23976589130634976,1.3778863128328354
persistent,lognorm,persistent/lognorm,speed_sdlog,0.8802822908169188,0.29364824331502903,1.4004572354663474
persistent,gamma,persistent/gamma,speed_sdlog,0.6267614877863863,0.15786302590568774,1.3585741127536093
persistent,weibull,persistent/weibull,speed_sdlog,0.7718570636552455,0.20917867381304092,1.377750888898456
