label,t,epsilon
isotropic/constant,-1,inf
isotropic/constant,0,8.606946638000839
isotropic/constant,1,6.2806543276651565
isotropic/constant,2,5.020433205768207
isotropic/constant,3,3.622629273445557
isotropic/constant,4,2.9074628483273486
isotropic/constant,5,2.323407918007951
isotropic/constant,6,2.070029133088927
isotropic/constant,7,1.9617310187454995
isotropic/constant,8,1.7655401613888904
isotropic/constant,9,1.762295040943826
isotropic/constant,10,1.591535891417646
isotropic/constant,11,1.518104507440389
isotropic/lognorm,-1,inf
isotropic/lognorm,0,8.740719972500635
isotropic/lognorm,1,5.486130243625163
isotropic/lognorm,2,3.811542678457403
isotropic/lognorm,3,2.6662312717569896
isotropic/lognorm,4,2.0962682885361796
isotropic/lognorm,5,1.7046244465794302
isotropic/lognorm,6,1.4385968694723095
isotropic/lognorm,7,1.2164765961684862
isotropic/lognorm,8,1.0647518220614853
isotropic/lognorm,9,0.9384570430803172
isotropic/lognorm,10,0.8620815157490549
isotropic/lognorm,11,0.8068811420807603
isotropic/gamma,-1,inf
isotropic/gamma,0,6.950370784705207
isotropic/gamma,1,5.535106005774491
isotropic/gamma,2,4.0642541960833745
isotropic/gamma,3,3.1612304566854434
isotropic/gamma,4,2.49666322517607
isotropic/gamma,5,2.004767016237024
isotropic/gamma,6,1.6721131841920578
isotropic/gamma,7,1.5028685528386883
isotropic/weibull,-1,inf
isotropic/weibull,0,7.903042983816275
isotropic/weibull,1,5.810605160624502
isotropic/weibull,2,4.668116496785359
isotropic/weibull,3,3.841189592806444
isotropic/weibull,4,3.078453900833601
isotropic/weibull,5,2.496229734267603
isotropic/weibull,6,2.0401860831572485
isotropic/weibull,7,1.7847040903036298
isotropic/weibull,8,1.458725135553506
isotropic/weibull,9,1.3305558139891096
isotropic/weibull,10,1.2058623426421093
isotropic/weibull,11,1.1595807902845852
persistent/constant,-1,inf
persistent/constant,0,6.45537182034316
persistent/constant,1,4.595528745550411
persistent/constant,2,3.354977644643447
persistent/constant,3,2.4855830685390354
persistent/constant,4,1.9907020811737384
persistent/constant,5,1.697472121676653
persistent/constant,6,1.5196365107408982
persistent/constant,7,1.3888507682120184
persistent/constant,8,1.3038843757183127
persistent/constant,9,1.2312203621993243
persistent/constant,10,1.183214774127613
persistent/constant,11,1.1372219194482402
persistent/lognorm,-1,inf
persistent/lognorm,0,12.326265244860636
persistent/lognorm,1,5.655795118724157
persistent/lognorm,2,3.962477413046174
persistent/lognorm,3,2.9212324520680375
persistent/lognorm,4,2.200647222932794
persistent/lognorm,5,1.7402098319127814
persistent/lognorm,6,1.4622006819044366
persistent/lognorm,7,1.2804387890944644
persistent/lognorm,8,1.1479623547647342
persistent/lognorm,9,1.0315960836821205
persistent/lognorm,10,0.9514429928871452
persistent/lognorm,11,0.8908177872518709
persistent/gamma,-1,inf
persistent/gamma,0,8.963814020704943
persistent/gamma,1,4.844753740267044
persistent/gamma,2,2.9992277550112685
persistent/gamma,3,2.136395113766116
persistent/gamma,4,1.669932406782277
persistent/gamma,5,1.3618067665185523
persistent/gamma,6,1.1750046725915748
persistent/gamma,7,1.0395628658036893
persistent/gamma,8,0.9558220402025892
persistent/gamma,9,0.8789115378154909
persistent/gamma,10,0.8251588556102524
persistent/gamma,11,0.7878225149405924
persistent/weibull,-1,inf
persistent/weibull,0,8.330792999683618
persistent/weibull,1,4.450390639339086
persistent/weibull,2,2.8248309796241258
persistent/weibull,3,2.1912840717718947
persistent/weibull,4,1.6657678017454407
persistent/weibull,5,1.4056355846577062
persistent/weibull,6,1.179967529106214
persistent/weibull,7,1.0442565144051792
persistent/weibull,8,0.9455736788533866
persistent/weibull,9,0.8774683543616989
persistent/weibull,10,0.8267941605557229
persistent/weibull,11,0.7756696847950928
