motion,speed,label,parameter,median,q05,q95
isotropic,constant,isotropic/constant,adhesion,0.6116212128965297,0.23673127571354685,0.9427926182310106
isotropic,lognorm,isotropic/lognorm,adhesion,0.6999467473361138,0.366884217898107,0.9656318980802092
isotropic,gamma,isotropic/gamma,adhesion,0.6746116700354677,0.23782835167659003,0.9575702189631126
isotropic,weibull,isotropic/weibull,adhesion,0.7432379724699374,0.4254587161204961,0.9634134312278138
isotropic,constant,isotropic/constant,fragment_rate,0.003802626335925547,0.0004917108030265319,0.008894526407304185
isotropic,lognorm,isotropic/lognorm,fragment_rate,0.004600599011745006,0.0005542732124430887,0.008862543377688605
isotropic,gamma,isotropic/gamma,fragment_rate,0.005070500206515541,0.0008749919625780176,0.00924639859624641
isotropic,weibull,isotropic/weibull,fragment_rate,0.0040608101898634424,0.0005350601947043037,0.008981115196192357
isotropic,constant,isotropic/constant,heading_sigma,0.3373175739007762,0.046214865070709765,0.7274918287864376
isotropic,lognorm,isotropic/lognorm,heading_sigma,0.3863968547169585,0.07599951263805746,0.7280192061622519
isotropic,gamma,isotropic/gamma,heading_sigma,0.4041632446006481,0.06322467926684007,0.7264168541193828
isotropic,weibull,isotropic/weibull,heading_sigma,0.37062158127782474,0.04920685159940361,0.7052529886984855
isotropic,constant,isotropic/constant,init_n_clusters,259.847173253268,224.36916818542673,293.05840414232915
isotropic,lognorm,isotropic/lognorm,init_n_clusters,1100.9607719516052,768.6751076291406,1414.816956522983
isotropic,gamma,isotropic/gamma,init_n_clusters,346.8920068745098,263.5933082293349,445.30366113248846
isotropic,weibull,isotropic/weibull,init_n_clusters,297.9553264813203,279.03154635426864,328.1128732933761
isotropic,constant,isotropic/constant,merge_prob,0.6240735355157178,0.2847101645452455,0.9517041675102715
isotropic,lognorm,isotropic/lognorm,merge_prob,0.7134129371325216,0.3765367683083185,0.960565082547896
isotropic,gamma,isotropic/gamma,merge_prob,0.6511327648816247,0.2593323106989626,0.9365886843038925
isotropic,weibull,isotropic/weibull,merge_prob,0.7367019748918646,0.4289931970276961,0.9593922045196547
isotropic,constant,isotropic/constant,prolif_rate,0.016070401039940473,0.015367788201444566,0.01685103265170912
isotropic,lognorm,isotropic/lognorm,prolif_rate,0.00509044818655166,0.0030753891327668943,0.007822485674453884
isotropic,gamma,isotropic/gamma,prolif_rate,0.013821386968355274,0.01257037119170497,0.015033634353692888
isotropic,weibull,isotropic/weibull,prolif_rate,0.01491394554891259,0.014278336267125134,0.015538550880605066
isotropic,constant,isotropic/constant,speed_meanlog,0.33886302560828585,-0.8398622803540846,1.7327085010313636
isotropic,lognorm,isotropic/lognorm,speed_meanlog,1.0579019303914001,0.16619512252429888,1.466892885276625
isotropic,gamma,isotropic/gamma,speed_meanlog,0.39294366162291416,-0.7121068611111645,1.7419514819348971
