t,PC,explained_variance_ratio
0,1,0.2390957246519472
0,2,0.20137134490109473
0,3,0.18828037870655845
0,4,0.1638340341533949
0,5,0.13122229529101206
1,1,0.23732902856537555
1,2,0.21939398299814733
1,3,0.17636520283017326
1,4,0.16191880177185877
1,5,0.13314570637920006
2,1,0.271005858486759
2,2,0.20367296587470946
2,3,0.16980084730313952
2,4,0.14116752834445465
2,5,0.137138026184583
3,1,0.32687956319720013
3,2,0.20827273773569913
3,3,0.17410663150355035
3,4,0.14370095693126617
3,5,0.08264028830347475
4,1,0.32706551958600827
4,2,0.22669620323073378
4,3,0.17510351519971457
4,4,0.12383419195866427
4,5,0.08416311872359233
5,1,0.3081135004962029
5,2,0.22249073430987526
5,3,0.18274530904108852
5,4,0.1416795955786389
5,5,0.08507988847814471
6,1,0.32473977818379657
6,2,0.20782314164519156
6,3,0.17781318315989614
6,4,0.1554911340068013
6,5,0.09031169293169533
7,1,0.27792119746887245
7,2,0.20258720433370747
7,3,0.17749733483781113
7,4,0.15874637903494734
7,5,0.12372335411487544
8,1,0.29609836477823026
8,2,0.20553038353759587
8,3,0.19822567657391088
8,4,0.1611193311612242
8,5,0.08961360406944298
9,1,0.28157445379403373
9,2,0.20176524013881006
9,3,0.19631446564285743
9,4,0.15385709317311672
9,5,0.10637634502668264
10,1,0.24902715014495236
10,2,0.20582533322222307
10,3,0.17630989893716387
10,4,0.16330854812980064
10,5,0.11856075500745103
11,1,0.23463497593740196
11,2,0.2055574898620281
11,3,0.18553208315638203
11,4,0.15042264873207936
11,5,0.1268228950100942
12,1,0.22501234097211137
12,2,0.18622584210413812
12,3,0.17620046829237243
12,4,0.14920883507427932
12,5,0.1339827160860145
13,1,0.24724811327731125
13,2,0.20565246619941188
13,3,0.17580289391677004
13,4,0.14069845979010778
13,5,0.1255258113214888
14,1,0.28282822985568606
14,2,0.20570888917333235
14,3,0.17810294978678926
14,4,0.1280486546508171
14,5,0.10423243360314581
