timestep,S0,S1,S2,SSNND_med
105,245.0,7.895918367,140.6959184,25.07181794709784
106,244.0,7.979508197,146.4672131,25.09103861649967
107,242.5,7.995876289,144.6061856,25.41641105778575
108,237.0,8.208860759,154.685654,25.062526328194625
109,232.0,8.342672414,156.3987069,25.367374616163616
110,231.5,8.483801296,166.4708423,25.13670534167477
111,229.5,8.494553377,161.1786492,26.08180670338282
112,227.0,8.517621145,161.9008811,25.98023665963297
113,221.5,8.889390519,181.006772,26.39833421022441
114,218.0,8.96559633,178.7545872,25.930644588660613
115,216.0,9.118055556,185.1458333,25.85567551338712
116,215.5,9.155452436,191.4709977,26.29233563804005
117,214.5,9.440559441,203.9393939,25.38362376454515
118,206.0,9.752427184,215.6262136,25.12975034671888
119,203.0,10.12807882,234.1034483,27.01609179736036
120,203.5,10.01474201,240.0540541,26.842256607914443
121,200.0,10.2025,246.6575,27.476235547707983
122,196.5,10.33842239,245.9770992,27.89337829636976
123,194.5,10.62210797,252.3804627,28.45885729752532
124,193.5,10.70284238,260.4341085,27.79196496655902
125,192.5,10.7012987,246.3636364,28.11223082050376
126,192.5,10.55844156,229.4571429,27.712060282280653
127,189.0,10.90740741,256.4047619,28.30962669257873
128,186.0,11.08333333,242.0026882,28.12805074307294
129,184.0,11.25815217,252.6059783,29.97637906068985
130,182.0,11.45054945,270.3296703,29.15927731045595
131,182.0,11.59340659,275.9340659,29.189606813237468
132,180.0,11.56111111,272.2444444,29.149167120858813
133,179.5,11.57103064,272.8969359,29.122313880465533
134,175.0,11.88571429,283.3085714,29.140379903038173
135,178.0,11.66011236,276.761236,30.9767256508055
136,175.5,11.92022792,295.4928775,29.35916706771196
137,175.0,11.8,290.0685714,29.64708523991596
138,171.0,12.34210526,305.9795322,28.91646940554261
139,169.5,12.56342183,316.4041298,29.592659915530017
140,171.5,12.42274052,306.3236152,29.85699942796956
141,167.5,12.80597015,328.6208955,29.38240005094217
142,164.0,13.11280488,334.3567073,29.80325872524456
143,163.0,13.17791411,335.5705521,29.202686236424213
144,161.0,13.4068323,334.5310559,31.253581652170467
