timestep,S0,S1,S2,SSNND_med
105,245.0,7.895918367,140.6959184,54.39150078050714
106,244.0,7.979508197,146.4672131,55.44862895108926
107,242.5,7.995876289,144.6061856,55.09822076910933
108,237.0,8.208860759,154.685654,55.48998125048319
109,232.0,8.342672414,156.3987069,55.34844012776843
110,231.5,8.483801296,166.4708423,54.86494669899828
111,229.5,8.494553377,161.1786492,56.26565857485011
112,227.0,8.517621145,161.9008811,56.28591937382865
113,221.5,8.889390519,181.006772,56.37830872748995
114,218.0,8.96559633,178.7545872,56.88861842582213
115,216.0,9.118055556,185.1458333,57.7294347822121
116,215.5,9.155452436,191.4709977,57.15358940728052
117,214.5,9.440559441,203.9393939,57.435638655756655
118,206.0,9.752427184,215.6262136,57.699805834483065
119,203.0,10.12807882,234.1034483,58.6240107706378
120,203.5,10.01474201,240.0540541,59.97256550100133
121,200.0,10.2025,246.6575,60.00671967022882
122,196.5,10.33842239,245.9770992,60.324130937532736
123,194.5,10.62210797,252.3804627,60.8970198724782
124,193.5,10.70284238,260.4341085,61.48221679833591
125,192.5,10.7012987,246.3636364,60.66703243775649
126,192.5,10.55844156,229.4571429,60.404291955722265
127,189.0,10.90740741,256.4047619,61.06322428150619
128,186.0,11.08333333,242.0026882,61.285317308647095
129,184.0,11.25815217,252.6059783,62.54706876809422
130,182.0,11.45054945,270.3296703,62.39912142782734
131,182.0,11.59340659,275.9340659,62.97637447717248
132,180.0,11.56111111,272.2444444,62.84517476904952
133,179.5,11.57103064,272.8969359,63.604148098732615
134,175.0,11.88571429,283.3085714,63.84868260558311
135,178.0,11.66011236,276.761236,65.23331771364329
136,175.5,11.92022792,295.4928775,65.23660249763935
137,175.0,11.8,290.0685714,64.55306933996248
138,171.0,12.34210526,305.9795322,64.02862249464062
139,169.5,12.56342183,316.4041298,64.98490595818944
140,171.5,12.42274052,306.3236152,65.78076914550167
141,167.5,12.80597015,328.6208955,65.74649934587006
142,164.0,13.11280488,334.3567073,65.92348352689505
143,163.0,13.17791411,335.5705521,66.39756613405245
144,161.0,13.4068323,334.5310559,67.24835127186691
