model,metric,time,mean,ci_low,ci_high
isotropic,mean_disp,0.0,0.0,0.0,0.0
isotropic,mean_disp,1.0,3.178132185234901,2.8349196348137418,3.52134473565606
isotropic,mean_disp,2.0,4.120495152877704,3.7672471588404925,4.4737431469149165
isotropic,mean_disp,3.0,4.4852261109301415,4.08083544233988,4.889616779520403
isotropic,mean_disp,4.0,5.258059953096793,4.827813418785833,5.688306487407753
isotropic,mean_disp,5.0,5.566131781724377,5.147592077363514,5.98467148608524
isotropic,mean_disp,6.0,6.002671073251665,5.5392457506888935,6.466096395814436
isotropic,mean_disp,7.0,6.295797927682783,5.7795597972368675,6.812036058128699
isotropic,mean_disp,8.0,6.7639142300117046,6.250847747202204,7.276980712821205
isotropic,mean_disp,9.0,7.0696129851778915,6.5506470576403455,7.5885789127154375
isotropic,mean_disp,10.0,7.377287806669532,6.825660918436764,7.9289146949023
isotropic,mean_disp,11.0,7.755023971819162,7.1853201540174965,8.324727789620827
isotropic,mean_disp,12.0,8.063949658784189,7.513900893018244,8.613998424550134
isotropic,mean_disp,13.0,8.332697340406625,7.7514716547337175,8.913923026079534
isotropic,mean_disp,14.0,8.595662673241256,8.0010842921514,9.19024105433111
isotropic,mean_disp,15.0,8.739163309299473,8.139553779522828,9.338772839076118
isotropic,mean_disp,16.0,8.941582698664435,8.342151127138525,9.541014270190345
isotropic,mean_disp,17.0,9.322333424258712,8.742189370995428,9.902477477521996
isotropic,mean_disp,18.0,9.941713956001696,9.343090922978822,10.540336989024569
isotropic,mean_disp,19.0,10.023196806586107,9.417736349124992,10.628657264047222
isotropic,mean_disp,20.0,10.128512692895995,9.551087278622468,10.705938107169523
isotropic,mean_disp,21.0,10.361219427690422,9.787349904200003,10.935088951180841
isotropic,mean_disp,22.0,10.452276068107647,9.894294744992875,11.010257391222419
isotropic,mean_disp,23.0,11.128059809069061,10.506860708123906,11.749258910014216
isotropic,mean_disp,24.0,11.349618805822223,10.70867520281064,11.990562408833805
isotropic,mean_disp,25.0,11.659697162900903,10.970587429777027,12.34880689602478
isotropic,mean_disp,26.0,11.897743577249825,11.235337556811777,12.560149597687873
isotropic,mean_disp,27.0,11.82343501672392,11.133602095711092,12.513267937736748
isotropic,mean_disp,28.0,12.148825014852125,11.418583933706632,12.879066095997619
isotropic,mean_disp,29.0,12.136626918319752,11.381527626428166,12.891726210211338
isotropic,mean_disp,30.0,12.67695203435309,11.912700378707417,13.441203689998762
isotropic,mean_disp,31.0,12.750270913339211,11.974865159122318,13.525676667556104
isotropic,mean_disp,32.0,12.949482835671835,12.239515778859323,13.659449892484348
isotropic,mean_disp,33.0,13.109222186864063,12.381698047099118,13.836746326629008
isotropic,mean_disp,34.0,13.247397230969746,12.526217686175205,13.968576775764287
isotropic,mean_disp,35.0,13.397484543446888,12.64153225854023,14.153436828353545
isotropic,mean_disp,36.0,13.678072361566025,12.92483378800007,14.43131093513198
