merge_prob,dt,inv_speed,pro_speed,inv_exp,pro_exp,inv_adh,pro_adh,inv_prolif,pro_prolif,inv_frag,pro_frag,inv_frag_exp,pro_frag_exp,init_phenotype,rep,n_final,mean_size_final,mean_speed_final,total_cells_final,n_mean_over_time,mean_size_over_time,mean_speed_over_time
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,46,33.608695652173914,2.0,1546.0,148.06644518272427,15.726484699469085,1.9930249280196521
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,40,38.45,2.0,1538.0,148.59136212624585,16.595137050010965,1.993691917410744
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,38,42.078947368421055,2.0,1599.0,150.7109634551495,16.31571263100603,1.993508792457972
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,39,38.84615384615385,2.0,1515.0,143.71428571428572,16.72252716361352,1.9936469478949352
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,41,37.34146341463415,2.0,1531.0,148.80398671096344,16.12371294295099,1.9939020809250663
0.6,0.5,2.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,31,50.0,2.0,1550.0,123.44518272425249,21.054915991102753,1.9920544673904659
0.6,0.5,2.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,35,43.714285714285715,2.0,1530.0,127.4717607973422,18.86400583921456,1.9922672757046545
0.6,0.5,2.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,31,49.354838709677416,2.0,1530.0,121.14285714285714,21.12559338213188,1.9925920648665691
0.6,0.5,2.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,34,45.88235294117647,2.0,1560.0,121.6046511627907,20.49203184365229,1.991818673852365
0.6,0.5,2.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,37,42.86486486486486,2.0,1586.0,123.22259136212625,20.594406685462467,1.992832753612422
0.6,0.5,2.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,31,49.70967741935484,2.0,1541.0,113.53820598006645,21.38051902115615,1.991967699375416
0.6,0.5,2.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,28,56.42857142857143,2.0,1580.0,111.96345514950166,23.27951751917729,1.992059226580086
0.6,0.5,2.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,30,53.233333333333334,2.0,1597.0,110.76079734219269,22.212285516065396,1.9921697092193256
0.6,0.5,2.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,37,41.91891891891892,2.0,1551.0,114.58803986710963,20.097002622710765,1.992539296132292
0.6,0.5,2.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,29,55.275862068965516,2.0,1603.0,109.72093023255815,23.676566477738415,1.992385991532923
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,23,68.30434782608695,2.952724280508268,1571.0,112.65448504983388,27.456168691424498,2.98964486621458
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,26,59.26923076923077,3.0,1541.0,114.45847176079734,26.001318994960737,2.989689258323271
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,28,56.42857142857143,3.0,1580.0,114.06644518272425,26.71826997112895,2.9894831413423386
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,20,78.15,3.0,1563.0,112.54152823920266,28.97990223159602,2.9890853388467558
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,22,72.63636363636364,3.0,1598.0,113.14285714285714,29.28410002560748,2.989874764316083
0.6,0.5,3.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,20,79.55,3.0,1591.0,89.48837209302326,35.305163097165554,2.987765791859713
0.6,0.5,3.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,16,94.875,3.0,1518.0,91.64119601328903,36.74948532076024,2.9864445078399458
0.6,0.5,3.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,13,121.46153846153847,3.0,1579.0,89.4485049833887,40.32644325720227,2.986713598655754
0.6,0.5,3.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,22,70.0,3.0,1540.0,96.96345514950166,31.455334894084213,2.9891147294758498
0.6,0.5,3.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,20,78.25,3.0,1565.0,94.67441860465117,33.49712649975606,2.988671253201878
0.6,0.5,3.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,14,116.28571428571429,3.0,1628.0,80.23920265780731,44.10173135690521,2.986957743305677
0.6,0.5,3.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,14,113.71428571428571,3.0,1592.0,77.06976744186046,47.76804317660045,2.986891618928602
0.6,0.5,3.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,15,102.66666666666667,3.0,1540.0,81.55813953488372,38.55295419179713,2.9861278647485663
0.6,0.5,3.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,18,89.27777777777777,2.995182951971397,1607.0,81.06644518272425,39.401160233753,2.9873018783267535
0.6,0.5,3.0,1.0,0.0,0.0,0.6,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,19,82.36842105263158,3.0,1565.0,78.32558139534883,39.814201673790606,2.987572456700373
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,18,86.55555555555556,4.0,1558.0,107.65448504983388,31.824326795886304,3.9855270971981964
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,26,60.0,4.0,1560.0,107.27242524916943,26.381181619617113,3.9848414350454067
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,17,93.05882352941177,4.0,1582.0,98.01661129568106,35.06316465240485,3.983328943661319
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,3,18,85.05555555555556,4.0,1531.0,105.53156146179403,32.715935412607145,3.9849803500317686
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,4,14,112.21428571428571,4.0,1571.0,99.68770764119601,40.420879321128865,3.9862318509581263
0.6,0.5,4.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,0,12,134.75,4.0,1617.0,77.88039867109634,50.12898607904655,3.9837942241113264
0.6,0.5,4.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,1,16,99.625,4.0,1594.0,86.19601328903654,41.41917369200199,3.9838639534182994
0.6,0.5,4.0,1.0,0.0,0.0,0.45,0.6,0.003,0.005,0.0007,0.0005,0.0,0.0,invasive,2,14,113.57142857142857,4.0,1590.0,77.22923588039868,54.70404765136349,3.983551453911009
