step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,781.0,1.2816901408450705,1.9270166453265045,1001.0
2,1.0,733.0,1.3683492496589358,2.3560709413369714,1003.0
3,1.5,720.0,1.3944444444444444,2.475,1004.0
4,2.0,701.0,1.4393723252496433,2.6918687589158345,1009.0
5,2.5,679.0,1.4860088365243005,2.914580265095729,1009.0
6,3.0,669.0,1.5112107623318385,3.038863976083707,1011.0
7,3.5,657.0,1.54337899543379,3.193302891933029,1014.0
8,4.0,653.0,1.557427258805513,3.2664624808575806,1017.0
9,4.5,645.0,1.5767441860465117,3.3596899224806203,1017.0
10,5.0,637.0,1.6028257456828885,3.499215070643642,1021.0
11,5.5,630.0,1.6238095238095238,3.607936507936508,1023.0
12,6.0,618.0,1.6585760517799353,3.7880258899676376,1025.0
13,6.5,607.0,1.6935749588138385,3.9901153212520595,1028.0
14,7.0,599.0,1.7161936560934892,4.123539232053423,1028.0
15,7.5,593.0,1.7352445193929174,4.207419898819562,1029.0
16,8.0,582.0,1.7714776632302405,4.38659793814433,1031.0
17,8.5,577.0,1.7902946273830156,4.480069324090121,1033.0
18,9.0,572.0,1.805944055944056,4.550699300699301,1033.0
19,9.5,566.0,1.8268551236749118,4.660777385159011,1034.0
20,10.0,560.0,1.8589285714285715,4.823214285714286,1041.0
21,10.5,551.0,1.894736842105263,5.05989110707804,1044.0
22,11.0,548.0,1.9105839416058394,5.1989051094890515,1047.0
23,11.5,542.0,1.9354243542435425,5.415129151291513,1049.0
24,12.0,537.0,1.957169459962756,5.532588454376164,1051.0
25,12.5,528.0,2.0,5.757575757575758,1056.0
26,13.0,525.0,2.020952380952381,5.929523809523809,1061.0
27,13.5,523.0,2.0305927342256216,5.996175908221797,1062.0
28,14.0,517.0,2.0541586073500966,6.224371373307544,1062.0
29,14.5,515.0,2.066019417475728,6.380582524271845,1064.0
30,15.0,510.0,2.0901960784313727,6.52156862745098,1066.0
31,15.5,505.0,2.110891089108911,6.716831683168317,1066.0
32,16.0,501.0,2.1377245508982035,6.92814371257485,1071.0
33,16.5,495.0,2.165656565656566,7.115151515151515,1072.0
34,17.0,493.0,2.178498985801217,7.204868154158215,1074.0
35,17.5,488.0,2.209016393442623,7.434426229508197,1078.0
36,18.0,484.0,2.229338842975207,7.568181818181818,1079.0
37,18.5,480.0,2.25,7.683333333333334,1080.0
38,19.0,473.0,2.285412262156448,7.892177589852008,1081.0
39,19.5,469.0,2.3113006396588487,8.102345415778252,1084.0
40,20.0,465.0,2.3376344086021503,8.286021505376343,1087.0
41,20.5,458.0,2.3820960698689957,8.609170305676855,1091.0
42,21.0,457.0,2.387308533916849,8.63238512035011,1091.0
43,21.5,453.0,2.41280353200883,8.83664459161148,1093.0
44,22.0,447.0,2.447427293064877,9.069351230425056,1094.0
45,22.5,444.0,2.4662162162162162,9.186936936936936,1095.0
46,23.0,440.0,2.493181818181818,9.402272727272727,1097.0
47,23.5,439.0,2.5056947608200457,9.471526195899772,1100.0
48,24.0,436.0,2.522935779816514,9.582568807339449,1100.0
49,24.5,434.0,2.5414746543778803,9.748847926267281,1103.0
50,25.0,431.0,2.5614849187935036,10.064965197215777,1104.0
51,25.5,425.0,2.6070588235294117,10.4,1108.0
52,26.0,422.0,2.632701421800948,10.566350710900474,1111.0
53,26.5,421.0,2.653206650831354,10.78622327790974,1117.0
54,27.0,418.0,2.674641148325359,10.92822966507177,1118.0
55,27.5,415.0,2.6987951807228914,11.118072289156627,1120.0
56,28.0,411.0,2.727493917274939,11.399026763990268,1121.0
57,28.5,407.0,2.764127764127764,11.761670761670763,1125.0
58,29.0,404.0,2.797029702970297,12.03960396039604,1130.0
59,29.5,401.0,2.8229426433915212,12.359102244389028,1132.0
60,30.0,397.0,2.853904282115869,12.622166246851386,1133.0
61,30.5,396.0,2.8661616161616164,12.69949494949495,1135.0
62,31.0,395.0,2.8784810126582276,12.827848101265824,1137.0
63,31.5,391.0,2.915601023017903,13.186700767263428,1140.0
64,32.0,391.0,2.9232736572890023,13.21994884910486,1143.0
65,32.5,390.0,2.9307692307692306,13.26923076923077,1143.0
66,33.0,387.0,2.956072351421189,13.5968992248062,1144.0
67,33.5,386.0,2.9740932642487046,13.756476683937823,1148.0
68,34.0,382.0,3.013089005235602,14.091623036649215,1151.0
69,34.5,380.0,3.031578947368421,14.263157894736842,1152.0
70,35.0,379.0,3.044854881266491,14.591029023746701,1154.0
71,35.5,379.0,3.0527704485488125,14.7467018469657,1157.0
72,36.0,375.0,3.0986666666666665,15.114666666666666,1162.0
73,36.5,370.0,3.1405405405405404,15.562162162162162,1162.0
74,37.0,368.0,3.157608695652174,15.722826086956522,1162.0
75,37.5,365.0,3.1890410958904107,15.95068493150685,1164.0
76,38.0,364.0,3.206043956043956,16.184065934065934,1167.0
77,38.5,363.0,3.2231404958677685,16.380165289256198,1170.0
78,39.0,362.0,3.2375690607734806,16.513812154696133,1172.0
79,39.5,360.0,3.2583333333333333,16.669444444444444,1173.0
80,40.0,357.0,3.2969187675070026,17.07282913165266,1177.0
81,40.5,353.0,3.3371104815864023,17.41643059490085,1178.0
82,41.0,349.0,3.378223495702006,17.945558739255013,1179.0
83,41.5,348.0,3.3908045977011496,18.080459770114942,1180.0
84,42.0,345.0,3.43768115942029,18.56231884057971,1186.0
85,42.5,345.0,3.4405797101449274,18.617391304347827,1187.0
86,43.0,344.0,3.453488372093023,18.726744186046513,1188.0
87,43.5,342.0,3.4853801169590644,19.07017543859649,1192.0
88,44.0,339.0,3.5250737463126844,19.525073746312685,1195.0
89,44.5,336.0,3.568452380952381,20.336309523809526,1199.0
90,45.0,333.0,3.6096096096096097,20.804804804804803,1202.0
91,45.5,332.0,3.6234939759036147,20.91867469879518,1203.0
92,46.0,331.0,3.6495468277945617,21.202416918429,1208.0
93,46.5,329.0,3.6717325227963524,21.5258358662614,1208.0
94,47.0,327.0,3.694189602446483,21.767584097859327,1208.0
95,47.5,326.0,3.7116564417177913,22.05521472392638,1210.0
96,48.0,325.0,3.732307692307692,22.206153846153846,1213.0
97,48.5,323.0,3.764705882352941,22.45201238390093,1216.0
98,49.0,322.0,3.779503105590062,22.574534161490682,1217.0
99,49.5,321.0,3.8006230529595015,22.785046728971963,1220.0
100,50.0,321.0,3.803738317757009,22.819314641744548,1221.0
101,50.5,320.0,3.825,23.1875,1224.0
