step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,790.0,1.269620253164557,1.8822784810126583,1003.0
2,1.0,742.0,1.3544474393530996,2.278975741239892,1005.0
3,1.5,716.0,1.405027932960894,2.5558659217877095,1006.0
4,2.0,695.0,1.4532374100719425,2.7683453237410074,1010.0
5,2.5,674.0,1.4985163204747773,3.0178041543026706,1010.0
6,3.0,660.0,1.534848484848485,3.2409090909090907,1013.0
7,3.5,652.0,1.5567484662576687,3.3726993865030677,1015.0
8,4.0,637.0,1.5949764521193093,3.620094191522763,1016.0
9,4.5,630.0,1.6142857142857143,3.7,1017.0
10,5.0,624.0,1.6346153846153846,3.801282051282051,1020.0
11,5.5,613.0,1.6721044045676998,4.132137030995106,1025.0
12,6.0,606.0,1.6914191419141915,4.232673267326732,1025.0
13,6.5,600.0,1.7133333333333334,4.36,1028.0
14,7.0,594.0,1.7306397306397305,4.454545454545454,1028.0
15,7.5,585.0,1.7658119658119658,4.702564102564103,1033.0
16,8.0,579.0,1.7858376511226253,4.839378238341969,1034.0
17,8.5,569.0,1.8242530755711774,5.036906854130053,1038.0
18,9.0,566.0,1.8356890459363957,5.139575971731449,1039.0
19,9.5,560.0,1.8625,5.330357142857143,1043.0
20,10.0,552.0,1.894927536231884,5.630434782608695,1046.0
21,10.5,546.0,1.9212454212454213,5.749084249084249,1049.0
22,11.0,543.0,1.9355432780847146,5.843462246777164,1051.0
23,11.5,539.0,1.9536178107606679,5.957328385899815,1053.0
24,12.0,533.0,1.979362101313321,6.106941838649155,1055.0
25,12.5,531.0,1.9887005649717515,6.150659133709981,1056.0
26,13.0,528.0,2.0,6.200757575757576,1056.0
27,13.5,521.0,2.0268714011516313,6.341650671785029,1056.0
28,14.0,516.0,2.052325581395349,6.478682170542636,1059.0
29,14.5,511.0,2.080234833659491,6.616438356164384,1063.0
30,15.0,503.0,2.1172962226640157,6.924453280318091,1065.0
31,15.5,496.0,2.149193548387097,7.205645161290323,1066.0
32,16.0,494.0,2.1578947368421053,7.246963562753036,1066.0
33,16.5,492.0,2.1666666666666665,7.304878048780488,1066.0
34,17.0,488.0,2.1885245901639343,7.573770491803279,1068.0
35,17.5,487.0,2.1991786447638604,7.673511293634497,1071.0
36,18.0,483.0,2.219461697722567,7.834368530020704,1072.0
37,18.5,481.0,2.230769230769231,7.88981288981289,1073.0
38,19.0,479.0,2.240083507306889,7.943632567849686,1073.0
39,19.5,472.0,2.277542372881356,8.273305084745763,1075.0
40,20.0,468.0,2.3098290598290596,8.587606837606838,1081.0
41,20.5,467.0,2.3190578158458246,8.635974304068522,1083.0
42,21.0,463.0,2.3412526997840173,8.79049676025918,1084.0
43,21.5,460.0,2.356521739130435,8.92608695652174,1084.0
44,22.0,457.0,2.3785557986870898,9.140043763676148,1087.0
45,22.5,453.0,2.4061810154525385,9.350993377483444,1090.0
46,23.0,450.0,2.422222222222222,9.48,1090.0
47,23.5,444.0,2.470720720720721,9.853603603603604,1097.0
48,24.0,442.0,2.484162895927602,9.936651583710407,1098.0
49,24.5,437.0,2.519450800915332,10.217391304347826,1101.0
50,25.0,435.0,2.535632183908046,10.333333333333334,1103.0
51,25.5,434.0,2.5414746543778803,10.370967741935484,1103.0
52,26.0,425.0,2.611764705882353,11.030588235294118,1110.0
53,26.5,425.0,2.6188235294117646,11.112941176470589,1113.0
54,27.0,420.0,2.6547619047619047,11.416666666666666,1115.0
55,27.5,418.0,2.6794258373205744,11.631578947368421,1120.0
56,28.0,415.0,2.7036144578313253,11.840963855421688,1122.0
57,28.5,412.0,2.7257281553398056,12.118932038834952,1123.0
58,29.0,409.0,2.748166259168704,12.254278728606357,1124.0
59,29.5,406.0,2.7783251231527095,12.482758620689655,1128.0
60,30.0,399.0,2.8295739348370925,12.94486215538847,1129.0
61,30.5,398.0,2.8391959798994977,13.025125628140703,1130.0
62,31.0,394.0,2.8680203045685277,13.279187817258883,1130.0
63,31.5,391.0,2.89769820971867,13.680306905370845,1133.0
64,32.0,390.0,2.91025641025641,13.776923076923078,1135.0
65,32.5,389.0,2.9254498714652954,13.922879177377892,1138.0
66,33.0,386.0,2.9559585492227978,14.132124352331607,1141.0
67,33.5,382.0,2.986910994764398,14.348167539267015,1141.0
68,34.0,381.0,3.0026246719160103,14.482939632545932,1144.0
69,34.5,378.0,3.0317460317460316,14.804232804232804,1146.0
