step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,843.0,1.1874258600237249,1.5931198102016608,1001.0
2,1.0,754.0,1.33289124668435,2.2108753315649867,1005.0
3,1.5,697.0,1.4461979913916787,2.757532281205165,1008.0
4,2.0,651.0,1.5514592933947773,3.314900153609831,1010.0
5,2.5,618.0,1.6343042071197411,3.825242718446602,1010.0
6,3.0,574.0,1.764808362369338,4.479094076655052,1013.0
7,3.5,545.0,1.8642201834862386,5.170642201834863,1016.0
8,4.0,514.0,1.9805447470817121,5.852140077821011,1018.0
9,4.5,494.0,2.0607287449392713,6.417004048582996,1018.0
10,5.0,469.0,2.1727078891257996,7.20042643923241,1019.0
11,5.5,444.0,2.2995495495495497,8.218468468468469,1021.0
12,6.0,433.0,2.3602771362586603,8.748267898383371,1022.0
13,6.5,413.0,2.4794188861985473,9.87409200968523,1024.0
14,7.0,394.0,2.6015228426395938,11.32233502538071,1025.0
15,7.5,379.0,2.704485488126649,12.482849604221636,1025.0
16,8.0,363.0,2.8264462809917354,13.823691460055096,1026.0
17,8.5,347.0,2.9654178674351583,15.340057636887607,1029.0
18,9.0,335.0,3.0865671641791046,16.955223880597014,1034.0
19,9.5,325.0,3.187692307692308,18.215384615384615,1036.0
20,10.0,312.0,3.3365384615384617,19.71474358974359,1041.0
21,10.5,304.0,3.424342105263158,20.48355263157895,1041.0
22,11.0,292.0,3.5719178082191783,22.085616438356166,1043.0
23,11.5,287.0,3.6445993031358883,23.045296167247386,1046.0
24,12.0,276.0,3.8079710144927534,25.19927536231884,1051.0
25,12.5,268.0,3.9291044776119404,26.682835820895523,1053.0
26,13.0,263.0,4.019011406844107,28.155893536121674,1057.0
27,13.5,258.0,4.096899224806202,29.127906976744185,1057.0
28,14.0,255.0,4.1568627450980395,29.79607843137255,1060.0
29,14.5,249.0,4.261044176706827,31.6425702811245,1061.0
30,15.0,238.0,4.466386554621849,35.69327731092437,1063.0
31,15.5,232.0,4.586206896551724,37.60344827586207,1064.0
32,16.0,224.0,4.763392857142857,40.21875,1067.0
33,16.5,223.0,4.798206278026906,40.672645739910315,1070.0
34,17.0,219.0,4.890410958904109,42.15981735159817,1071.0
35,17.5,217.0,4.935483870967742,43.72811059907834,1071.0
36,18.0,212.0,5.056603773584905,46.113207547169814,1072.0
37,18.5,211.0,5.080568720379147,47.127962085308056,1072.0
38,19.0,207.0,5.188405797101449,49.52657004830918,1074.0
39,19.5,202.0,5.316831683168317,51.94059405940594,1074.0
40,20.0,199.0,5.407035175879397,53.768844221105525,1076.0
41,20.5,195.0,5.543589743589743,56.343589743589746,1081.0
42,21.0,189.0,5.724867724867725,59.12169312169312,1082.0
43,21.5,186.0,5.827956989247312,60.83870967741935,1084.0
44,22.0,184.0,5.891304347826087,61.891304347826086,1084.0
45,22.5,184.0,5.896739130434782,62.05978260869565,1085.0
46,23.0,180.0,6.038888888888889,69.48333333333333,1087.0
47,23.5,178.0,6.112359550561798,71.04494382022472,1088.0
48,24.0,176.0,6.193181818181818,72.23863636363636,1090.0
49,24.5,172.0,6.343023255813954,76.05232558139535,1091.0
50,25.0,169.0,6.461538461538462,78.55621301775147,1092.0
51,25.5,168.0,6.505952380952381,79.4702380952381,1093.0
52,26.0,166.0,6.590361445783133,81.01204819277109,1094.0
53,26.5,164.0,6.689024390243903,83.10365853658537,1097.0
54,27.0,163.0,6.736196319018405,84.3680981595092,1098.0
55,27.5,162.0,6.783950617283951,85.21604938271605,1099.0
56,28.0,161.0,6.832298136645963,85.87577639751552,1100.0
57,28.5,159.0,6.930817610062893,88.20125786163523,1102.0
58,29.0,158.0,6.987341772151899,89.29113924050633,1104.0
59,29.5,152.0,7.276315789473684,95.96052631578948,1106.0
60,30.0,148.0,7.486486486486487,104.86486486486487,1108.0
61,30.5,148.0,7.52027027027027,106.03378378378379,1113.0
62,31.0,144.0,7.743055555555555,114.84027777777777,1115.0
63,31.5,141.0,7.907801418439717,123.53900709219859,1115.0
64,32.0,138.0,8.08695652173913,127.05797101449275,1116.0
65,32.5,138.0,8.108695652173912,127.8623188405797,1119.0
66,33.0,136.0,8.242647058823529,130.6691176470588,1121.0
67,33.5,136.0,8.272058823529411,131.625,1125.0
68,34.0,135.0,8.348148148148148,133.04444444444445,1127.0
69,34.5,132.0,8.545454545454545,136.92424242424244,1128.0
70,35.0,131.0,8.625954198473282,139.0229007633588,1130.0
71,35.5,131.0,8.648854961832061,139.4732824427481,1133.0
72,36.0,130.0,8.738461538461538,141.0,1136.0
73,36.5,129.0,8.829457364341085,144.13178294573643,1139.0
74,37.0,129.0,8.829457364341085,144.13178294573643,1139.0
75,37.5,129.0,8.86046511627907,145.31007751937983,1143.0
76,38.0,128.0,8.9375,147.03125,1144.0
77,38.5,124.0,9.233870967741936,168.7983870967742,1145.0
78,39.0,122.0,9.40983606557377,180.2295081967213,1148.0
79,39.5,117.0,9.854700854700855,197.97435897435898,1153.0
80,40.0,116.0,9.982758620689655,201.5,1158.0
81,40.5,115.0,10.069565217391304,203.42608695652174,1158.0
82,41.0,114.0,10.166666666666666,205.5,1159.0
83,41.5,114.0,10.166666666666666,205.5,1159.0
84,42.0,114.0,10.175438596491228,206.0,1160.0
85,42.5,113.0,10.274336283185841,208.6283185840708,1161.0
86,43.0,112.0,10.392857142857142,212.82142857142858,1164.0
87,43.5,111.0,10.504504504504505,215.26126126126127,1166.0
88,44.0,110.0,10.627272727272727,218.62727272727273,1169.0
89,44.5,110.0,10.663636363636364,219.0818181818182,1173.0
90,45.0,110.0,10.681818181818182,220.6818181818182,1175.0
91,45.5,109.0,10.79816513761468,223.80733944954127,1177.0
92,46.0,109.0,10.81651376146789,224.55963302752295,1179.0
93,46.5,106.0,11.141509433962264,238.23584905660377,1181.0
94,47.0,105.0,11.276190476190477,242.97142857142856,1184.0
95,47.5,105.0,11.295238095238096,244.01904761904763,1186.0
96,48.0,104.0,11.413461538461538,248.56730769230768,1187.0
97,48.5,102.0,11.666666666666666,256.3921568627451,1190.0
98,49.0,102.0,11.696078431372548,257.22549019607845,1193.0
99,49.5,101.0,11.851485148514852,261.4752475247525,1197.0
100,50.0,97.0,12.371134020618557,285.8556701030928,1200.0
101,50.5,96.0,12.520833333333334,291.2708333333333,1202.0
102,51.0,96.0,12.572916666666666,293.5520833333333,1207.0
103,51.5,96.0,12.625,295.9166666666667,1212.0
104,52.0,95.0,12.76842105263158,300.22105263157897,1213.0
105,52.5,94.0,12.925531914893616,305.79787234042556,1215.0
106,53.0,92.0,13.228260869565217,319.1847826086956,1217.0
107,53.5,92.0,13.282608695652174,321.5652173913044,1222.0
108,54.0,92.0,13.33695652173913,324.6847826086956,1227.0
109,54.5,91.0,13.56043956043956,330.989010989011,1234.0
110,55.0,91.0,13.571428571428571,331.15384615384613,1235.0
111,55.5,90.0,13.733333333333333,338.55555555555554,1236.0
112,56.0,89.0,13.910112359550562,343.75280898876406,1238.0
113,56.5,88.0,14.079545454545455,350.4431818181818,1239.0
114,57.0,87.0,14.28735632183908,358.44827586206895,1243.0
