step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,741.0,1.3535762483130904,2.174089068825911,1003.0
2,1.0,636.0,1.5817610062893082,3.308176100628931,1006.0
3,1.5,580.0,1.736206896551724,4.218965517241379,1007.0
4,2.0,533.0,1.8930581613508444,5.228893058161351,1009.0
5,2.5,498.0,2.0281124497991967,6.104417670682731,1010.0
6,3.0,460.0,2.1956521739130435,7.217391304347826,1010.0
7,3.5,432.0,2.3449074074074074,8.252314814814815,1013.0
8,4.0,408.0,2.4901960784313726,9.544117647058824,1016.0
9,4.5,393.0,2.5877862595419847,10.282442748091603,1017.0
10,5.0,377.0,2.697612732095491,11.137931034482758,1017.0
11,5.5,365.0,2.797260273972603,12.035616438356165,1021.0
12,6.0,352.0,2.903409090909091,13.028409090909092,1022.0
13,6.5,335.0,3.0597014925373136,14.361194029850747,1025.0
14,7.0,325.0,3.16,15.486153846153845,1027.0
15,7.5,315.0,3.2634920634920634,16.406349206349205,1028.0
16,8.0,301.0,3.4186046511627906,18.813953488372093,1029.0
17,8.5,294.0,3.5136054421768708,20.329931972789115,1033.0
18,9.0,282.0,3.6631205673758864,22.02482269503546,1033.0
19,9.5,274.0,3.7773722627737225,24.054744525547445,1035.0
20,10.0,271.0,3.819188191881919,24.380073800738007,1035.0
21,10.5,267.0,3.8876404494382024,25.355805243445694,1038.0
22,11.0,256.0,4.05859375,27.83984375,1039.0
23,11.5,249.0,4.180722891566265,29.85140562248996,1041.0
24,12.0,245.0,4.261224489795918,31.085714285714285,1044.0
25,12.5,237.0,4.409282700421941,33.69198312236287,1045.0
26,13.0,232.0,4.525862068965517,35.33620689655172,1050.0
27,13.5,223.0,4.708520179372197,38.20627802690583,1050.0
28,14.0,220.0,4.777272727272727,40.04090909090909,1051.0
29,14.5,214.0,4.91588785046729,42.55140186915888,1052.0
30,15.0,210.0,5.023809523809524,46.214285714285715,1055.0
31,15.5,206.0,5.131067961165049,50.286407766990294,1057.0
32,16.0,202.0,5.247524752475248,51.95049504950495,1060.0
33,16.5,199.0,5.326633165829146,54.552763819095475,1060.0
34,17.0,194.0,5.474226804123711,58.52577319587629,1062.0
35,17.5,188.0,5.654255319148936,62.79255319148936,1063.0
36,18.0,187.0,5.695187165775401,63.27807486631016,1065.0
37,18.5,187.0,5.705882352941177,63.64171122994652,1067.0
38,19.0,184.0,5.798913043478261,65.17934782608695,1067.0
39,19.5,178.0,6.0,69.88764044943821,1068.0
40,20.0,176.0,6.090909090909091,71.19318181818181,1072.0
41,20.5,174.0,6.160919540229885,72.06896551724138,1072.0
42,21.0,173.0,6.213872832369942,73.10404624277457,1075.0
43,21.5,170.0,6.329411764705882,75.61176470588235,1076.0
44,22.0,170.0,6.3352941176470585,75.77058823529411,1077.0
45,22.5,166.0,6.493975903614458,80.34939759036145,1078.0
46,23.0,160.0,6.7375,86.9125,1078.0
47,23.5,157.0,6.8789808917197455,91.0828025477707,1080.0
48,24.0,157.0,6.885350318471337,91.1656050955414,1081.0
49,24.5,154.0,7.038961038961039,93.68831168831169,1084.0
50,25.0,152.0,7.144736842105263,96.48684210526316,1086.0
51,25.5,150.0,7.246666666666667,99.28666666666666,1087.0
52,26.0,147.0,7.408163265306122,102.87755102040816,1089.0
53,26.5,146.0,7.493150684931507,104.94520547945206,1094.0
54,27.0,143.0,7.65034965034965,108.86713286713287,1094.0
55,27.5,141.0,7.76595744680851,110.98581560283688,1095.0
56,28.0,138.0,7.963768115942029,114.93478260869566,1099.0
57,28.5,138.0,7.971014492753623,115.33333333333333,1100.0
58,29.0,137.0,8.043795620437956,116.91970802919708,1102.0
59,29.5,137.0,8.065693430656934,117.61313868613139,1105.0
60,30.0,137.0,8.094890510948906,118.38686131386861,1109.0
61,30.5,136.0,8.169117647058824,119.96323529411765,1111.0
62,31.0,134.0,8.32089552238806,123.8731343283582,1115.0
63,31.5,132.0,8.469696969696969,129.13636363636363,1118.0
64,32.0,130.0,8.607692307692307,135.40769230769232,1119.0
65,32.5,130.0,8.638461538461538,136.26923076923077,1123.0
66,33.0,130.0,8.653846153846153,136.66923076923078,1125.0
67,33.5,128.0,8.7890625,144.9609375,1125.0
68,34.0,126.0,8.928571428571429,156.5,1125.0
69,34.5,126.0,8.928571428571429,156.5,1125.0
70,35.0,125.0,9.008,162.608,1126.0
71,35.5,125.0,9.008,162.608,1126.0
72,36.0,123.0,9.154471544715447,166.01626016260164,1126.0
73,36.5,120.0,9.391666666666667,173.775,1127.0
74,37.0,119.0,9.478991596638656,175.84873949579833,1128.0
75,37.5,116.0,9.724137931034482,183.48275862068965,1128.0
76,38.0,115.0,9.843478260869565,199.16521739130434,1132.0
77,38.5,114.0,9.929824561403509,204.8421052631579,1132.0
78,39.0,113.0,10.026548672566372,218.8053097345133,1133.0
79,39.5,112.0,10.142857142857142,222.14285714285714,1136.0
80,40.0,112.0,10.1875,223.65178571428572,1141.0
81,40.5,111.0,10.297297297297296,226.63963963963963,1143.0
82,41.0,110.0,10.409090909090908,229.9909090909091,1145.0
83,41.5,109.0,10.522935779816514,233.75229357798165,1147.0
84,42.0,106.0,10.830188679245284,243.18867924528303,1148.0
85,42.5,106.0,10.858490566037736,244.93396226415095,1151.0
86,43.0,106.0,10.877358490566039,245.4811320754717,1153.0
87,43.5,105.0,10.980952380952381,248.35238095238094,1153.0
88,44.0,102.0,11.343137254901961,261.48039215686276,1157.0
89,44.5,102.0,11.362745098039216,262.34313725490193,1159.0
90,45.0,102.0,11.382352941176471,262.97058823529414,1161.0
91,45.5,100.0,11.65,271.65,1165.0
92,46.0,100.0,11.67,273.05,1167.0
93,46.5,100.0,11.7,274.06,1170.0
94,47.0,100.0,11.72,274.6,1172.0
95,47.5,100.0,11.75,276.45,1175.0
96,48.0,100.0,11.79,278.53,1179.0
97,48.5,99.0,11.93939393939394,282.4646464646465,1182.0
98,49.0,99.0,11.94949494949495,283.020202020202,1183.0
99,49.5,98.0,12.081632653061224,286.6530612244898,1184.0
100,50.0,97.0,12.22680412371134,290.55670103092785,1186.0
101,50.5,97.0,12.268041237113403,291.6082474226804,1190.0
102,51.0,95.0,12.578947368421053,301.0421052631579,1195.0
103,51.5,95.0,12.589473684210526,302.0421052631579,1196.0
104,52.0,93.0,12.89247311827957,312.44086021505376,1199.0
105,52.5,91.0,13.208791208791208,323.38461538461536,1202.0
106,53.0,91.0,13.241758241758241,324.7142857142857,1205.0
107,53.5,90.0,13.411111111111111,333.14444444444445,1207.0
108,54.0,88.0,13.761363636363637,346.57954545454544,1211.0
109,54.5,87.0,13.942528735632184,351.6896551724138,1213.0
110,55.0,87.0,13.954022988505747,352.82758620689657,1214.0
111,55.5,86.0,14.127906976744185,372.24418604651163,1215.0
112,56.0,84.0,14.5,389.85714285714283,1218.0
113,56.5,82.0,14.890243902439025,410.8170731707317,1221.0
114,57.0,80.0,15.325,440.175,1226.0
115,57.5,79.0,15.544303797468354,465.69620253164555,1228.0
116,58.0,79.0,15.544303797468354,465.69620253164555,1228.0
117,58.5,79.0,15.569620253164556,467.1645569620253,1230.0
118,59.0,77.0,16.01298701298701,490.06493506493507,1233.0
119,59.5,76.0,16.263157894736842,556.578947368421,1236.0
120,60.0,75.0,16.533333333333335,574.5866666666667,1240.0
121,60.5,75.0,16.546666666666667,575.96,1241.0
122,61.0,75.0,16.586666666666666,578.9333333333333,1244.0
123,61.5,75.0,16.666666666666668,586.5066666666667,1250.0
124,62.0,74.0,16.905405405405407,602.6081081081081,1251.0
125,62.5,73.0,17.136986301369863,627.3561643835617,1251.0
126,63.0,72.0,17.416666666666668,639.25,1254.0
127,63.5,72.0,17.444444444444443,640.3333333333334,1256.0
128,64.0,72.0,17.48611111111111,643.0138888888889,1259.0
129,64.5,71.0,17.802816901408452,658.7605633802817,1264.0
130,65.0,70.0,18.085714285714285,688.4285714285714,1266.0
131,65.5,70.0,18.114285714285714,689.3714285714286,1268.0
132,66.0,70.0,18.15714285714286,695.3285714285714,1271.0
133,66.5,70.0,18.214285714285715,701.3,1275.0
134,67.0,70.0,18.242857142857144,703.2428571428571,1277.0
135,67.5,70.0,18.314285714285713,709.6857142857143,1282.0
136,68.0,69.0,18.652173913043477,729.7246376811594,1287.0
137,68.5,68.0,18.985294117647058,760.6617647058823,1291.0
138,69.0,68.0,19.0,762.5294117647059,1292.0
139,69.5,67.0,19.313432835820894,777.6716417910447,1294.0
140,70.0,67.0,19.35820895522388,781.2089552238806,1297.0
141,70.5,67.0,19.37313432835821,783.0149253731344,1298.0
142,71.0,66.0,19.742424242424242,836.1666666666666,1303.0
143,71.5,65.0,20.06153846153846,851.1692307692308,1304.0
144,72.0,65.0,20.092307692307692,853.2923076923076,1306.0
