step,hours,S0,S1,S2,Ncells
0,0.0,1500.0,1.0,1.0,1500.0
1,0.5,1146.0,1.317626527050611,2.055846422338569,1510.0
2,1.0,1026.0,1.4785575048732944,2.854775828460039,1517.0
3,1.5,983.0,1.5513733468972533,3.2624618514750763,1525.0
4,2.0,961.0,1.5920915712799169,3.4838709677419355,1530.0
5,2.5,951.0,1.6193480546792849,3.6277602523659307,1540.0
6,3.0,942.0,1.638004246284501,3.7356687898089174,1543.0
7,3.5,929.0,1.6695371367061356,3.908503767491927,1551.0
8,4.0,923.0,1.686890574214518,4.003250270855904,1557.0
9,4.5,916.0,1.703056768558952,4.170305676855895,1560.0
10,5.0,905.0,1.7359116022099448,4.4077348066298345,1571.0
11,5.5,901.0,1.7480577136514983,4.473917869034406,1575.0
12,6.0,899.0,1.7630700778642936,4.6195773081201335,1585.0
13,6.5,895.0,1.7798882681564245,4.760893854748604,1593.0
14,7.0,889.0,1.8008998875140607,4.934758155230596,1601.0
15,7.5,883.0,1.8176670441676104,5.024915062287656,1605.0
16,8.0,878.0,1.8394077448747153,5.169703872437358,1615.0
17,8.5,874.0,1.8535469107551488,5.25629290617849,1620.0
18,9.0,867.0,1.8823529411764706,5.469434832756632,1632.0
19,9.5,864.0,1.8935185185185186,5.5717592592592595,1636.0
20,10.0,859.0,1.9138533178114085,5.706635622817229,1644.0
21,10.5,853.0,1.936694021101993,5.864009378663541,1652.0
22,11.0,851.0,1.9518213866039953,5.963572267920094,1661.0
23,11.5,846.0,1.975177304964539,6.10047281323877,1671.0
24,12.0,839.0,1.99761620977354,6.247914183551847,1676.0
25,12.5,836.0,2.020334928229665,6.491626794258373,1689.0
26,13.0,830.0,2.049397590361446,6.736144578313253,1701.0
27,13.5,828.0,2.066425120772947,6.870772946859903,1711.0
28,14.0,826.0,2.079903147699758,6.963680387409201,1718.0
29,14.5,822.0,2.1034063260340634,7.127737226277373,1729.0
30,15.0,816.0,2.1286764705882355,7.270833333333333,1737.0
31,15.5,814.0,2.14987714987715,7.518427518427519,1750.0
32,16.0,813.0,2.1660516605166054,7.6322263222632225,1761.0
33,16.5,810.0,2.18641975308642,7.8012345679012345,1771.0
34,17.0,807.0,2.2069392812887236,7.96902106567534,1781.0
35,17.5,807.0,2.22180916976456,8.100371747211897,1793.0
36,18.0,805.0,2.2322981366459627,8.182608695652174,1797.0
37,18.5,802.0,2.2443890274314215,8.264339152119701,1800.0
38,19.0,797.0,2.2685069008782937,8.409033877038896,1808.0
39,19.5,789.0,2.307984790874525,8.726235741444867,1821.0
40,20.0,785.0,2.332484076433121,8.890445859872612,1831.0
41,20.5,780.0,2.3653846153846154,9.173076923076923,1845.0
42,21.0,774.0,2.391472868217054,9.383720930232558,1851.0
43,21.5,773.0,2.404915912031048,9.514877102199224,1859.0
44,22.0,771.0,2.4228274967574577,9.795071335927368,1868.0
45,22.5,769.0,2.4421326397919376,9.940182054616384,1878.0
46,23.0,766.0,2.4634464751958225,10.157963446475195,1887.0
47,23.5,765.0,2.481045751633987,10.51764705882353,1898.0
48,24.0,762.0,2.510498687664042,10.720472440944881,1913.0
49,24.5,757.0,2.542932628797886,10.960369881109644,1925.0
50,25.0,752.0,2.56781914893617,11.17154255319149,1931.0
51,25.5,750.0,2.588,11.332,1941.0
52,26.0,749.0,2.600801068090788,11.45260347129506,1948.0
53,26.5,748.0,2.6149732620320854,11.609625668449198,1956.0
54,27.0,745.0,2.6402684563758387,11.826845637583892,1967.0
55,27.5,742.0,2.664420485175202,12.098382749326145,1977.0
56,28.0,739.0,2.691474966170501,12.437077131258457,1989.0
57,28.5,736.0,2.717391304347826,12.807065217391305,2000.0
58,29.0,728.0,2.760989010989011,13.335164835164836,2010.0
59,29.5,723.0,2.7952973720608574,13.733056708160442,2021.0
60,30.0,717.0,2.834030683403068,14.225941422594142,2032.0
61,30.5,714.0,2.865546218487395,14.585434173669467,2046.0
62,31.0,711.0,2.890295358649789,14.9915611814346,2055.0
63,31.5,706.0,2.9263456090651556,15.356940509915015,2066.0
64,32.0,704.0,2.950284090909091,15.617897727272727,2077.0
65,32.5,701.0,2.9800285306704706,15.964336661911554,2089.0
66,33.0,699.0,3.0028612303290414,16.350500715307582,2099.0
67,33.5,697.0,3.0272596843615496,16.694404591104735,2110.0
68,34.0,696.0,3.0402298850574714,16.801724137931036,2116.0
69,34.5,695.0,3.0705035971223023,17.228776978417265,2134.0
70,35.0,690.0,3.1,17.618840579710145,2139.0
71,35.5,688.0,3.122093023255814,17.877906976744185,2148.0
72,36.0,685.0,3.1474452554744525,18.216058394160584,2156.0
73,36.5,683.0,3.177159590043924,18.571010248901903,2170.0
74,37.0,680.0,3.2058823529411766,18.988235294117647,2180.0
75,37.5,678.0,3.2271386430678466,19.392330383480825,2188.0
76,38.0,674.0,3.2566765578635013,19.683976261127597,2195.0
77,38.5,672.0,3.275297619047619,19.84970238095238,2201.0
78,39.0,670.0,3.3044776119402983,20.15820895522388,2214.0
79,39.5,669.0,3.3303437967115097,20.46935724962631,2228.0
80,40.0,666.0,3.3528528528528527,20.737237237237238,2233.0
81,40.5,663.0,3.3906485671191553,21.266968325791854,2248.0
82,41.0,660.0,3.4136363636363636,21.522727272727273,2253.0
83,41.5,658.0,3.430091185410334,21.727963525835865,2257.0
84,42.0,655.0,3.4625954198473283,22.0824427480916,2268.0
85,42.5,653.0,3.4915773353751915,22.545176110260336,2280.0
86,43.0,652.0,3.5153374233128836,22.85276073619632,2292.0
87,43.5,650.0,3.5446153846153847,23.26153846153846,2304.0
