step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,825.0,1.2230303030303031,1.7078787878787878,1009.0
2,1.0,763.0,1.3302752293577982,2.163826998689384,1015.0
3,1.5,740.0,1.3797297297297297,2.385135135135135,1021.0
4,2.0,727.0,1.4112792297111416,2.5392022008253097,1026.0
5,2.5,722.0,1.4265927977839334,2.6149584487534625,1030.0
6,3.0,715.0,1.4433566433566434,2.6825174825174827,1032.0
7,3.5,707.0,1.471004243281471,2.842998585572843,1040.0
8,4.0,703.0,1.4864864864864864,2.9174964438122335,1045.0
9,4.5,700.0,1.497142857142857,2.962857142857143,1048.0
10,5.0,697.0,1.5107604017216643,3.0516499282639886,1053.0
11,5.5,693.0,1.5281385281385282,3.1529581529581527,1059.0
12,6.0,690.0,1.5391304347826087,3.214492753623188,1062.0
13,6.5,690.0,1.5478260869565217,3.2492753623188406,1068.0
14,7.0,688.0,1.565406976744186,3.332848837209302,1077.0
15,7.5,685.0,1.581021897810219,3.4583941605839414,1083.0
16,8.0,684.0,1.5891812865497077,3.510233918128655,1087.0
17,8.5,681.0,1.6005873715124816,3.5712187958883996,1090.0
18,9.0,677.0,1.621861152141802,3.725258493353028,1098.0
19,9.5,672.0,1.6458333333333333,3.830357142857143,1106.0
20,10.0,669.0,1.6621823617339313,3.9162929745889388,1112.0
21,10.5,665.0,1.6842105263157894,4.075187969924812,1120.0
22,11.0,662.0,1.70392749244713,4.187311178247734,1128.0
23,11.5,659.0,1.7268588770864948,4.400606980273142,1138.0
24,12.0,659.0,1.732928679817906,4.427921092564492,1142.0
25,12.5,657.0,1.7488584474885844,4.497716894977169,1149.0
26,13.0,654.0,1.7629969418960245,4.573394495412844,1153.0
27,13.5,652.0,1.7745398773006136,4.679447852760736,1157.0
28,14.0,649.0,1.7873651771956858,4.74884437596302,1160.0
29,14.5,649.0,1.7919876733436055,4.775038520801233,1163.0
30,15.0,646.0,1.8111455108359134,4.885448916408668,1170.0
31,15.5,645.0,1.8263565891472868,4.961240310077519,1178.0
32,16.0,643.0,1.8460342146189737,5.133748055987558,1187.0
33,16.5,640.0,1.8640625,5.2578125,1193.0
34,17.0,637.0,1.8838304552590266,5.400313971742543,1200.0
35,17.5,633.0,1.9020537124802528,5.5260663507109005,1204.0
36,18.0,633.0,1.9131121642969984,5.612954186413902,1211.0
37,18.5,633.0,1.9273301737756714,5.718799368088468,1220.0
38,19.0,630.0,1.946031746031746,5.844444444444444,1226.0
39,19.5,628.0,1.9601910828025477,5.92515923566879,1231.0
40,20.0,626.0,1.9856230031948883,6.084664536741214,1243.0
41,20.5,625.0,2.0016,6.1936,1251.0
42,21.0,623.0,2.0176565008025684,6.306581059390048,1257.0
43,21.5,619.0,2.0420032310177705,6.491114701130856,1264.0
44,22.0,615.0,2.0569105691056913,6.613008130081301,1265.0
45,22.5,615.0,2.065040650406504,6.669918699186992,1270.0
46,23.0,611.0,2.090016366612111,6.865793780687397,1277.0
47,23.5,608.0,2.1101973684210527,6.9917763157894735,1283.0
48,24.0,608.0,2.1151315789473686,7.0230263157894735,1286.0
49,24.5,607.0,2.125205930807249,7.077429983525535,1290.0
50,25.0,605.0,2.147107438016529,7.284297520661157,1299.0
51,25.5,604.0,2.162251655629139,7.450331125827814,1306.0
52,26.0,601.0,2.1830282861896837,7.707154742096506,1312.0
53,26.5,600.0,2.1966666666666668,7.86,1318.0
54,27.0,600.0,2.216666666666667,8.01,1330.0
55,27.5,597.0,2.2428810720268006,8.242881072026801,1339.0
56,28.0,597.0,2.2562814070351758,8.35678391959799,1347.0
57,28.5,592.0,2.285472972972973,8.548986486486486,1353.0
58,29.0,592.0,2.295608108108108,8.633445945945946,1359.0
59,29.5,591.0,2.3096446700507616,8.759729272419628,1365.0
60,30.0,590.0,2.3322033898305086,8.983050847457626,1376.0
61,30.5,589.0,2.3480475382003396,9.115449915110357,1383.0
62,31.0,587.0,2.361158432708688,9.31175468483816,1386.0
63,31.5,585.0,2.3777777777777778,9.482051282051282,1391.0
64,32.0,582.0,2.3986254295532645,9.68041237113402,1396.0
65,32.5,582.0,2.40893470790378,9.776632302405499,1402.0
66,33.0,577.0,2.440207972270364,9.986135181975737,1408.0
67,33.5,577.0,2.4540727902946275,10.114384748700173,1416.0
68,34.0,575.0,2.4730434782608697,10.274782608695652,1422.0
69,34.5,575.0,2.4834782608695654,10.396521739130435,1428.0
70,35.0,573.0,2.506108202443281,10.55846422338569,1436.0
71,35.5,572.0,2.520979020979021,10.671328671328672,1442.0
72,36.0,572.0,2.534965034965035,10.804195804195805,1450.0
73,36.5,571.0,2.551663747810858,10.957968476357268,1457.0
74,37.0,569.0,2.5694200351493848,11.107205623901582,1462.0
75,37.5,565.0,2.6035398230088496,11.389380530973451,1471.0
76,38.0,564.0,2.625886524822695,11.636524822695035,1481.0
77,38.5,562.0,2.6459074733096086,11.923487544483987,1487.0
78,39.0,562.0,2.6565836298932384,12.037366548042705,1493.0
79,39.5,562.0,2.676156583629893,12.227758007117437,1504.0
80,40.0,561.0,2.695187165775401,12.363636363636363,1512.0
81,40.5,560.0,2.7089285714285714,12.473214285714286,1517.0
82,41.0,560.0,2.719642857142857,12.591071428571428,1523.0
83,41.5,558.0,2.7437275985663083,12.869175627240143,1531.0
84,42.0,556.0,2.7679856115107913,13.174460431654676,1539.0
85,42.5,554.0,2.7851985559566788,13.384476534296029,1543.0
86,43.0,552.0,2.8097826086956523,13.53804347826087,1551.0
87,43.5,550.0,2.830909090909091,13.841818181818182,1557.0
88,44.0,550.0,2.84,13.923636363636364,1562.0
89,44.5,550.0,2.8527272727272726,14.147272727272727,1569.0
90,45.0,549.0,2.867030965391621,14.34608378870674,1574.0
91,45.5,547.0,2.893967093235832,14.758683729433272,1583.0
92,46.0,543.0,2.9281767955801103,15.05340699815838,1590.0
93,46.5,543.0,2.9373848987108655,15.136279926335176,1595.0
94,47.0,542.0,2.955719557195572,15.33210332103321,1602.0
95,47.5,539.0,2.9925788497217067,15.879406307977737,1613.0
96,48.0,536.0,3.0261194029850746,16.33955223880597,1622.0
97,48.5,535.0,3.0429906542056075,16.478504672897195,1628.0
98,49.0,533.0,3.0600375234521575,16.849906191369605,1631.0
99,49.5,533.0,3.073170731707317,17.00562851782364,1638.0
100,50.0,532.0,3.101503759398496,17.330827067669173,1650.0
101,50.5,527.0,3.155597722960152,17.98292220113852,1663.0
102,51.0,526.0,3.1844106463878328,18.370722433460077,1675.0
103,51.5,525.0,3.2095238095238097,18.69142857142857,1685.0
104,52.0,523.0,3.24282982791587,19.036328871892927,1696.0
105,52.5,522.0,3.2720306513409962,19.452107279693486,1708.0
106,53.0,522.0,3.2950191570881224,19.689655172413794,1720.0
107,53.5,519.0,3.3391136801541426,20.159922928709054,1733.0
108,54.0,519.0,3.348747591522158,20.277456647398843,1738.0
109,54.5,518.0,3.3803088803088803,20.666023166023166,1751.0
110,55.0,517.0,3.4100580270793035,21.058027079303674,1763.0
111,55.5,516.0,3.436046511627907,21.397286821705425,1773.0
112,56.0,516.0,3.4651162790697674,21.74031007751938,1788.0
113,56.5,515.0,3.4854368932038833,22.4873786407767,1795.0
114,57.0,514.0,3.5214007782101167,22.961089494163424,1810.0
115,57.5,513.0,3.5497076023391814,23.31189083820663,1821.0
116,58.0,511.0,3.583170254403131,23.68101761252446,1831.0
117,58.5,511.0,3.5968688845401173,23.835616438356166,1838.0
118,59.0,510.0,3.6254901960784314,24.17450980392157,1849.0
119,59.5,509.0,3.638506876227898,24.278978388998034,1852.0
120,60.0,508.0,3.6673228346456694,24.631889763779526,1863.0
121,60.5,508.0,3.6811023622047245,25.3503937007874,1870.0
122,61.0,507.0,3.712031558185404,25.78698224852071,1882.0
123,61.5,505.0,3.740594059405941,26.08118811881188,1889.0
124,62.0,505.0,3.756435643564356,26.283168316831684,1897.0
125,62.5,503.0,3.801192842942346,26.91451292246521,1912.0
126,63.0,502.0,3.818725099601594,27.08565737051793,1917.0
127,63.5,501.0,3.844311377245509,27.281437125748504,1926.0
128,64.0,499.0,3.881763527054108,27.685370741482966,1937.0
129,64.5,497.0,3.913480885311871,28.038229376257544,1945.0
130,65.0,495.0,3.9414141414141413,28.575757575757574,1951.0
131,65.5,493.0,3.971602434077079,29.164300202839758,1958.0
132,66.0,493.0,3.9878296146044625,29.31440162271805,1966.0
133,66.5,492.0,4.004065040650406,29.585365853658537,1970.0
134,67.0,493.0,4.0182555780933065,29.81947261663286,1981.0
135,67.5,491.0,4.042769857433808,30.132382892057027,1985.0
136,68.0,490.0,4.06734693877551,30.459183673469386,1993.0
137,68.5,490.0,4.081632653061225,30.718367346938777,2000.0
138,69.0,486.0,4.131687242798354,31.45679012345679,2008.0
139,69.5,485.0,4.167010309278351,32.068041237113405,2021.0
140,70.0,484.0,4.194214876033058,32.46694214876033,2030.0
141,70.5,483.0,4.217391304347826,32.80124223602485,2037.0
142,71.0,482.0,4.234439834024896,33.1058091286307,2041.0
143,71.5,480.0,4.270833333333333,33.59583333333333,2050.0
144,72.0,480.0,4.291666666666667,33.979166666666664,2060.0
