step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,820.0,1.223170731707317,1.701219512195122,1003.0
2,1.0,767.0,1.316818774445893,2.0860495436766624,1010.0
3,1.5,751.0,1.3448735019973368,2.207723035952064,1010.0
4,2.0,739.0,1.3761840324763193,2.334235453315291,1017.0
5,2.5,732.0,1.3961748633879782,2.4262295081967213,1022.0
6,3.0,726.0,1.4132231404958677,2.515151515151515,1026.0
7,3.5,721.0,1.4327323162274619,2.6116504854368934,1033.0
8,4.0,712.0,1.4564606741573034,2.726123595505618,1037.0
9,4.5,708.0,1.4675141242937852,2.806497175141243,1039.0
10,5.0,706.0,1.4773371104815864,2.8456090651558075,1043.0
11,5.5,704.0,1.484375,2.8849431818181817,1045.0
12,6.0,703.0,1.499288762446657,2.9615931721194877,1054.0
13,6.5,702.0,1.5099715099715099,3.011396011396011,1060.0
14,7.0,701.0,1.522111269614836,3.07132667617689,1067.0
15,7.5,693.0,1.5512265512265513,3.2164502164502164,1075.0
16,8.0,692.0,1.560693641618497,3.2514450867052025,1080.0
17,8.5,688.0,1.5755813953488371,3.3313953488372094,1084.0
18,9.0,685.0,1.5883211678832116,3.386861313868613,1088.0
19,9.5,681.0,1.604992657856094,3.4522760646108663,1093.0
20,10.0,681.0,1.6152716593245227,3.512481644640235,1100.0
21,10.5,679.0,1.6318114874815906,3.5876288659793816,1108.0
22,11.0,678.0,1.6415929203539823,3.6533923303834808,1113.0
23,11.5,675.0,1.6562962962962964,3.7333333333333334,1118.0
24,12.0,673.0,1.6790490341753344,3.8692421991084696,1130.0
25,12.5,670.0,1.6880597014925374,3.9119402985074627,1131.0
26,13.0,667.0,1.7061469265367317,4.014992503748126,1138.0
27,13.5,665.0,1.718796992481203,4.112781954887218,1143.0
28,14.0,664.0,1.7394578313253013,4.215361445783133,1155.0
29,14.5,662.0,1.7522658610271904,4.305135951661631,1160.0
30,15.0,660.0,1.7651515151515151,4.407575757575757,1165.0
31,15.5,657.0,1.7808219178082192,4.480974124809741,1170.0
32,16.0,653.0,1.7978560490045943,4.584992343032159,1174.0
33,16.5,649.0,1.8135593220338984,4.661016949152542,1177.0
34,17.0,646.0,1.8219814241486068,4.719814241486068,1177.0
35,17.5,643.0,1.8413685847589425,4.870917573872473,1184.0
36,18.0,639.0,1.8575899843505477,4.962441314553991,1187.0
37,18.5,638.0,1.8730407523510972,5.04858934169279,1195.0
38,19.0,635.0,1.8881889763779527,5.110236220472441,1199.0
39,19.5,632.0,1.9066455696202531,5.27373417721519,1205.0
40,20.0,629.0,1.931637519872814,5.492845786963434,1215.0
41,20.5,628.0,1.9394904458598725,5.531847133757962,1218.0
42,21.0,626.0,1.9584664536741214,5.693290734824281,1226.0
43,21.5,624.0,1.9855769230769231,5.899038461538462,1239.0
44,22.0,623.0,1.9967897271268058,5.96147672552167,1244.0
45,22.5,622.0,2.0112540192926045,6.098070739549839,1251.0
46,23.0,621.0,2.0225442834138487,6.193236714975845,1256.0
47,23.5,620.0,2.0338709677419353,6.29516129032258,1261.0
48,24.0,619.0,2.050080775444265,6.431340872374798,1269.0
49,24.5,617.0,2.06645056726094,6.536466774716369,1275.0
50,25.0,615.0,2.0747967479674796,6.588617886178862,1276.0
51,25.5,611.0,2.0965630114566283,6.757774140752864,1281.0
52,26.0,607.0,2.1186161449752885,6.912685337726524,1286.0
53,26.5,605.0,2.1355371900826445,7.001652892561983,1292.0
54,27.0,604.0,2.1440397350993377,7.074503311258278,1295.0
55,27.5,603.0,2.15257048092869,7.131011608623549,1298.0
56,28.0,600.0,2.1666666666666665,7.246666666666667,1300.0
57,28.5,598.0,2.182274247491639,7.44314381270903,1305.0
58,29.0,595.0,2.2,7.584873949579832,1309.0
59,29.5,590.0,2.2254237288135594,7.784745762711864,1313.0
60,30.0,589.0,2.237691001697793,7.867572156196944,1318.0
61,30.5,589.0,2.2512733446519526,7.98641765704584,1326.0
62,31.0,589.0,2.264855687606112,8.084889643463498,1334.0
63,31.5,586.0,2.28839590443686,8.302047781569966,1341.0
64,32.0,586.0,2.2986348122866893,8.377133105802049,1347.0
65,32.5,585.0,2.3162393162393164,8.5008547008547,1355.0
66,33.0,585.0,2.32991452991453,8.613675213675213,1363.0
67,33.5,583.0,2.3447684391080617,8.722126929674099,1367.0
68,34.0,581.0,2.359724612736661,8.841652323580034,1371.0
69,34.5,580.0,2.3810344827586207,9.01206896551724,1381.0
70,35.0,579.0,2.393782383419689,9.094991364421416,1386.0
71,35.5,579.0,2.4058721934369602,9.20034542314335,1393.0
72,36.0,579.0,2.4231433506044904,9.35924006908463,1403.0
73,36.5,578.0,2.4377162629757785,9.479238754325259,1409.0
74,37.0,578.0,2.449826989619377,9.56401384083045,1416.0
75,37.5,576.0,2.4722222222222223,9.67361111111111,1424.0
76,38.0,574.0,2.491289198606272,9.857142857142858,1430.0
77,38.5,573.0,2.507853403141361,10.012216404886562,1437.0
78,39.0,573.0,2.520069808027923,10.153577661431065,1444.0
79,39.5,570.0,2.542105263157895,10.33157894736842,1449.0
80,40.0,569.0,2.5518453427065024,10.432337434094903,1452.0
81,40.5,567.0,2.580246913580247,10.682539682539682,1463.0
82,41.0,566.0,2.5936395759717317,10.759717314487633,1468.0
83,41.5,564.0,2.624113475177305,11.156028368794326,1480.0
84,42.0,564.0,2.6365248226950353,11.2677304964539,1487.0
85,42.5,563.0,2.6465364120781527,11.381882770870337,1490.0
86,43.0,563.0,2.6625222024866786,11.518650088809947,1499.0
87,43.5,564.0,2.6790780141843973,11.700354609929079,1511.0
88,44.0,564.0,2.698581560283688,11.907801418439716,1522.0
89,44.5,564.0,2.7056737588652484,11.98936170212766,1526.0
90,45.0,560.0,2.744642857142857,12.344642857142857,1537.0
91,45.5,558.0,2.7670250896057347,12.67741935483871,1544.0
92,46.0,558.0,2.7795698924731185,12.804659498207885,1551.0
93,46.5,557.0,2.798922800718133,13.014362657091562,1559.0
