step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,792.0,1.2676767676767677,1.856060606060606,1004.0
2,1.0,723.0,1.3941908713692945,2.4564315352697097,1008.0
3,1.5,676.0,1.4970414201183433,2.9763313609467454,1012.0
4,2.0,637.0,1.5902668759811618,3.4489795918367347,1013.0
5,2.5,619.0,1.6462035541195477,3.7851373182552503,1019.0
6,3.0,600.0,1.71,4.11,1026.0
7,3.5,583.0,1.7667238421955402,4.459691252144082,1030.0
8,4.0,574.0,1.8048780487804879,4.686411149825784,1036.0
9,4.5,558.0,1.8691756272401434,5.102150537634409,1043.0
10,5.0,547.0,1.9159049360146252,5.360146252285192,1048.0
11,5.5,539.0,1.955473098330241,5.573283858998145,1054.0
12,6.0,527.0,2.0056925996204935,5.8652751423149905,1057.0
13,6.5,516.0,2.048449612403101,6.25,1057.0
14,7.0,510.0,2.0784313725490198,6.447058823529412,1060.0
15,7.5,501.0,2.1277445109780437,6.774451097804391,1066.0
16,8.0,490.0,2.195918367346939,7.187755102040816,1076.0
17,8.5,481.0,2.2515592515592515,7.632016632016632,1083.0
18,9.0,475.0,2.3010526315789472,8.221052631578948,1093.0
19,9.5,462.0,2.378787878787879,8.75974025974026,1099.0
20,10.0,452.0,2.4491150442477876,9.289823008849558,1107.0
21,10.5,446.0,2.486547085201794,9.809417040358744,1109.0
22,11.0,445.0,2.501123595505618,9.916853932584269,1113.0
23,11.5,435.0,2.567816091954023,10.420689655172414,1117.0
24,12.0,423.0,2.645390070921986,11.1371158392435,1119.0
25,12.5,416.0,2.706730769230769,11.735576923076923,1126.0
26,13.0,410.0,2.7512195121951217,12.034146341463414,1128.0
27,13.5,403.0,2.8138957816377173,12.704714640198512,1134.0
28,14.0,395.0,2.883544303797468,13.258227848101265,1139.0
29,14.5,392.0,2.9158163265306123,13.665816326530612,1143.0
30,15.0,385.0,2.9922077922077923,14.38961038961039,1152.0
31,15.5,382.0,3.0287958115183247,14.74083769633508,1157.0
32,16.0,378.0,3.0793650793650795,15.227513227513228,1164.0
33,16.5,372.0,3.150537634408602,15.779569892473118,1172.0
34,17.0,366.0,3.2158469945355193,16.35792349726776,1177.0
35,17.5,360.0,3.283333333333333,16.91111111111111,1182.0
36,18.0,355.0,3.340845070422535,17.616901408450705,1186.0
37,18.5,350.0,3.4057142857142857,18.274285714285714,1192.0
38,19.0,342.0,3.5116959064327484,19.558479532163744,1201.0
39,19.5,339.0,3.56047197640118,19.991150442477878,1207.0
40,20.0,333.0,3.645645645645646,21.057057057057058,1214.0
41,20.5,327.0,3.7217125382262997,22.027522935779817,1217.0
42,21.0,325.0,3.756923076923077,22.415384615384614,1221.0
43,21.5,322.0,3.8167701863354035,23.145962732919255,1229.0
44,22.0,319.0,3.871473354231975,23.858934169278996,1235.0
45,22.5,313.0,3.961661341853035,24.900958466453673,1240.0
46,23.0,313.0,3.9648562300319488,24.99361022364217,1241.0
47,23.5,311.0,4.016077170418006,25.572347266881028,1249.0
48,24.0,309.0,4.051779935275081,26.110032362459545,1252.0
49,24.5,306.0,4.098039215686274,26.686274509803923,1254.0
50,25.0,304.0,4.141447368421052,27.24671052631579,1259.0
51,25.5,302.0,4.195364238410596,28.149006622516556,1267.0
52,26.0,302.0,4.21523178807947,28.45364238410596,1273.0
53,26.5,298.0,4.285234899328859,29.318791946308725,1277.0
54,27.0,295.0,4.345762711864407,30.284745762711864,1282.0
55,27.5,291.0,4.412371134020619,31.388316151202748,1284.0
56,28.0,287.0,4.487804878048781,33.26132404181185,1288.0
57,28.5,287.0,4.501742160278746,33.55400696864111,1292.0
58,29.0,284.0,4.566901408450704,34.86267605633803,1297.0
59,29.5,278.0,4.701438848920863,37.097122302158276,1307.0
60,30.0,275.0,4.785454545454545,38.54545454545455,1316.0
61,30.5,272.0,4.863970588235294,39.82720588235294,1323.0
62,31.0,271.0,4.922509225092251,40.61254612546126,1334.0
63,31.5,270.0,4.962962962962963,41.644444444444446,1340.0
64,32.0,267.0,5.052434456928839,44.153558052434455,1349.0
65,32.5,265.0,5.120754716981132,45.31698113207547,1357.0
66,33.0,263.0,5.17490494296578,46.11787072243346,1361.0
67,33.5,259.0,5.312741312741313,48.37837837837838,1376.0
68,34.0,256.0,5.41796875,50.22265625,1387.0
69,34.5,252.0,5.5396825396825395,52.214285714285715,1396.0
70,35.0,248.0,5.665322580645161,54.30241935483871,1405.0
71,35.5,246.0,5.747967479674797,55.75609756097561,1414.0
72,36.0,244.0,5.80327868852459,56.967213114754095,1416.0
73,36.5,240.0,5.908333333333333,58.983333333333334,1418.0
74,37.0,237.0,6.008438818565401,60.413502109704645,1424.0
75,37.5,236.0,6.055084745762712,61.478813559322035,1429.0
76,38.0,233.0,6.167381974248927,64.39914163090128,1437.0
77,38.5,231.0,6.246753246753247,65.88311688311688,1443.0
78,39.0,231.0,6.29004329004329,66.71428571428571,1453.0
79,39.5,227.0,6.427312775330397,70.3568281938326,1459.0
80,40.0,225.0,6.528888888888889,72.32444444444444,1469.0
81,40.5,224.0,6.598214285714286,73.5625,1478.0
82,41.0,223.0,6.677130044843049,75.31390134529148,1489.0
83,41.5,224.0,6.678571428571429,75.66964285714286,1496.0
84,42.0,220.0,6.85,78.60454545454546,1507.0
85,42.5,219.0,6.899543378995434,79.45662100456622,1511.0
86,43.0,218.0,6.967889908256881,80.96788990825688,1519.0
87,43.5,217.0,7.055299539170507,82.52995391705069,1531.0
88,44.0,217.0,7.087557603686636,83.46543778801843,1538.0
89,44.5,217.0,7.129032258064516,84.57603686635944,1547.0
90,45.0,217.0,7.179723502304148,85.86175115207374,1558.0
