step,hours,S0,S1,S2,Ncells
0,0.0,1500.0,1.0,1.0,1500.0
1,0.5,1079.0,1.3901760889712698,2.3113994439295644,1500.0
2,1.0,966.0,1.5559006211180124,3.199792960662526,1503.0
3,1.5,910.0,1.656043956043956,3.8516483516483517,1507.0
4,2.0,874.0,1.7242562929061784,4.2917620137299775,1507.0
5,2.5,848.0,1.7818396226415094,4.588443396226415,1511.0
6,3.0,824.0,1.8410194174757282,4.945388349514563,1517.0
7,3.5,803.0,1.8929016189290162,5.315068493150685,1520.0
8,4.0,788.0,1.9289340101522843,5.522842639593908,1520.0
9,4.5,769.0,1.9817945383615085,5.854356306892067,1524.0
10,5.0,757.0,2.015852047556143,6.100396301188904,1526.0
11,5.5,737.0,2.073270013568521,6.412483039348711,1528.0
12,6.0,729.0,2.1083676268861455,6.679012345679013,1537.0
13,6.5,714.0,2.156862745098039,6.9523809523809526,1540.0
14,7.0,705.0,2.1886524822695037,7.1815602836879435,1543.0
15,7.5,690.0,2.243478260869565,7.695652173913044,1548.0
16,8.0,675.0,2.2962962962962963,8.136296296296296,1550.0
17,8.5,662.0,2.3444108761329305,8.489425981873111,1552.0
18,9.0,654.0,2.3730886850152904,8.672782874617736,1552.0
19,9.5,644.0,2.4130434782608696,9.006211180124224,1554.0
20,10.0,633.0,2.462875197472354,9.423380726698262,1559.0
21,10.5,627.0,2.491228070175439,9.668261562998405,1562.0
22,11.0,615.0,2.5479674796747966,10.060162601626017,1567.0
23,11.5,612.0,2.570261437908497,10.240196078431373,1573.0
24,12.0,602.0,2.622923588039867,10.593023255813954,1579.0
25,12.5,593.0,2.6677908937605395,11.099494097807757,1582.0
26,13.0,585.0,2.707692307692308,11.381196581196582,1584.0
27,13.5,577.0,2.752166377816291,11.89948006932409,1588.0
28,14.0,571.0,2.786339754816112,12.21891418563923,1591.0
29,14.5,563.0,2.831261101243339,12.58259325044405,1594.0
30,15.0,562.0,2.8434163701067616,12.679715302491104,1598.0
31,15.5,556.0,2.8776978417266186,13.161870503597122,1600.0
32,16.0,551.0,2.912885662431942,13.47912885662432,1605.0
33,16.5,547.0,2.9360146252285193,13.685557586837295,1606.0
34,17.0,540.0,2.9814814814814814,14.066666666666666,1610.0
35,17.5,538.0,2.996282527881041,14.37546468401487,1612.0
36,18.0,534.0,3.0205992509363297,14.713483146067416,1613.0
37,18.5,519.0,3.111753371868979,15.631984585741812,1615.0
38,19.0,515.0,3.1436893203883494,15.951456310679612,1619.0
39,19.5,511.0,3.176125244618395,16.23679060665362,1623.0
40,20.0,507.0,3.2071005917159763,16.745562130177515,1626.0
41,20.5,499.0,3.258517034068136,17.106212424849698,1626.0
42,21.0,492.0,3.3089430894308944,17.991869918699187,1628.0
43,21.5,487.0,3.351129363449692,18.427104722792606,1632.0
44,22.0,481.0,3.401247401247401,19.155925155925157,1636.0
45,22.5,476.0,3.439075630252101,19.460084033613445,1637.0
46,23.0,468.0,3.5042735042735043,20.21794871794872,1640.0
47,23.5,462.0,3.5584415584415585,20.83982683982684,1644.0
48,24.0,462.0,3.564935064935065,20.915584415584416,1647.0
49,24.5,455.0,3.61978021978022,21.756043956043957,1647.0
50,25.0,449.0,3.6770601336302895,22.48329621380846,1651.0
51,25.5,447.0,3.7002237136465324,22.921700223713646,1654.0
52,26.0,441.0,3.7573696145124718,23.6984126984127,1657.0
53,26.5,436.0,3.805045871559633,24.277522935779817,1659.0
54,27.0,433.0,3.840646651270208,24.893764434180138,1663.0
55,27.5,431.0,3.8677494199535962,25.078886310904874,1667.0
56,28.0,427.0,3.918032786885246,25.67447306791569,1673.0
57,28.5,426.0,3.9295774647887325,25.8075117370892,1674.0
58,29.0,424.0,3.957547169811321,26.16509433962264,1678.0
59,29.5,422.0,3.9786729857819907,26.372037914691944,1679.0
60,30.0,416.0,4.043269230769231,27.22596153846154,1682.0
61,30.5,414.0,4.067632850241546,27.59903381642512,1684.0
62,31.0,411.0,4.104622871046229,27.953771289537713,1687.0
63,31.5,406.0,4.172413793103448,28.91625615763547,1694.0
64,32.0,404.0,4.2004950495049505,29.205445544554454,1697.0
65,32.5,398.0,4.268844221105527,29.92713567839196,1699.0
66,33.0,396.0,4.297979797979798,30.267676767676768,1702.0
67,33.5,394.0,4.345177664974619,30.81218274111675,1712.0
68,34.0,393.0,4.356234096692112,30.921119592875318,1712.0
69,34.5,387.0,4.434108527131783,32.52196382428941,1716.0
70,35.0,385.0,4.457142857142857,32.748051948051945,1716.0
71,35.5,383.0,4.490861618798956,33.19582245430809,1720.0
72,36.0,380.0,4.528947368421052,33.57631578947368,1721.0
73,36.5,376.0,4.585106382978723,34.3031914893617,1724.0
74,37.0,374.0,4.612299465240642,35.11497326203209,1725.0
75,37.5,373.0,4.630026809651475,35.257372654155496,1727.0
76,38.0,373.0,4.640750670241287,35.402144772117964,1731.0
77,38.5,369.0,4.70189701897019,36.32249322493225,1735.0
78,39.0,368.0,4.720108695652174,36.557065217391305,1737.0
79,39.5,365.0,4.767123287671233,37.14520547945205,1740.0
80,40.0,365.0,4.789041095890411,37.50684931506849,1748.0
81,40.5,363.0,4.820936639118457,38.22038567493113,1750.0
82,41.0,362.0,4.834254143646409,38.6243093922652,1750.0
83,41.5,359.0,4.880222841225627,39.24233983286908,1752.0
84,42.0,358.0,4.899441340782123,39.497206703910614,1754.0
85,42.5,357.0,4.935574229691877,40.07843137254902,1762.0
86,43.0,357.0,4.949579831932773,40.417366946778714,1767.0
87,43.5,356.0,4.97191011235955,40.71348314606742,1770.0
88,44.0,355.0,4.985915492957746,40.83943661971831,1770.0
89,44.5,354.0,5.008474576271187,41.48870056497175,1773.0
90,45.0,350.0,5.074285714285714,42.74857142857143,1776.0
91,45.5,346.0,5.1502890173410405,43.872832369942195,1782.0
92,46.0,344.0,5.191860465116279,44.5,1786.0
93,46.5,340.0,5.261764705882353,45.673529411764704,1789.0
94,47.0,340.0,5.270588235294118,45.858823529411765,1792.0
95,47.5,340.0,5.285294117647059,45.997058823529414,1797.0
96,48.0,337.0,5.347181008902077,47.275964391691396,1802.0
97,48.5,337.0,5.362017804154303,47.545994065281896,1807.0
98,49.0,332.0,5.448795180722891,49.00903614457831,1809.0
99,49.5,329.0,5.507598784194529,50.09726443768997,1812.0
100,50.0,327.0,5.5474006116207955,50.85626911314985,1814.0
101,50.5,326.0,5.57361963190184,51.26687116564417,1817.0
102,51.0,325.0,5.6,52.33846153846154,1820.0
103,51.5,325.0,5.6061538461538465,52.46769230769231,1822.0
104,52.0,323.0,5.662538699690402,53.45820433436533,1829.0
105,52.5,321.0,5.710280373831775,55.60436137071651,1833.0
106,53.0,318.0,5.770440251572327,56.5251572327044,1835.0
107,53.5,316.0,5.825949367088608,57.572784810126585,1841.0
108,54.0,312.0,5.910256410256411,58.68589743589744,1844.0
109,54.5,312.0,5.919871794871795,58.82371794871795,1847.0
110,55.0,312.0,5.92948717948718,59.166666666666664,1850.0
111,55.5,310.0,5.974193548387097,60.10322580645161,1852.0
112,56.0,309.0,6.003236245954692,60.72168284789644,1855.0
113,56.5,307.0,6.058631921824104,62.09771986970684,1860.0
114,57.0,306.0,6.107843137254902,62.794117647058826,1869.0
115,57.5,306.0,6.11437908496732,62.931372549019606,1871.0
116,58.0,304.0,6.171052631578948,64.3157894736842,1876.0
117,58.5,301.0,6.25249169435216,66.19933554817275,1882.0
118,59.0,300.0,6.296666666666667,66.81666666666666,1889.0
119,59.5,298.0,6.355704697986577,68.16107382550335,1894.0
120,60.0,297.0,6.383838383838384,68.65993265993266,1896.0
121,60.5,297.0,6.397306397306397,68.88888888888889,1900.0
122,61.0,297.0,6.407407407407407,69.02020202020202,1903.0
123,61.5,294.0,6.48639455782313,70.64965986394557,1907.0
124,62.0,293.0,6.532423208191126,71.59044368600682,1914.0
125,62.5,291.0,6.601374570446735,72.85567010309278,1921.0
126,63.0,290.0,6.637931034482759,73.39655172413794,1925.0
127,63.5,290.0,6.6482758620689655,73.68275862068965,1928.0
128,64.0,289.0,6.678200692041522,74.20069204152249,1930.0
129,64.5,288.0,6.711805555555555,74.69791666666667,1933.0
130,65.0,288.0,6.729166666666667,75.22222222222223,1938.0
131,65.5,286.0,6.79020979020979,76.36363636363636,1942.0
132,66.0,286.0,6.793706293706293,76.55594405594405,1943.0
133,66.5,286.0,6.811188811188811,76.8041958041958,1948.0
134,67.0,281.0,6.943060498220641,79.41281138790036,1951.0
135,67.5,280.0,6.985714285714286,81.25714285714285,1956.0
136,68.0,280.0,6.992857142857143,81.39285714285714,1958.0
137,68.5,280.0,7.010714285714286,81.70357142857142,1963.0
138,69.0,278.0,7.08273381294964,83.09712230215827,1969.0
139,69.5,275.0,7.163636363636364,84.51636363636364,1970.0
140,70.0,273.0,7.2344322344322345,85.89377289377289,1975.0
141,70.5,269.0,7.353159851301116,88.47583643122677,1978.0
142,71.0,267.0,7.4232209737827715,89.88764044943821,1982.0
143,71.5,262.0,7.576335877862595,95.12595419847328,1985.0
144,72.0,262.0,7.599236641221374,95.7442748091603,1991.0
