step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,791.0,1.268015170670038,1.8849557522123894,1003.0
2,1.0,740.0,1.3621621621621622,2.3027027027027027,1008.0
3,1.5,717.0,1.4100418410041842,2.5481171548117154,1011.0
4,2.0,691.0,1.4659913169319827,2.8755426917510856,1013.0
5,2.5,679.0,1.4933726067746687,3.0132547864506627,1014.0
6,3.0,665.0,1.5263157894736843,3.186466165413534,1015.0
7,3.5,651.0,1.5637480798771122,3.4009216589861753,1018.0
8,4.0,639.0,1.5993740219092332,3.61189358372457,1022.0
9,4.5,633.0,1.6192733017377567,3.7298578199052135,1025.0
10,5.0,618.0,1.661812297734628,3.959546925566343,1027.0
11,5.5,609.0,1.6912972085385878,4.134646962233169,1030.0
12,6.0,605.0,1.7057851239669422,4.224793388429752,1032.0
13,6.5,602.0,1.7209302325581395,4.335548172757475,1036.0
14,7.0,596.0,1.7399328859060403,4.501677852348993,1037.0
15,7.5,590.0,1.759322033898305,4.688135593220339,1038.0
16,8.0,581.0,1.7917383820998278,4.9070567986230635,1041.0
17,8.5,572.0,1.8251748251748252,5.129370629370629,1044.0
18,9.0,566.0,1.8462897526501767,5.404593639575972,1045.0
19,9.5,562.0,1.8594306049822065,5.48932384341637,1045.0
20,10.0,554.0,1.8898916967509025,5.6732851985559565,1047.0
21,10.5,550.0,1.9090909090909092,5.807272727272728,1050.0
22,11.0,544.0,1.9375,5.974264705882353,1054.0
23,11.5,537.0,1.9720670391061452,6.232774674115456,1059.0
24,12.0,532.0,1.9981203007518797,6.359022556390977,1063.0
25,12.5,526.0,2.0209125475285172,6.61787072243346,1063.0
26,13.0,523.0,2.0344168260038242,6.69980879541109,1064.0
27,13.5,521.0,2.0460652591170825,6.879078694817658,1066.0
28,14.0,512.0,2.087890625,7.158203125,1069.0
29,14.5,506.0,2.116600790513834,7.3853754940711465,1071.0
30,15.0,500.0,2.146,7.61,1073.0
31,15.5,497.0,2.1690140845070425,7.782696177062374,1078.0
32,16.0,491.0,2.2016293279022405,8.05091649694501,1081.0
33,16.5,484.0,2.2417355371900825,8.390495867768594,1085.0
34,17.0,479.0,2.2651356993736953,8.54070981210856,1085.0
35,17.5,470.0,2.3085106382978724,8.823404255319149,1085.0
36,18.0,466.0,2.332618025751073,9.01931330472103,1087.0
37,18.5,462.0,2.357142857142857,9.227272727272727,1089.0
38,19.0,456.0,2.388157894736842,9.567982456140351,1089.0
39,19.5,452.0,2.418141592920354,9.820796460176991,1093.0
40,20.0,449.0,2.4387527839643655,9.993318485523385,1095.0
41,20.5,447.0,2.4541387024608503,10.105145413870247,1097.0
42,21.0,443.0,2.4785553047404063,10.288939051918735,1098.0
43,21.5,440.0,2.5022727272727274,10.456818181818182,1101.0
44,22.0,437.0,2.526315789473684,10.68649885583524,1104.0
45,22.5,434.0,2.5483870967741935,10.834101382488479,1106.0
46,23.0,432.0,2.5694444444444446,10.953703703703704,1110.0
47,23.5,428.0,2.5957943925233646,11.16588785046729,1111.0
48,24.0,424.0,2.6273584905660377,11.358490566037736,1114.0
49,24.5,423.0,2.6335697399527187,11.404255319148936,1114.0
50,25.0,419.0,2.6658711217183773,11.653937947494033,1117.0
51,25.5,415.0,2.7036144578313253,12.019277108433736,1122.0
52,26.0,414.0,2.7198067632850242,12.178743961352657,1126.0
53,26.5,413.0,2.738498789346247,12.346246973365618,1131.0
54,27.0,411.0,2.7542579075425793,12.569343065693431,1132.0
55,27.5,407.0,2.788697788697789,12.828009828009828,1135.0
56,28.0,405.0,2.8049382716049385,13.051851851851852,1136.0
57,28.5,400.0,2.85,13.44,1140.0
58,29.0,398.0,2.871859296482412,13.731155778894472,1143.0
59,29.5,393.0,2.9134860050890583,14.195928753180661,1145.0
