step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,788.0,1.2779187817258884,1.9352791878172588,1007.0
2,1.0,734.0,1.3787465940054495,2.4114441416893735,1012.0
3,1.5,715.0,1.4195804195804196,2.5972027972027973,1015.0
4,2.0,701.0,1.449358059914408,2.716119828815977,1016.0
5,2.5,680.0,1.4955882352941177,2.9514705882352943,1017.0
6,3.0,668.0,1.526946107784431,3.1197604790419162,1020.0
7,3.5,650.0,1.5723076923076924,3.3846153846153846,1022.0
8,4.0,640.0,1.6,3.528125,1024.0
9,4.5,629.0,1.629570747217806,3.6645468998410173,1025.0
10,5.0,623.0,1.651685393258427,3.773675762439807,1029.0
11,5.5,613.0,1.6851549755301793,3.9624796084828713,1033.0
12,6.0,607.0,1.7084019769357497,4.090609555189456,1037.0
13,6.5,604.0,1.7251655629139073,4.195364238410596,1042.0
14,7.0,595.0,1.7563025210084033,4.398319327731093,1045.0
15,7.5,588.0,1.7789115646258504,4.520408163265306,1046.0
16,8.0,578.0,1.8131487889273357,4.709342560553633,1048.0
17,8.5,570.0,1.843859649122807,4.875438596491228,1051.0
18,9.0,566.0,1.8604240282685511,5.019434628975265,1053.0
19,9.5,563.0,1.8721136767317939,5.076376554174067,1054.0
20,10.0,552.0,1.911231884057971,5.317028985507246,1055.0
21,10.5,545.0,1.9467889908256881,5.513761467889908,1061.0
22,11.0,537.0,1.9795158286778398,5.74487895716946,1063.0
23,11.5,535.0,1.9962616822429906,5.850467289719626,1068.0
24,12.0,532.0,2.007518796992481,5.924812030075188,1068.0
25,12.5,529.0,2.022684310018904,6.102079395085066,1070.0
26,13.0,522.0,2.053639846743295,6.314176245210728,1072.0
27,13.5,514.0,2.0894941634241246,6.57976653696498,1074.0
28,14.0,510.0,2.107843137254902,6.731372549019608,1075.0
29,14.5,506.0,2.132411067193676,6.91501976284585,1079.0
30,15.0,505.0,2.1425742574257427,6.978217821782178,1082.0
31,15.5,498.0,2.176706827309237,7.224899598393574,1084.0
32,16.0,490.0,2.2142857142857144,7.4918367346938775,1085.0
33,16.5,483.0,2.256728778467909,7.925465838509317,1090.0
34,17.0,479.0,2.277661795407098,8.02713987473904,1091.0
35,17.5,474.0,2.3122362869198314,8.329113924050633,1096.0
36,18.0,467.0,2.3511777301927195,8.565310492505354,1098.0
37,18.5,462.0,2.3874458874458875,8.880952380952381,1103.0
38,19.0,457.0,2.4179431072210065,9.070021881838075,1105.0
39,19.5,456.0,2.4276315789473686,9.12061403508772,1107.0
40,20.0,454.0,2.44273127753304,9.209251101321586,1109.0
41,20.5,452.0,2.4646017699115044,9.393805309734514,1114.0
42,21.0,448.0,2.4955357142857144,9.705357142857142,1118.0
43,21.5,448.0,2.5044642857142856,9.78125,1122.0
44,22.0,443.0,2.5327313769751694,9.990970654627539,1122.0
45,22.5,436.0,2.5825688073394497,10.394495412844037,1126.0
46,23.0,436.0,2.5871559633027523,10.422018348623853,1128.0
47,23.5,433.0,2.6143187066974596,10.674364896073904,1132.0
48,24.0,431.0,2.6310904872389793,10.872389791183295,1134.0
49,24.5,427.0,2.6627634660421546,11.215456674473067,1137.0
50,25.0,424.0,2.6910377358490565,11.497641509433961,1141.0
51,25.5,421.0,2.7220902612826605,11.75771971496437,1146.0
52,26.0,419.0,2.7446300715990453,11.966587112171839,1150.0
53,26.5,417.0,2.7649880095923263,12.16546762589928,1153.0
54,27.0,414.0,2.7971014492753623,12.521739130434783,1158.0
55,27.5,409.0,2.8410757946210268,12.84596577017115,1162.0
56,28.0,405.0,2.8740740740740742,13.150617283950618,1164.0
57,28.5,404.0,2.886138613861386,13.242574257425742,1166.0
58,29.0,401.0,2.915211970074813,13.513715710723192,1169.0
59,29.5,398.0,2.949748743718593,13.924623115577889,1174.0
60,30.0,395.0,2.982278481012658,14.227848101265822,1178.0
61,30.5,392.0,3.0127551020408165,14.60969387755102,1181.0
62,31.0,391.0,3.0332480818414322,14.751918158567776,1186.0
63,31.5,388.0,3.064432989690722,15.00257731958763,1189.0
64,32.0,387.0,3.082687338501292,15.2015503875969,1193.0
65,32.5,382.0,3.1282722513089007,15.924083769633508,1195.0
66,33.0,379.0,3.158311345646438,16.424802110817943,1197.0
67,33.5,375.0,3.208,17.229333333333333,1203.0
68,34.0,374.0,3.2379679144385025,17.537433155080215,1211.0
69,34.5,374.0,3.2540106951871657,17.681818181818183,1217.0
70,35.0,371.0,3.293800539083558,18.18867924528302,1222.0
71,35.5,370.0,3.3135135135135134,18.36216216216216,1226.0
72,36.0,369.0,3.3333333333333335,18.56368563685637,1230.0
73,36.5,368.0,3.347826086956522,18.64673913043478,1232.0
74,37.0,368.0,3.3614130434782608,18.85054347826087,1237.0
75,37.5,364.0,3.4175824175824174,19.428571428571427,1244.0
76,38.0,360.0,3.4611111111111112,19.788888888888888,1246.0
77,38.5,359.0,3.4707520891364902,19.944289693593316,1246.0
78,39.0,357.0,3.492997198879552,20.1484593837535,1247.0
79,39.5,355.0,3.523943661971831,20.67887323943662,1251.0
80,40.0,351.0,3.572649572649573,21.19088319088319,1254.0
81,40.5,348.0,3.6091954022988504,21.5,1256.0
82,41.0,346.0,3.638728323699422,21.904624277456648,1259.0
83,41.5,345.0,3.6608695652173915,22.18840579710145,1263.0
84,42.0,343.0,3.696793002915452,22.71137026239067,1268.0
85,42.5,343.0,3.705539358600583,22.830903790087465,1271.0
86,43.0,342.0,3.719298245614035,23.029239766081872,1272.0
87,43.5,339.0,3.7610619469026547,23.772861356932154,1275.0
88,44.0,338.0,3.78698224852071,24.224852071005916,1280.0
89,44.5,333.0,3.858858858858859,25.246246246246248,1285.0
90,45.0,332.0,3.8855421686746987,25.6144578313253,1290.0
