step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,834.0,1.2002398081534773,1.6390887290167866,1001.0
2,1.0,750.0,1.336,2.192,1002.0
3,1.5,703.0,1.4281650071123755,2.577524893314367,1004.0
4,2.0,680.0,1.4794117647058824,2.8088235294117645,1006.0
5,2.5,657.0,1.5312024353120244,3.025875190258752,1006.0
6,3.0,631.0,1.5974643423137875,3.362916006339144,1008.0
7,3.5,611.0,1.65139116202946,3.707037643207856,1009.0
8,4.0,599.0,1.691151919866444,3.954924874791319,1013.0
9,4.5,585.0,1.7401709401709402,4.222222222222222,1018.0
10,5.0,570.0,1.7894736842105263,4.5017543859649125,1020.0
11,5.5,564.0,1.8173758865248226,4.721631205673759,1025.0
12,6.0,549.0,1.867030965391621,5.007285974499089,1025.0
13,6.5,539.0,1.901669758812616,5.207792207792208,1025.0
14,7.0,528.0,1.9545454545454546,5.484848484848484,1032.0
15,7.5,515.0,2.007766990291262,5.774757281553398,1034.0
16,8.0,501.0,2.063872255489022,6.127744510978044,1034.0
17,8.5,491.0,2.109979633401222,6.54989816700611,1036.0
18,9.0,485.0,2.1402061855670103,6.795876288659794,1038.0
19,9.5,481.0,2.1600831600831603,6.966735966735967,1039.0
20,10.0,473.0,2.2029598308668077,7.306553911205074,1042.0
21,10.5,466.0,2.236051502145923,7.600858369098712,1042.0
22,11.0,459.0,2.2788671023965144,7.891067538126362,1046.0
23,11.5,454.0,2.303964757709251,8.070484581497798,1046.0
24,12.0,448.0,2.3370535714285716,8.350446428571429,1047.0
25,12.5,443.0,2.3679458239277653,8.751693002257337,1049.0
26,13.0,440.0,2.3840909090909093,8.86590909090909,1049.0
27,13.5,430.0,2.444186046511628,9.244186046511627,1051.0
28,14.0,423.0,2.486997635933806,9.546099290780141,1052.0
29,14.5,411.0,2.5669099756690996,10.211678832116789,1055.0
30,15.0,409.0,2.584352078239609,10.320293398533007,1057.0
31,15.5,404.0,2.618811881188119,10.693069306930694,1058.0
32,16.0,398.0,2.6683417085427137,11.050251256281408,1062.0
33,16.5,386.0,2.7538860103626943,11.83160621761658,1063.0
34,17.0,380.0,2.8026315789473686,12.218421052631578,1065.0
35,17.5,379.0,2.812664907651715,12.348284960422163,1066.0
36,18.0,376.0,2.848404255319149,12.63031914893617,1071.0
37,18.5,374.0,2.8663101604278074,12.850267379679144,1072.0
38,19.0,373.0,2.8820375335120643,13.144772117962466,1075.0
39,19.5,372.0,2.89247311827957,13.21505376344086,1076.0
40,20.0,369.0,2.9186991869918697,13.563685636856368,1077.0
41,20.5,367.0,2.9427792915531334,13.896457765667575,1080.0
42,21.0,363.0,2.9807162534435263,14.264462809917354,1082.0
43,21.5,358.0,3.036312849162011,14.96927374301676,1087.0
44,22.0,349.0,3.1203438395415475,15.601719197707736,1089.0
45,22.5,344.0,3.171511627906977,16.113372093023255,1091.0
46,23.0,340.0,3.223529411764706,16.794117647058822,1096.0
47,23.5,337.0,3.258160237388724,17.05637982195846,1098.0
48,24.0,332.0,3.322289156626506,17.84036144578313,1103.0
49,24.5,329.0,3.3525835866261398,18.13677811550152,1103.0
50,25.0,326.0,3.3834355828220857,18.493865030674847,1103.0
51,25.5,322.0,3.4316770186335406,19.145962732919255,1105.0
52,26.0,321.0,3.454828660436137,19.442367601246104,1109.0
53,26.5,318.0,3.490566037735849,19.761006289308177,1110.0
54,27.0,315.0,3.53015873015873,20.247619047619047,1112.0
