step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,758.0,1.3271767810026385,2.0817941952506596,1006.0
2,1.0,700.0,1.44,2.5885714285714285,1008.0
3,1.5,665.0,1.5218045112781955,3.0586466165413535,1012.0
4,2.0,634.0,1.5977917981072556,3.4905362776025237,1013.0
5,2.5,610.0,1.662295081967213,3.898360655737705,1014.0
6,3.0,580.0,1.7534482758620689,4.553448275862069,1017.0
7,3.5,559.0,1.8228980322003578,4.917710196779964,1019.0
8,4.0,535.0,1.908411214953271,5.433644859813084,1021.0
9,4.5,525.0,1.9485714285714286,5.6780952380952385,1023.0
10,5.0,506.0,2.0237154150197627,6.106719367588933,1024.0
11,5.5,496.0,2.066532258064516,6.372983870967742,1025.0
12,6.0,481.0,2.135135135135135,6.916839916839917,1027.0
13,6.5,471.0,2.1825902335456475,7.193205944798302,1028.0
14,7.0,463.0,2.2289416846652266,7.740820734341253,1032.0
15,7.5,456.0,2.267543859649123,8.179824561403509,1034.0
16,8.0,444.0,2.3333333333333335,8.63063063063063,1036.0
17,8.5,436.0,2.38302752293578,9.020642201834862,1039.0
18,9.0,422.0,2.462085308056872,9.632701421800947,1039.0
19,9.5,409.0,2.552567237163814,10.361858190709047,1044.0
20,10.0,405.0,2.582716049382716,10.582716049382716,1046.0
21,10.5,399.0,2.6215538847117794,10.852130325814537,1046.0
22,11.0,394.0,2.6725888324873095,11.49492385786802,1053.0
23,11.5,386.0,2.7305699481865284,12.062176165803109,1054.0
24,12.0,383.0,2.754569190600522,12.248041775456919,1055.0
25,12.5,375.0,2.816,13.061333333333334,1056.0
26,13.0,370.0,2.8594594594594596,13.41081081081081,1058.0
27,13.5,367.0,2.885558583106267,13.746594005449591,1059.0
28,14.0,365.0,2.904109589041096,14.219178082191782,1060.0
29,14.5,359.0,2.9610027855153205,14.732590529247911,1063.0
30,15.0,354.0,3.0084745762711864,15.098870056497175,1065.0
31,15.5,348.0,3.0660919540229883,15.96264367816092,1067.0
32,16.0,344.0,3.11046511627907,16.430232558139537,1070.0
33,16.5,340.0,3.15,17.061764705882354,1071.0
34,17.0,337.0,3.178041543026706,17.367952522255194,1071.0
35,17.5,331.0,3.2386706948640485,17.96978851963746,1072.0
36,18.0,328.0,3.274390243902439,18.21951219512195,1074.0
