step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,807.0,1.2478314745972738,1.795539033457249,1007.0
2,1.0,762.0,1.3267716535433072,2.148293963254593,1011.0
3,1.5,742.0,1.3638814016172507,2.339622641509434,1012.0
4,2.0,739.0,1.3788903924221922,2.3991880920162383,1019.0
5,2.5,732.0,1.4043715846994536,2.5,1028.0
6,3.0,722.0,1.4321329639889198,2.6426592797783934,1034.0
7,3.5,719.0,1.4408901251738526,2.6842837273991655,1036.0
8,4.0,718.0,1.4526462395543176,2.745125348189415,1043.0
9,4.5,710.0,1.471830985915493,2.823943661971831,1045.0
10,5.0,708.0,1.481638418079096,2.8799435028248586,1049.0
11,5.5,705.0,1.4921985815602836,2.9446808510638296,1052.0
12,6.0,704.0,1.4985795454545454,2.987215909090909,1055.0
13,6.5,699.0,1.513590844062947,3.072961373390558,1058.0
14,7.0,693.0,1.533910533910534,3.1616161616161618,1063.0
15,7.5,690.0,1.5420289855072464,3.2,1064.0
16,8.0,688.0,1.559593023255814,3.309593023255814,1073.0
17,8.5,687.0,1.5705967976710336,3.3580786026200875,1079.0
18,9.0,681.0,1.5903083700440528,3.4552129221732746,1083.0
19,9.5,679.0,1.6008836524300443,3.515463917525773,1087.0
20,10.0,677.0,1.6129985228951256,3.583456425406204,1092.0
21,10.5,673.0,1.6315007429420505,3.6909361069836555,1098.0
22,11.0,673.0,1.6493313521545319,3.789004457652303,1110.0
23,11.5,670.0,1.664179104477612,3.870149253731343,1115.0
24,12.0,669.0,1.6786248131539612,3.9805680119581464,1123.0
25,12.5,669.0,1.6846038863976083,4.01644245142003,1127.0
26,13.0,670.0,1.6880597014925374,4.070149253731343,1131.0
27,13.5,669.0,1.6995515695067265,4.121076233183857,1137.0
28,14.0,667.0,1.7106446776611695,4.166416791604198,1141.0
29,14.5,665.0,1.7233082706766918,4.231578947368421,1146.0
30,15.0,663.0,1.737556561085973,4.340874811463046,1152.0
31,15.5,662.0,1.743202416918429,4.3685800604229605,1154.0
32,16.0,659.0,1.7587253414264037,4.487101669195751,1159.0
33,16.5,659.0,1.7663125948406677,4.537177541729894,1164.0
34,17.0,657.0,1.7762557077625571,4.595129375951294,1167.0
35,17.5,656.0,1.791158536585366,4.684451219512195,1175.0
36,18.0,656.0,1.8064024390243902,4.757621951219512,1185.0
37,18.5,654.0,1.8180428134556574,4.863914373088685,1189.0
38,19.0,651.0,1.8402457757296466,5.029185867895546,1198.0
39,19.5,650.0,1.8492307692307692,5.076923076923077,1202.0
40,20.0,648.0,1.8595679012345678,5.143518518518518,1205.0
41,20.5,649.0,1.8659476117103235,5.181818181818182,1211.0
42,21.0,644.0,1.891304347826087,5.369565217391305,1218.0
43,21.5,640.0,1.915625,5.475,1226.0
44,22.0,638.0,1.9310344827586208,5.579937304075235,1232.0
45,22.5,637.0,1.9419152276295133,5.646781789638933,1237.0
