step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,818.0,1.2273838630806846,1.7188264058679708,1004.0
2,1.0,776.0,1.2989690721649485,2.0051546391752577,1008.0
3,1.5,752.0,1.3470744680851063,2.2779255319148937,1013.0
4,2.0,744.0,1.3655913978494623,2.346774193548387,1016.0
5,2.5,734.0,1.391008174386921,2.4618528610354224,1021.0
6,3.0,729.0,1.4074074074074074,2.521262002743484,1026.0
7,3.5,721.0,1.4299583911234397,2.61997226074896,1031.0
8,4.0,718.0,1.4442896935933147,2.703342618384401,1037.0
9,4.5,712.0,1.4648876404494382,2.793539325842697,1043.0
10,5.0,705.0,1.4836879432624113,2.8822695035460995,1046.0
11,5.5,702.0,1.4928774928774928,2.9287749287749287,1048.0
12,6.0,702.0,1.4985754985754987,2.948717948717949,1052.0
13,6.5,700.0,1.5042857142857142,2.9814285714285713,1053.0
14,7.0,695.0,1.5237410071942445,3.0776978417266188,1059.0
15,7.5,694.0,1.5331412103746398,3.118155619596542,1064.0
16,8.0,693.0,1.544011544011544,3.1774891774891776,1070.0
17,8.5,690.0,1.5579710144927537,3.2594202898550724,1075.0
18,9.0,684.0,1.5789473684210527,3.3596491228070176,1080.0
19,9.5,683.0,1.5856515373352855,3.389458272327965,1083.0
20,10.0,677.0,1.6070901033973413,3.512555391432792,1088.0
21,10.5,675.0,1.6162962962962963,3.5481481481481483,1091.0
22,11.0,673.0,1.6285289747399703,3.6077265973254087,1096.0
23,11.5,673.0,1.6315007429420505,3.62258543833581,1098.0
24,12.0,671.0,1.6423248882265276,3.6900149031296574,1102.0
25,12.5,669.0,1.6517189835575485,3.7294469357249627,1105.0
26,13.0,667.0,1.6641679160419791,3.808095952023988,1110.0
27,13.5,665.0,1.6766917293233083,3.869172932330827,1115.0
28,14.0,665.0,1.6857142857142857,3.920300751879699,1121.0
29,14.5,664.0,1.697289156626506,3.983433734939759,1127.0
30,15.0,661.0,1.7155824508320727,4.075642965204236,1134.0
31,15.5,660.0,1.7257575757575758,4.140909090909091,1139.0
32,16.0,659.0,1.7344461305007588,4.183611532625189,1143.0
33,16.5,656.0,1.7515243902439024,4.278963414634147,1149.0
34,17.0,655.0,1.7633587786259541,4.334351145038168,1155.0
35,17.5,650.0,1.7815384615384615,4.449230769230769,1158.0
36,18.0,649.0,1.798151001540832,4.546995377503852,1167.0
37,18.5,646.0,1.8142414860681115,4.640866873065016,1172.0
38,19.0,644.0,1.8245341614906831,4.700310559006211,1175.0
39,19.5,643.0,1.833592534992224,4.74805598755832,1179.0
40,20.0,642.0,1.8395638629283488,4.783489096573208,1181.0
41,20.5,641.0,1.8455538221528862,4.831513260530421,1183.0
42,21.0,639.0,1.8607198748043818,4.928012519561816,1189.0
43,21.5,636.0,1.8883647798742138,5.086477987421383,1201.0
44,22.0,636.0,1.9025157232704402,5.185534591194968,1210.0
45,22.5,634.0,1.914826498422713,5.271293375394322,1214.0
46,23.0,633.0,1.9273301737756714,5.333333333333333,1220.0
47,23.5,632.0,1.9462025316455696,5.458860759493671,1230.0
48,24.0,630.0,1.9619047619047618,5.571428571428571,1236.0
49,24.5,630.0,1.9746031746031747,5.660317460317461,1244.0
50,25.0,629.0,1.9841017488076311,5.717011128775835,1248.0
51,25.5,625.0,2.0096,5.8688,1256.0
52,26.0,624.0,2.0208333333333335,5.934294871794871,1261.0
53,26.5,623.0,2.0353130016051364,6.016051364365971,1268.0
54,27.0,619.0,2.0630048465266557,6.221324717285945,1277.0
55,27.5,619.0,2.074313408723748,6.30048465266559,1284.0
56,28.0,617.0,2.087520259319287,6.418152350081037,1288.0
57,28.5,616.0,2.103896103896104,6.535714285714286,1296.0
58,29.0,613.0,2.1207177814029365,6.67862969004894,1300.0
59,29.5,611.0,2.1391162029459903,6.819967266775778,1307.0
60,30.0,609.0,2.1592775041050905,6.921182266009852,1315.0
61,30.5,608.0,2.1710526315789473,7.052631578947368,1320.0
62,31.0,606.0,2.1947194719471947,7.267326732673268,1330.0
63,31.5,605.0,2.2082644628099173,7.391735537190082,1336.0
64,32.0,602.0,2.23421926910299,7.559800664451827,1345.0
65,32.5,600.0,2.265,7.801666666666667,1359.0
66,33.0,598.0,2.290969899665552,7.976588628762542,1370.0
67,33.5,596.0,2.3087248322147653,8.120805369127517,1376.0
68,34.0,595.0,2.3260504201680674,8.285714285714286,1384.0
69,34.5,592.0,2.347972972972973,8.489864864864865,1390.0
70,35.0,589.0,2.3684210526315788,8.755517826825127,1395.0
71,35.5,586.0,2.387372013651877,8.91296928327645,1399.0
72,36.0,586.0,2.4061433447098977,9.044368600682594,1410.0
73,36.5,585.0,2.4239316239316238,9.247863247863247,1418.0
74,37.0,583.0,2.4476843910806174,9.391080617495712,1427.0
75,37.5,582.0,2.463917525773196,9.491408934707904,1434.0
76,38.0,581.0,2.476764199655766,9.61617900172117,1439.0
77,38.5,580.0,2.4948275862068967,9.818965517241379,1447.0
78,39.0,578.0,2.517301038062284,10.043252595155709,1455.0
79,39.5,578.0,2.5259515570934257,10.117647058823529,1460.0
80,40.0,577.0,2.5424610051993066,10.289428076256499,1467.0
81,40.5,575.0,2.5669565217391304,10.546086956521739,1476.0
82,41.0,574.0,2.5853658536585367,10.679442508710801,1484.0
83,41.5,571.0,2.6094570928196146,10.900175131348512,1490.0
84,42.0,567.0,2.63668430335097,11.225749559082892,1495.0
85,42.5,564.0,2.6666666666666665,11.546099290780141,1504.0
86,43.0,562.0,2.695729537366548,11.852313167259787,1515.0
87,43.5,561.0,2.714795008912656,12.101604278074866,1523.0
88,44.0,560.0,2.732142857142857,12.278571428571428,1530.0
89,44.5,560.0,2.7392857142857143,12.339285714285714,1534.0
90,45.0,558.0,2.7688172043010755,12.61111111111111,1545.0
91,45.5,557.0,2.7881508078994615,12.752244165170557,1553.0
92,46.0,556.0,2.8093525179856114,12.920863309352518,1562.0
93,46.5,555.0,2.8234234234234235,13.057657657657657,1567.0
94,47.0,555.0,2.843243243243243,13.23963963963964,1578.0
95,47.5,554.0,2.875451263537906,13.536101083032491,1593.0
96,48.0,551.0,2.9092558983666064,13.798548094373865,1603.0
97,48.5,548.0,2.934306569343066,14.036496350364963,1608.0
98,49.0,548.0,2.947080291970803,14.144160583941606,1615.0
99,49.5,545.0,2.98348623853211,14.546788990825688,1626.0
100,50.0,543.0,3.0184162062615103,14.941068139963168,1639.0
101,50.5,543.0,3.03683241252302,15.114180478821362,1649.0
102,51.0,542.0,3.0516605166051662,15.365313653136532,1654.0
103,51.5,542.0,3.066420664206642,15.55719557195572,1662.0
104,52.0,541.0,3.0979667282809613,15.863216266173753,1676.0
105,52.5,540.0,3.1259259259259258,16.12962962962963,1688.0
106,53.0,540.0,3.1481481481481484,16.288888888888888,1700.0
107,53.5,539.0,3.174397031539889,16.62152133580705,1711.0
108,54.0,538.0,3.1988847583643123,16.864312267657994,1721.0
109,54.5,535.0,3.2392523364485983,17.246728971962618,1733.0
110,55.0,534.0,3.258426966292135,17.43820224719101,1740.0
111,55.5,533.0,3.272045028142589,17.579737335834896,1744.0
112,56.0,531.0,3.303201506591337,17.883239171374765,1754.0
113,56.5,531.0,3.310734463276836,17.966101694915253,1758.0
114,57.0,528.0,3.3484848484848486,18.492424242424242,1768.0
115,57.5,528.0,3.3693181818181817,18.755681818181817,1779.0
116,58.0,527.0,3.3927893738140416,19.032258064516128,1788.0
117,58.5,526.0,3.41254752851711,19.226235741444867,1795.0
118,59.0,523.0,3.4550669216061185,19.680688336520078,1807.0
119,59.5,521.0,3.4779270633397315,20.069097888675625,1812.0
120,60.0,518.0,3.527027027027027,20.712355212355213,1827.0
121,60.5,517.0,3.5531914893617023,21.02707930367505,1837.0
122,61.0,515.0,3.5902912621359224,21.61747572815534,1849.0
123,61.5,515.0,3.6116504854368934,21.95339805825243,1860.0
124,62.0,513.0,3.645224171539961,22.38206627680312,1870.0
125,62.5,513.0,3.662768031189084,22.555555555555557,1879.0
126,63.0,510.0,3.703921568627451,23.201960784313727,1889.0
127,63.5,510.0,3.7215686274509805,23.454901960784312,1898.0
128,64.0,508.0,3.7578740157480315,23.801181102362204,1909.0
129,64.5,508.0,3.765748031496063,23.87204724409449,1913.0
130,65.0,506.0,3.792490118577075,24.306324110671937,1919.0
131,65.5,506.0,3.8122529644268774,24.64624505928854,1929.0
132,66.0,506.0,3.8300395256916997,24.841897233201582,1938.0
133,66.5,505.0,3.8554455445544553,25.26138613861386,1947.0
134,67.0,504.0,3.886904761904762,25.688492063492063,1959.0
135,67.5,504.0,3.9087301587301586,26.01984126984127,1970.0
136,68.0,501.0,3.9580838323353293,26.780439121756487,1983.0
137,68.5,500.0,3.988,27.312,1994.0
138,69.0,499.0,4.01002004008016,27.63326653306613,2001.0
139,69.5,498.0,4.032128514056225,27.983935742971887,2008.0
140,70.0,497.0,4.056338028169014,28.366197183098592,2016.0
141,70.5,497.0,4.066398390342052,28.537223340040242,2021.0
142,71.0,494.0,4.105263157894737,29.129554655870447,2028.0
143,71.5,493.0,4.127789046653144,29.397565922920894,2035.0
144,72.0,492.0,4.1605691056910565,29.88821138211382,2047.0
