step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,826.0,1.2263922518159807,1.7372881355932204,1013.0
2,1.0,772.0,1.3303108808290156,2.19300518134715,1027.0
3,1.5,754.0,1.370026525198939,2.3912466843501328,1033.0
4,2.0,748.0,1.391711229946524,2.4906417112299466,1041.0
5,2.5,737.0,1.4328358208955223,2.7082767978290367,1056.0
6,3.0,729.0,1.4567901234567902,2.8230452674897117,1062.0
7,3.5,722.0,1.4861495844875345,2.96814404432133,1073.0
8,4.0,718.0,1.5083565459610029,3.065459610027855,1083.0
9,4.5,714.0,1.5308123249299719,3.219887955182073,1093.0
10,5.0,710.0,1.5492957746478873,3.332394366197183,1100.0
11,5.5,704.0,1.5823863636363635,3.502840909090909,1114.0
12,6.0,699.0,1.6008583690987124,3.592274678111588,1119.0
13,6.5,698.0,1.6131805157593124,3.667621776504298,1126.0
14,7.0,694.0,1.6368876080691643,3.8069164265129682,1136.0
15,7.5,691.0,1.6555716353111434,3.8958031837916063,1144.0
16,8.0,687.0,1.6841339155749635,4.065502183406114,1157.0
17,8.5,685.0,1.6934306569343065,4.172262773722628,1160.0
18,9.0,682.0,1.718475073313783,4.357771260997067,1172.0
19,9.5,683.0,1.7349926793557833,4.516837481698389,1185.0
20,10.0,681.0,1.7591776798825256,4.657856093979442,1198.0
21,10.5,678.0,1.7787610619469028,4.784660766961652,1206.0
22,11.0,676.0,1.797337278106509,4.921597633136095,1215.0
23,11.5,671.0,1.825633383010432,5.0774962742175855,1225.0
24,12.0,667.0,1.8545727136431784,5.263868065967016,1237.0
25,12.5,667.0,1.8680659670164919,5.3343328335832085,1246.0
26,13.0,664.0,1.8975903614457832,5.548192771084337,1260.0
27,13.5,660.0,1.937878787878788,5.75,1279.0
28,14.0,654.0,1.9770642201834863,6.013761467889908,1293.0
29,14.5,652.0,1.9969325153374233,6.141104294478527,1302.0
30,15.0,650.0,2.016923076923077,6.306153846153846,1311.0
31,15.5,647.0,2.052550231839258,6.565687789799073,1328.0
32,16.0,646.0,2.0804953560371517,6.777089783281734,1344.0
33,16.5,645.0,2.10077519379845,6.934883720930233,1355.0
34,17.0,642.0,2.1401869158878504,7.308411214953271,1374.0
35,17.5,639.0,2.1784037558685445,7.568075117370892,1392.0
36,18.0,635.0,2.204724409448819,7.864566929133859,1400.0
37,18.5,632.0,2.240506329113924,8.14873417721519,1416.0
38,19.0,626.0,2.2859424920127798,8.544728434504792,1431.0
39,19.5,624.0,2.3108974358974357,8.740384615384615,1442.0
