step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,774.0,1.2984496124031009,1.9909560723514212,1005.0
2,1.0,722.0,1.4016620498614958,2.484764542936288,1012.0
3,1.5,692.0,1.4696531791907514,2.8309248554913293,1017.0
4,2.0,656.0,1.5533536585365855,3.254573170731707,1019.0
5,2.5,629.0,1.6263910969793323,3.639109697933227,1023.0
6,3.0,611.0,1.6841243862520459,3.9263502454991817,1029.0
7,3.5,587.0,1.7649063032367973,4.48381601362862,1036.0
8,4.0,573.0,1.8132635253054101,4.769633507853404,1039.0
9,4.5,555.0,1.8792792792792792,5.162162162162162,1043.0
10,5.0,537.0,1.962756052141527,5.675977653631285,1054.0
11,5.5,520.0,2.0326923076923076,6.128846153846154,1057.0
12,6.0,510.0,2.0784313725490198,6.450980392156863,1060.0
13,6.5,502.0,2.1175298804780875,6.6673306772908365,1063.0
14,7.0,495.0,2.1616161616161618,6.993939393939394,1070.0
15,7.5,487.0,2.2073921971252566,7.431211498973306,1075.0
16,8.0,478.0,2.2573221757322175,7.7803347280334725,1079.0
17,8.5,467.0,2.325481798715203,8.35117773019272,1086.0
18,9.0,455.0,2.3934065934065933,8.841758241758242,1089.0
19,9.5,446.0,2.4529147982062782,9.228699551569507,1094.0
20,10.0,436.0,2.5160550458715596,9.924311926605505,1097.0
21,10.5,430.0,2.562790697674419,10.35813953488372,1102.0
22,11.0,421.0,2.6270783847980996,10.807600950118765,1106.0
23,11.5,412.0,2.7014563106796117,11.478155339805825,1113.0
24,12.0,404.0,2.777227722772277,12.168316831683168,1122.0
25,12.5,397.0,2.841309823677582,12.654911838790932,1128.0
26,13.0,391.0,2.895140664961637,13.048593350383632,1132.0
27,13.5,383.0,2.9817232375979112,13.926892950391645,1142.0
28,14.0,376.0,3.047872340425532,14.563829787234043,1146.0
29,14.5,370.0,3.110810810810811,15.3,1151.0
30,15.0,367.0,3.147138964577657,15.670299727520437,1155.0
31,15.5,361.0,3.218836565096953,16.47091412742382,1162.0
32,16.0,357.0,3.280112044817927,17.07843137254902,1171.0
33,16.5,350.0,3.357142857142857,17.84285714285714,1175.0
34,17.0,343.0,3.4489795918367347,19.676384839650147,1183.0
35,17.5,338.0,3.5236686390532546,20.52958579881657,1191.0
36,18.0,336.0,3.568452380952381,21.044642857142858,1199.0
37,18.5,332.0,3.6355421686746987,21.798192771084338,1207.0
38,19.0,328.0,3.6890243902439024,22.396341463414632,1210.0
39,19.5,323.0,3.761609907120743,23.29721362229102,1215.0
40,20.0,318.0,3.8459119496855347,24.60062893081761,1223.0
41,20.5,313.0,3.916932907348243,25.72523961661342,1226.0
42,21.0,307.0,4.0,26.762214983713356,1228.0
43,21.5,305.0,4.059016393442623,27.481967213114753,1238.0
44,22.0,303.0,4.102310231023102,27.983498349834985,1243.0
45,22.5,299.0,4.177257525083612,29.31438127090301,1249.0
46,23.0,297.0,4.215488215488215,29.784511784511785,1252.0
47,23.5,295.0,4.261016949152542,30.796610169491526,1257.0
48,24.0,290.0,4.355172413793103,31.720689655172414,1263.0
49,24.5,290.0,4.375862068965517,32.16896551724138,1269.0
50,25.0,284.0,4.503521126760563,34.42605633802817,1279.0
51,25.5,282.0,4.567375886524823,35.5886524822695,1288.0
52,26.0,279.0,4.641577060931899,36.69892473118279,1295.0
53,26.5,275.0,4.7272727272727275,37.86909090909091,1300.0
54,27.0,268.0,4.876865671641791,39.8544776119403,1307.0
55,27.5,264.0,4.973484848484849,40.958333333333336,1313.0
56,28.0,261.0,5.045977011494253,42.509578544061306,1317.0
57,28.5,255.0,5.192156862745098,46.8235294117647,1324.0
58,29.0,252.0,5.281746031746032,48.07539682539682,1331.0
59,29.5,250.0,5.34,48.804,1335.0
60,30.0,246.0,5.443089430894309,50.47560975609756,1339.0
61,30.5,244.0,5.524590163934426,51.99180327868852,1348.0
62,31.0,242.0,5.6115702479338845,53.34710743801653,1358.0
63,31.5,237.0,5.763713080168777,57.29957805907173,1366.0
64,32.0,237.0,5.780590717299578,57.881856540084385,1370.0
65,32.5,234.0,5.884615384615385,59.363247863247864,1377.0
66,33.0,232.0,5.948275862068965,60.36206896551724,1380.0
67,33.5,231.0,5.987012987012987,61.21645021645022,1383.0
68,34.0,228.0,6.087719298245614,62.85087719298246,1388.0
69,34.5,227.0,6.136563876651983,63.563876651982376,1393.0
70,35.0,225.0,6.231111111111111,65.37777777777778,1402.0
71,35.5,224.0,6.285714285714286,67.02678571428571,1408.0
72,36.0,223.0,6.3408071748878925,67.97309417040358,1414.0
73,36.5,220.0,6.445454545454545,70.34545454545454,1418.0
74,37.0,221.0,6.447963800904978,70.49321266968326,1425.0
75,37.5,218.0,6.568807339449541,72.13761467889908,1432.0
76,38.0,214.0,6.714953271028038,74.87383177570094,1437.0
77,38.5,210.0,6.890476190476191,79.16666666666667,1447.0
78,39.0,206.0,7.053398058252427,84.20873786407768,1453.0
79,39.5,205.0,7.126829268292683,85.58536585365853,1461.0
80,40.0,203.0,7.226600985221675,88.36945812807882,1467.0
81,40.5,202.0,7.297029702970297,89.74257425742574,1474.0
82,41.0,201.0,7.402985074626866,91.69154228855722,1488.0
83,41.5,199.0,7.517587939698492,94.53266331658291,1496.0
84,42.0,196.0,7.668367346938775,97.30102040816327,1503.0
85,42.5,196.0,7.714285714285714,100.08163265306122,1512.0
86,43.0,194.0,7.845360824742268,103.62886597938144,1522.0
87,43.5,194.0,7.871134020618556,104.20103092783505,1527.0
88,44.0,193.0,7.953367875647668,106.41968911917098,1535.0
89,44.5,190.0,8.157894736842104,111.66315789473684,1550.0
90,45.0,187.0,8.3475935828877,117.81283422459893,1561.0
91,45.5,184.0,8.559782608695652,122.70108695652173,1575.0
92,46.0,185.0,8.562162162162162,123.03783783783784,1584.0
93,46.5,183.0,8.693989071038251,125.69945355191257,1591.0
94,47.0,181.0,8.828729281767956,128.9281767955801,1598.0
95,47.5,180.0,8.905555555555555,131.09444444444443,1603.0
96,48.0,179.0,9.005586592178771,133.4413407821229,1612.0
97,48.5,179.0,9.089385474860336,135.6145251396648,1627.0
98,49.0,177.0,9.248587570621469,139.80225988700565,1637.0
99,49.5,176.0,9.335227272727273,144.0284090909091,1643.0
100,50.0,176.0,9.392045454545455,145.32386363636363,1653.0
101,50.5,175.0,9.485714285714286,147.10857142857142,1660.0
102,51.0,174.0,9.586206896551724,149.95402298850576,1668.0
103,51.5,174.0,9.620689655172415,151.13793103448276,1674.0
104,52.0,174.0,9.67816091954023,153.02298850574712,1684.0
105,52.5,174.0,9.718390804597702,154.683908045977,1691.0
106,53.0,174.0,9.781609195402298,157.09195402298852,1702.0
107,53.5,172.0,9.970930232558139,161.90116279069767,1715.0
108,54.0,172.0,10.034883720930232,164.32558139534885,1726.0
109,54.5,170.0,10.18235294117647,167.98235294117646,1731.0
110,55.0,168.0,10.345238095238095,173.8452380952381,1738.0
111,55.5,167.0,10.437125748502995,176.77245508982037,1743.0
112,56.0,168.0,10.428571428571429,177.47619047619048,1752.0
113,56.5,165.0,10.654545454545454,182.8242424242424,1758.0
114,57.0,165.0,10.690909090909091,184.13333333333333,1764.0
115,57.5,165.0,10.745454545454546,186.66060606060606,1773.0
116,58.0,164.0,10.829268292682928,194.3170731707317,1776.0
117,58.5,163.0,10.975460122699387,198.58282208588957,1789.0
118,59.0,162.0,11.098765432098766,202.91358024691357,1798.0
119,59.5,162.0,11.17283950617284,205.679012345679,1810.0
120,60.0,161.0,11.31055900621118,210.93788819875778,1821.0
121,60.5,160.0,11.45,215.6625,1832.0
122,61.0,159.0,11.616352201257861,222.49685534591194,1847.0
123,61.5,158.0,11.740506329113924,226.2594936708861,1855.0
124,62.0,157.0,11.847133757961783,229.0700636942675,1860.0
125,62.5,156.0,11.961538461538462,247.34615384615384,1866.0
126,63.0,155.0,12.07741935483871,252.76129032258063,1872.0
127,63.5,153.0,12.294117647058824,261.7712418300654,1881.0
128,64.0,153.0,12.372549019607844,265.33986928104576,1893.0
129,64.5,153.0,12.411764705882353,266.80392156862746,1899.0
130,65.0,153.0,12.457516339869281,268.06535947712416,1906.0
131,65.5,152.0,12.572368421052632,276.2828947368421,1911.0
132,66.0,150.0,12.826666666666666,290.8933333333333,1924.0
133,66.5,150.0,12.873333333333333,292.64666666666665,1931.0
134,67.0,150.0,12.92,294.97333333333336,1938.0
135,67.5,149.0,13.073825503355705,299.6241610738255,1948.0
136,68.0,148.0,13.20945945945946,304.5878378378378,1955.0
137,68.5,146.0,13.486301369863014,317.04794520547944,1969.0
138,69.0,146.0,13.54109589041096,319.8424657534247,1977.0
139,69.5,146.0,13.623287671232877,323.7739726027397,1989.0
140,70.0,145.0,13.758620689655173,329.5241379310345,1995.0
141,70.5,143.0,14.027972027972028,344.4195804195804,2006.0
142,71.0,141.0,14.297872340425531,353.3333333333333,2016.0
143,71.5,138.0,14.666666666666666,374.42028985507244,2024.0
144,72.0,135.0,15.088888888888889,390.0074074074074,2037.0
