step,hours,S0,S1,S2,Ncells
26,13.0,405.0,1.5530864197530865,3.202469135802469,629.0
31,15.5,393.0,1.6157760814249365,3.4936386768447836,635.0
34,17.0,391.0,1.629156010230179,3.5421994884910486,637.0
42,21.0,371.0,1.738544474393531,4.180592991913747,645.0
43,21.5,371.0,1.743935309973046,4.2075471698113205,647.0
46,23.0,369.0,1.7615176151761518,4.390243902439025,650.0
56,28.0,349.0,1.8968481375358166,5.375358166189112,662.0
60,30.0,344.0,1.936046511627907,5.72093023255814,666.0
61,30.5,344.0,1.938953488372093,5.747093023255814,667.0
70,35.0,326.0,2.0950920245398774,6.904907975460123,683.0
71,35.5,326.0,2.0950920245398774,6.904907975460123,683.0
87,43.5,302.0,2.337748344370861,8.827814569536423,706.0
88,44.0,302.0,2.337748344370861,8.827814569536423,706.0
89,44.5,302.0,2.3410596026490067,8.83774834437086,707.0
92,46.0,300.0,2.3633333333333333,8.99,709.0
93,46.5,300.0,2.37,9.043333333333333,711.0
96,48.0,298.0,2.402684563758389,9.335570469798657,716.0
98,49.0,297.0,2.420875420875421,9.444444444444445,719.0
99,49.5,297.0,2.4242424242424243,9.461279461279462,720.0
101,50.5,293.0,2.477815699658703,9.83617747440273,726.0
109,54.5,277.0,2.664259927797834,11.631768953068592,738.0
110,55.0,277.0,2.6714801444043323,11.747292418772563,740.0
112,56.0,276.0,2.6884057971014492,11.934782608695652,742.0
113,56.5,276.0,2.6956521739130435,11.96376811594203,744.0
115,57.5,274.0,2.7262773722627736,12.281021897810218,747.0
117,58.5,272.0,2.761029411764706,12.650735294117647,751.0
119,59.5,271.0,2.7785977859778597,12.845018450184503,753.0
121,60.5,270.0,2.7962962962962963,12.996296296296297,755.0
122,61.0,270.0,2.803703703703704,13.055555555555555,757.0
123,61.5,270.0,2.814814814814815,13.14074074074074,760.0
125,62.5,267.0,2.8726591760299627,13.741573033707866,767.0
126,63.0,267.0,2.8764044943820224,13.775280898876405,768.0
128,64.0,266.0,2.9022556390977443,13.954887218045112,772.0
130,65.0,264.0,2.9356060606060606,14.261363636363637,775.0
131,65.5,264.0,2.9393939393939394,14.333333333333334,776.0
132,66.0,264.0,2.962121212121212,14.515151515151516,782.0
134,67.0,263.0,2.988593155893536,14.7680608365019,786.0
135,67.5,263.0,2.9961977186311786,14.828897338403042,788.0
137,68.5,262.0,3.0114503816793894,15.125954198473282,789.0
138,69.0,262.0,3.0267175572519083,15.32442748091603,793.0
139,69.5,262.0,3.0419847328244276,15.477099236641221,797.0
140,70.0,262.0,3.045801526717557,15.488549618320612,798.0
142,71.0,260.0,3.0884615384615386,16.01923076923077,803.0
144,72.0,258.0,3.124031007751938,16.573643410852714,806.0
