step,hours,S0,S1,S2,Ncells
46,23.0,418.0,3.227272727272727,17.758373205741627,1349.0
68,34.0,358.0,4.35754189944134,33.39664804469274,1560.0
72,36.0,350.0,4.597142857142857,36.997142857142855,1609.0
100,50.0,289.0,6.8788927335640135,85.92387543252595,1988.0
115,57.5,267.0,8.344569288389513,125.79775280898876,2228.0
116,58.0,267.0,8.415730337078651,127.77153558052434,2247.0
117,58.5,267.0,8.47191011235955,129.2734082397004,2262.0
118,59.0,267.0,8.51685393258427,130.63670411985018,2274.0
122,61.0,263.0,8.889733840304183,142.58555133079847,2338.0
124,62.0,261.0,9.11111111111111,149.639846743295,2378.0
129,64.5,250.0,9.852,175.38,2463.0
131,65.5,248.0,10.044354838709678,186.23790322580646,2491.0
140,70.0,234.0,11.393162393162394,241.64957264957266,2666.0
144,72.0,230.0,11.904347826086957,271.9217391304348,2738.0
