step,hours,S0,S1,S2,Ncells
6,3.0,749.0,1.3457943925233644,2.336448598130841,1008.0
14,7.0,733.0,1.3929058663028648,2.538881309686221,1021.0
15,7.5,733.0,1.3969986357435198,2.5511596180081857,1024.0
18,9.0,729.0,1.4115226337448559,2.626886145404664,1029.0
26,13.0,717.0,1.4602510460251046,2.8493723849372383,1047.0
27,13.5,717.0,1.4630404463040447,2.8605299860529985,1049.0
30,15.0,714.0,1.4761904761904763,2.918767507002801,1054.0
36,18.0,706.0,1.5070821529745042,3.0623229461756374,1064.0
41,20.5,697.0,1.5466284074605452,3.2338593974175036,1078.0
43,21.5,694.0,1.5619596541786744,3.2910662824207493,1084.0
44,22.0,694.0,1.563400576368876,3.2953890489913547,1085.0
46,23.0,692.0,1.5751445086705202,3.352601156069364,1090.0
48,24.0,690.0,1.5811594202898551,3.389855072463768,1091.0
49,24.5,690.0,1.5826086956521739,3.3942028985507244,1092.0
50,25.0,690.0,1.5869565217391304,3.415942028985507,1095.0
51,25.5,690.0,1.5913043478260869,3.4347826086956523,1098.0
53,26.5,689.0,1.5994194484760522,3.497822931785196,1102.0
56,28.0,687.0,1.6142649199417758,3.5705967976710333,1109.0
58,29.0,685.0,1.6248175182481752,3.627737226277372,1113.0
60,30.0,684.0,1.628654970760234,3.652046783625731,1114.0
61,30.5,684.0,1.6301169590643274,3.665204678362573,1115.0
62,31.0,684.0,1.631578947368421,3.6783625730994154,1116.0
63,31.5,684.0,1.6330409356725146,3.68859649122807,1117.0
65,32.5,682.0,1.6422287390029326,3.7419354838709675,1120.0
66,33.0,682.0,1.6480938416422288,3.771260997067449,1124.0
67,33.5,682.0,1.652492668621701,3.7903225806451615,1127.0
70,35.0,679.0,1.6745213549337261,3.930780559646539,1137.0
72,36.0,678.0,1.6814159292035398,3.9528023598820057,1140.0
73,36.5,678.0,1.682890855457227,3.9601769911504423,1141.0
74,37.0,678.0,1.682890855457227,3.9601769911504423,1141.0
75,37.5,678.0,1.6873156342182891,3.982300884955752,1144.0
76,38.0,678.0,1.6887905604719764,3.9867256637168142,1145.0
79,39.5,674.0,1.7195845697329377,4.152818991097923,1159.0
80,40.0,674.0,1.7240356083086052,4.175074183976261,1162.0
81,40.5,674.0,1.725519287833828,4.185459940652819,1163.0
83,41.5,673.0,1.7340267459138188,4.236255572065379,1167.0
85,42.5,672.0,1.7410714285714286,4.3273809523809526,1170.0
86,43.0,672.0,1.7425595238095237,4.340773809523809,1171.0
89,44.5,670.0,1.7641791044776118,4.465671641791045,1182.0
90,45.0,670.0,1.7701492537313432,4.498507462686567,1186.0
92,46.0,669.0,1.7757847533632287,4.538116591928251,1188.0
93,46.5,669.0,1.7787742899850523,4.553064275037369,1190.0
94,47.0,669.0,1.781763826606876,4.568011958146487,1192.0
96,48.0,668.0,1.7949101796407185,4.630239520958084,1199.0
99,49.5,666.0,1.8033033033033032,4.695195195195195,1201.0
104,52.0,662.0,1.838368580060423,4.90785498489426,1217.0
106,53.0,661.0,1.8517397881996975,5.016641452344932,1224.0
108,54.0,660.0,1.8636363636363635,5.078787878787879,1230.0
109,54.5,660.0,1.8651515151515152,5.098484848484849,1231.0
113,56.5,656.0,1.8871951219512195,5.2317073170731705,1238.0
116,58.0,652.0,1.9033742331288344,5.360429447852761,1241.0
118,59.0,651.0,1.9109062980030722,5.490015360983103,1244.0
119,59.5,651.0,1.9216589861751152,5.620583717357911,1251.0
124,62.0,645.0,1.9550387596899226,5.874418604651162,1261.0
125,62.5,645.0,1.9565891472868218,5.879069767441861,1262.0
126,63.0,645.0,1.9596899224806201,5.910077519379845,1264.0
127,63.5,645.0,1.965891472868217,5.937984496124031,1268.0
128,64.0,645.0,1.9705426356589146,5.9581395348837205,1271.0
129,64.5,645.0,1.9751937984496124,6.0093023255813955,1274.0
131,65.5,644.0,1.986024844720497,6.069875776397516,1279.0
133,66.5,642.0,1.9968847352024923,6.140186915887851,1282.0
136,68.0,640.0,2.0140625,6.2859375,1289.0
137,68.5,640.0,2.0171875,6.3015625,1291.0
138,69.0,640.0,2.0234375,6.3265625,1295.0
139,69.5,640.0,2.025,6.346875,1296.0
140,70.0,640.0,2.0265625,6.3578125,1297.0
141,70.5,640.0,2.028125,6.384375,1298.0
144,72.0,638.0,2.040752351097179,6.507836990595611,1302.0
