step,hours,S0,S1,S2,Ncells
45,22.5,305.0,3.5639344262295083,19.662295081967212,1087.0
65,32.5,251.0,4.51792828685259,32.65338645418327,1134.0
78,39.0,224.0,5.151785714285714,41.785714285714285,1154.0
94,47.0,198.0,6.01010101010101,57.313131313131315,1190.0
96,48.0,197.0,6.0456852791878175,58.421319796954315,1191.0
98,49.0,194.0,6.175257731958763,60.74226804123711,1198.0
99,49.5,194.0,6.175257731958763,60.74226804123711,1198.0
100,50.0,194.0,6.190721649484536,61.01546391752577,1201.0
101,50.5,194.0,6.206185567010309,61.154639175257735,1204.0
104,52.0,190.0,6.368421052631579,65.47368421052632,1210.0
107,53.5,185.0,6.562162162162162,70.04324324324324,1214.0
108,54.0,185.0,6.572972972972973,70.36756756756756,1216.0
109,54.5,185.0,6.578378378378378,70.5027027027027,1217.0
110,55.0,185.0,6.589189189189189,70.78378378378379,1219.0
111,55.5,185.0,6.616216216216216,71.30810810810812,1224.0
114,57.0,183.0,6.73224043715847,73.44262295081967,1232.0
115,57.5,183.0,6.748633879781421,73.63387978142076,1235.0
117,58.5,182.0,6.813186813186813,77.89010989010988,1240.0
120,60.0,177.0,7.03954802259887,82.44067796610169,1246.0
122,61.0,175.0,7.148571428571429,84.55428571428571,1251.0
123,61.5,175.0,7.177142857142857,85.04,1256.0
125,62.5,174.0,7.258620689655173,86.85632183908046,1263.0
126,63.0,174.0,7.2701149425287355,87.08620689655173,1265.0
132,66.0,166.0,7.692771084337349,101.69277108433735,1277.0
133,66.5,166.0,7.710843373493976,102.2289156626506,1280.0
136,68.0,164.0,7.859756097560975,105.23780487804878,1289.0
137,68.5,164.0,7.878048780487805,105.67073170731707,1292.0
139,69.5,163.0,7.932515337423313,108.37423312883436,1293.0
144,72.0,158.0,8.284810126582279,117.70253164556962,1309.0
