step,hours,S0,S1,S2,Ncells
44,22.0,777.0,2.458172458172458,9.948519948519948,1910.0
56,28.0,744.0,2.7231182795698925,12.454301075268818,2026.0
60,30.0,735.0,2.820408163265306,13.440816326530612,2073.0
65,32.5,725.0,2.9117241379310346,14.60551724137931,2111.0
72,36.0,705.0,3.083687943262411,16.67517730496454,2174.0
82,41.0,684.0,3.31140350877193,19.428362573099417,2265.0
113,56.5,604.0,4.451986754966887,36.0182119205298,2689.0
122,61.0,585.0,4.832478632478632,42.644444444444446,2827.0
128,64.0,576.0,5.041666666666667,46.454861111111114,2904.0
134,67.0,559.0,5.368515205724508,52.32737030411449,3001.0
136,68.0,555.0,5.443243243243243,53.810810810810814,3021.0
144,72.0,539.0,5.842300556586271,61.5899814471243,3149.0
