time_min,step,agent_id,x,y,radius,size,speed
27.0,27,2,824.2432162490677,51.97280703116921,7.755538950942392,1.0,1.0
27.0,27,3,1248.0937148203313,877.3133674787537,7.755538950942392,1.0,1.0
27.0,27,7,1200.460814783226,513.2048163223824,11.185422719499034,3.0,1.0
27.0,27,8,11.256909634177187,511.9648120777219,7.755538950942392,1.0,1.0
27.0,27,9,631.9540818685238,692.5316729235939,7.755538950942392,1.0,1.0
27.0,27,11,1301.2330435394724,454.48286793391077,9.77136677757192,2.0,1.0
27.0,27,15,10.34037992979058,61.89151894249667,7.755538950942392,1.0,1.0
27.0,27,17,390.6459187756111,581.1213352196148,7.755538950942392,1.0,0.9999999999999999
27.0,27,18,301.0273908122711,523.2739180594127,9.77136677757192,2.0,1.0
27.0,27,19,984.4575987075624,955.9553924358437,11.185422719499034,3.0,1.0
27.0,27,20,995.0293728626397,405.58193895329117,11.185422719499034,3.0,1.0
27.0,27,21,104.55178655152275,815.5096536473279,7.755538950942392,1.0,1.0
27.0,27,22,380.2933976423711,183.28540555079297,14.835812298463562,7.0,1.0
27.0,27,23,871.6648015611827,410.80200722851015,7.755538950942392,1.0,1.0
27.0,27,25,786.5113284733472,71.61575162252964,9.77136677757192,2.0,1.0
27.0,27,27,1083.6382978287643,774.1929943851936,7.755538950942392,1.0,0.9999999999999999
27.0,27,30,880.2477478008095,485.4885603531749,9.77136677757192,2.0,1.0
27.0,27,31,974.0931927707603,61.71007152694388,9.77136677757192,2.0,1.0
27.0,27,32,1038.3667722780117,389.4242151538736,9.771366777571922,2.0,1.0
27.0,27,35,1180.0813807595785,238.61535967731774,14.09274953626919,6.0,1.0
27.0,27,36,204.6365027407132,705.1364952428419,9.771366777571922,2.0,1.0
27.0,27,37,304.5020300375661,653.7764898866523,11.185422719499032,3.0,1.0
27.0,27,38,586.6812531773522,861.7455587523241,7.755538950942392,1.0,1.0
27.0,27,39,1292.7307689435602,839.176397468316,9.771366777571922,2.0,1.0
27.0,27,40,688.449299367199,269.1614454191725,9.77136677757192,2.0,1.0
27.0,27,41,205.1432873215144,555.7503467054116,9.77136677757192,2.0,0.9999999999999999
27.0,27,42,246.30297092175783,233.75823189314372,12.311150689306299,4.0,1.0
27.0,27,45,1211.469936448397,787.7687413258753,7.755538950942392,1.0,1.0
27.0,27,46,514.7221941650221,895.4715906767258,11.185422719499032,3.0,1.0
27.0,27,47,1279.405616031978,250.80554651225975,7.755538950942392,1.0,0.9999999999999999
27.0,27,49,114.9273098260835,62.69927578726305,7.755538950942392,1.0,1.0
27.0,27,51,488.3552471392602,964.2110802997819,9.77136677757192,2.0,1.0
27.0,27,52,109.75804668853922,796.5710226944402,7.755538950942392,1.0,1.0
27.0,27,53,978.1331686569861,267.68570155252377,9.77136677757192,2.0,1.0
27.0,27,54,163.85412661857154,940.5187808553185,12.311150689306297,4.0,1.0
27.0,27,55,171.52634375751572,127.271905438233,12.311150689306297,4.0,1.0
27.0,27,56,228.56177677648765,828.0539432202796,12.311150689306297,4.0,1.0
27.0,27,58,287.5888620740015,431.58433394229496,9.771366777571922,2.0,1.0
27.0,27,59,96.57803062310299,253.8807553133441,9.771366777571922,2.0,1.0
27.0,27,60,551.4297142877343,894.8571736109968,7.755538950942392,1.0,1.0
27.0,27,62,764.7525765521921,497.6559980356428,7.755538950942392,1.0,1.0
27.0,27,63,1079.7354913882677,654.2419235792179,7.755538950942392,1.0,1.0
27.0,27,64,526.9219747515463,245.40147300868506,7.755538950942392,1.0,1.0
27.0,27,66,1339.677016613315,388.63476954849665,7.755538950942392,1.0,1.0
27.0,27,67,166.81405986970532,979.0331240481959,12.311150689306299,4.0,1.0
27.0,27,69,377.6870893217343,696.6146763170128,7.755538950942392,1.0,1.0
27.0,27,70,603.940384251935,664.940242891672,9.77136677757192,2.0,1.0
27.0,27,72,936.8904112883761,730.6372014587618,7.755538950942392,1.0,0.9999999999999999
27.0,27,73,925.4049327217749,779.1413963546249,7.755538950942392,1.0,0.9999999999999999
27.0,27,74,580.244147284077,1013.177326085401,11.185422719499034,3.0,1.0
27.0,27,76,1004.7609940256303,188.14570969349992,7.755538950942392,1.0,0.9999999999999999
27.0,27,77,878.7005083789644,160.7373981630387,7.755538950942392,1.0,1.0
27.0,27,78,89.42889857928512,114.09803018710979,7.755538950942392,1.0,1.0
27.0,27,79,269.63317476732504,698.4097526246253,7.755538950942392,1.0,1.0
27.0,27,80,1156.0801992778163,1022.7322645905085,7.755538950942392,1.0,1.0
27.0,27,81,851.2857163636484,149.6769263048591,7.755538950942392,1.0,1.0
27.0,27,83,144.33573703368026,119.78406439170848,7.755538950942392,1.0,0.9999999999999999
27.0,27,84,1141.2803513824208,383.35444649713656,9.77136677757192,2.0,0.9999999999999999
27.0,27,86,247.28744808615667,128.932388146038,7.755538950942392,1.0,1.0
27.0,27,89,171.00727300567038,403.80672817032695,11.185422719499032,3.0,0.9999999999999999
27.0,27,90,328.76752035714776,214.28505922364516,7.755538950942392,1.0,1.0
27.0,27,92,46.68109165998859,495.7302811421687,7.755538950942392,1.0,1.0
27.0,27,93,63.230715786198765,613.5598397215404,7.755538950942392,1.0,0.9999999999999999
27.0,27,98,252.49565019516484,164.5546133326654,7.755538950942392,1.0,1.0
27.0,27,99,1285.233167302225,680.3722609236854,7.755538950942392,1.0,1.0
27.0,27,100,748.1412796685082,374.5139509604469,7.755538950942392,1.0,1.0
27.0,27,103,714.4216958320022,951.6949568657485,7.755538950942392,1.0,0.9999999999999999
27.0,27,106,202.85506057428415,1005.2961639265675,7.755538950942392,1.0,1.0
27.0,27,108,496.38028015173643,232.25861494211455,9.77136677757192,2.0,1.0
27.0,27,109,1004.4085159652844,458.1189617871723,9.771366777571922,2.0,1.0
27.0,27,110,827.9881004029241,411.8229157925623,9.77136677757192,2.0,0.9999999999999999
27.0,27,111,48.94520521130905,939.3307498765853,7.755538950942392,1.0,0.9999999999999999
27.0,27,112,89.50051730838831,1012.2057069135557,11.185422719499034,3.0,1.0
27.0,27,113,1060.9349355385307,641.4908891754251,9.77136677757192,2.0,1.0
27.0,27,117,169.00944229061477,890.7400137724759,7.755538950942392,1.0,0.9999999999999999
27.0,27,122,306.7035951311699,70.95300323629793,7.755538950942392,1.0,1.0
27.0,27,123,218.37015283902127,284.74270817580435,7.755538950942392,1.0,0.9999999999999999
27.0,27,126,181.37236889223502,644.6286911053637,7.755538950942392,1.0,0.9999999999999999
27.0,27,127,787.7772799339691,243.77606892253118,7.755538950942392,1.0,1.0
27.0,27,129,765.5948423707698,731.1133240683771,7.755538950942392,1.0,1.0
27.0,27,132,416.56573888409173,979.3608091914718,7.755538950942392,1.0,1.0
27.0,27,133,846.5498006789182,542.557029987621,7.755538950942392,1.0,1.0
27.0,27,134,961.0888433916344,968.4154236357298,7.755538950942392,1.0,1.0
27.0,27,135,190.28094923814612,535.284799760036,9.771366777571922,2.0,0.9999999999999999
27.0,27,137,805.6362603591722,196.6765039287567,7.755538950942392,1.0,1.0
27.0,27,138,212.63383453581963,686.4121872076067,7.755538950942392,1.0,1.0
27.0,27,139,1155.8077867886502,944.7853052691977,7.755538950942392,1.0,1.0
27.0,27,140,333.6476987109847,10.413862580280291,7.755538950942392,1.0,1.0
27.0,27,141,679.8085444438075,19.13430521429635,7.755538950942392,1.0,1.0
27.0,27,145,1015.6367558855613,395.8959207662126,9.771366777571922,2.0,0.9999999999999999
27.0,27,146,428.7271864061919,192.18370993047287,7.755538950942392,1.0,1.0
27.0,27,150,1108.246289772122,500.82628440535683,7.755538950942392,1.0,1.0
27.0,27,153,1219.3632544989207,682.0727293001476,7.755538950942392,1.0,1.0
27.0,27,154,1121.9893431665475,4.555643257872479,7.755538950942392,1.0,1.0
27.0,27,156,1116.9356648623684,1008.9055677907177,7.755538950942392,1.0,0.9999999999999999
27.0,27,157,843.1559615828584,864.1950924142889,7.755538950942392,1.0,0.9999999999999999
27.0,27,160,742.3690283711734,872.8023422829039,7.755538950942392,1.0,1.0
27.0,27,162,443.18376321454906,842.0899140004894,9.77136677757192,2.0,0.9999999999999999
27.0,27,164,962.9407112746488,805.5691253469838,7.755538950942392,1.0,1.0
27.0,27,167,974.2933760792563,565.7699699784156,13.261785059625714,5.0,1.0
27.0,27,168,479.365009324583,391.18396178313077,9.77136677757192,2.0,1.0
27.0,27,174,1001.1561213853114,575.4647275411356,7.755538950942392,1.0,0.9999999999999999
27.0,27,175,456.99438755343294,304.7438885362264,7.755538950942392,1.0,0.9999999999999999
27.0,27,178,1214.1334868694767,999.8033126296478,12.311150689306297,4.0,1.0
27.0,27,179,735.6864915579121,332.94523570101643,7.755538950942392,1.0,1.0
27.0,27,181,1194.920511292144,74.3115549751489,11.185422719499032,3.0,1.0
27.0,27,186,1020.439120799205,984.8465553379062,9.77136677757192,2.0,0.9999999999999999
27.0,27,191,336.4196194853843,338.5361365207105,7.755538950942392,1.0,1.0
27.0,27,192,290.11228242644614,339.04763251429097,7.755538950942392,1.0,0.9999999999999999
27.0,27,195,1329.8290350992168,781.9371839439026,7.755538950942392,1.0,1.0
27.0,27,196,935.8895421655996,962.8936413332425,7.755538950942392,1.0,1.0
27.0,27,197,138.83117040696223,525.8399670517641,12.311150689306299,4.0,1.0
27.0,27,198,26.072242832161198,94.0812356918456,7.755538950942392,1.0,1.0
27.0,27,199,1319.1915424174167,327.41466167897636,9.771366777571922,2.0,0.9999999999999999
27.0,27,200,586.6927562375473,368.7981266482662,9.77136677757192,2.0,1.0
27.0,27,202,340.5734323778468,723.6586272222005,7.755538950942392,1.0,1.0
27.0,27,203,1192.6733100991107,31.671846425610507,7.755538950942392,1.0,1.0
27.0,27,205,169.41470252593825,714.2989708024928,7.755538950942392,1.0,1.0
27.0,27,206,833.9879095817801,705.2405779033123,9.771366777571922,2.0,1.0
27.0,27,207,151.48133580728563,848.2702982557761,11.185422719499032,3.0,0.9999999999999999
27.0,27,208,1290.5988488001146,1015.497125244466,7.755538950942392,1.0,0.9999999999999999
27.0,27,209,446.3344710223862,879.5780768284782,7.755538950942392,1.0,1.0
27.0,27,211,1232.4082180663406,61.247580665931515,7.755538950942392,1.0,1.0
27.0,27,212,380.90063720141853,308.5131987754585,7.755538950942392,1.0,1.0
27.0,27,213,1203.2912680919408,855.9665324276692,9.77136677757192,2.0,1.0
27.0,27,214,1112.6018129907325,146.57568581300055,7.755538950942392,1.0,1.0
27.0,27,218,439.0112357269094,578.6956917620535,9.771366777571922,2.0,1.0
27.0,27,221,469.3739113045635,475.6716889353179,9.77136677757192,2.0,1.0
27.0,27,222,54.97192901774278,637.2373151298548,7.755538950942392,1.0,0.9999999999999999
27.0,27,223,891.8530474237853,557.6558384240283,7.755538950942392,1.0,1.0
27.0,27,226,1006.9986647453669,318.3024894595928,7.755538950942392,1.0,1.0
27.0,27,227,754.5312287190224,442.7681842084242,16.708802155803767,10.0,1.0
27.0,27,229,69.04012464182291,412.84824546045627,7.755538950942392,1.0,1.0
27.0,27,232,279.65047109394396,592.4600516052907,7.755538950942392,1.0,1.0
27.0,27,233,651.1522319366725,923.86120080438,9.77136677757192,2.0,1.0
27.0,27,234,452.1165722345293,558.6368461840293,7.755538950942392,1.0,1.0
27.0,27,236,429.8369496918406,305.72073401968663,7.755538950942392,1.0,1.0
27.0,27,237,1242.3099610113768,694.3965940637803,7.755538950942392,1.0,1.0
27.0,27,238,7.337457094357512,545.2094513837595,9.77136677757192,2.0,1.0
27.0,27,239,896.3159883627076,48.520215557847756,11.185422719499032,3.0,1.0
27.0,27,240,577.5050633837915,581.997503372431,9.77136677757192,2.0,1.0
27.0,27,241,747.1451097495901,399.8442782940236,7.755538950942392,1.0,0.9999999999999999
27.0,27,242,1129.4180417100636,556.2232913309922,9.77136677757192,2.0,0.9999999999999999
27.0,27,243,1054.1892115405312,843.9972556863956,7.755538950942392,1.0,1.0
27.0,27,244,1023.8843966297464,583.6197438175737,7.755538950942392,1.0,1.0
27.0,27,245,937.5271555116225,620.9751000999246,9.77136677757192,2.0,0.9999999999999999
27.0,27,246,1208.5731067992897,417.4130384697796,7.755538950942392,1.0,0.9999999999999999
27.0,27,247,907.9558997850266,232.90324615506205,11.185422719499032,3.0,1.0
27.0,27,249,1173.988592335024,657.1365310335757,7.755538950942392,1.0,0.9999999999999999
27.0,27,250,495.71540214957497,753.1614176752082,11.185422719499034,3.0,0.9999999999999999
27.0,27,253,665.5600119013042,94.34355105753,7.755538950942392,1.0,1.0
27.0,27,255,364.9044761113144,971.6945502455659,7.755538950942392,1.0,0.9999999999999999
27.0,27,256,880.0222191066102,255.23995917686048,7.755538950942392,1.0,1.0
27.0,27,257,175.03749226783924,252.67032429384892,7.755538950942392,1.0,1.0
27.0,27,258,741.1293273481532,940.2698561906905,9.77136677757192,2.0,1.0
27.0,27,259,1118.2642433804003,330.3180557955474,9.77136677757192,2.0,0.9999999999999999
27.0,27,260,105.00076580165405,209.06368292849905,7.755538950942392,1.0,1.0
27.0,27,262,196.9792119091087,378.74647430768806,9.771366777571922,2.0,1.0
27.0,27,264,965.2497884864259,644.1938140008893,7.755538950942392,1.0,0.9999999999999999
27.0,27,265,371.5861735868672,656.7424839254594,7.755538950942392,1.0,1.0
27.0,27,267,89.59658197116956,231.50815843908217,7.755538950942392,1.0,1.0
27.0,27,270,436.9248052482895,945.3671801948337,7.755538950942392,1.0,1.0
27.0,27,273,361.22487586075937,701.5814622558662,7.755538950942392,1.0,1.0
27.0,27,274,72.19171401698065,910.2010576877389,7.755538950942392,1.0,1.0
27.0,27,276,943.8512525600064,675.8410737684928,11.185422719499032,3.0,1.0
27.0,27,277,761.2582470619396,797.8052860334744,13.261785059625712,5.0,1.0
27.0,27,278,22.986095292141734,371.2166531486688,7.755538950942392,1.0,1.0
27.0,27,283,1026.08719171502,167.37476708974438,11.185422719499034,3.0,1.0
27.0,27,284,1081.5837617369689,846.5857456434134,7.755538950942392,1.0,0.9999999999999999
27.0,27,285,1175.173063185423,746.6755432956053,9.77136677757192,2.0,1.0
27.0,27,286,1168.708684064886,59.00182660029582,9.77136677757192,2.0,1.0
27.0,27,287,1091.8908737829754,102.66452209400842,9.77136677757192,2.0,1.0
27.0,27,288,533.7037772424699,137.62857986821126,7.755538950942392,1.0,0.9999999999999999
27.0,27,290,1013.7939381302127,609.2121840159342,11.185422719499032,3.0,1.0
27.0,27,291,1102.8182242904809,973.7687267814819,9.77136677757192,2.0,1.0
27.0,27,292,575.7236393528133,75.36288453456592,9.77136677757192,2.0,1.0
27.0,27,296,906.9613119472305,909.0422626430587,7.755538950942392,1.0,1.0
27.0,27,298,780.8579016837076,403.17219680604506,7.755538950942392,1.0,1.0
27.0,27,299,436.78153220695884,477.0542920908623,7.755538950942392,1.0,1.0
27.0,27,303,68.10930850353624,53.85891753888834,7.755538950942392,1.0,1.0
27.0,27,304,41.47025243435633,208.83132476760017,7.755538950942392,1.0,1.0
27.0,27,305,558.9462252092152,785.0382813692795,7.755538950942392,1.0,1.0
27.0,27,306,343.4843741051246,51.307265376539384,11.185422719499032,3.0,1.0
27.0,27,308,163.73332562802847,220.24733657173573,13.261785059625714,5.0,1.0
27.0,27,309,111.71679125077522,673.8299086647197,7.755538950942392,1.0,0.9999999999999999
27.0,27,311,933.0741251655132,651.6096668238313,9.77136677757192,2.0,1.0
27.0,27,313,464.00571068882795,639.3755951660181,7.755538950942392,1.0,1.0
27.0,27,314,1256.72171659443,958.4997882625968,7.755538950942392,1.0,1.0
27.0,27,319,211.26476523195296,512.7234556342826,9.77136677757192,2.0,1.0
27.0,27,320,908.9680773664053,987.4479308946701,7.755538950942392,1.0,1.0
27.0,27,323,108.24826158391662,470.0365379263071,7.755538950942392,1.0,1.0
27.0,27,325,356.9837891366967,1.737821711743353,7.755538950942392,1.0,1.0
27.0,27,326,857.7559480184156,681.5346790454987,9.771366777571922,2.0,1.0
27.0,27,330,1291.7242649447974,759.8207290505569,11.185422719499032,3.0,0.9999999999999999
27.0,27,331,643.8917081827134,495.26807323566015,7.755538950942392,1.0,0.9999999999999999
27.0,27,332,741.6299399196201,756.0398212767818,7.755538950942392,1.0,1.0
27.0,27,333,555.4944762172456,309.0323867197518,7.755538950942392,1.0,1.0
